# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0007017	BP	e	microtubule-based process	9/14	102/6920	4.325006932175013e-14	2	9	1.9834481790954608e-10	ARP1, BIK1, CIK1, DYN1, JNM1, KAR3, NUF2, STU1, STU2
GO:0031113	BP	e	regulation of microtubule polymerization	3/14	15/6920	2.957421613935689e-06	9	3	0.00037674265337525197	BIK1, SPC19, SPC34
GO:0031110	BP	e	regulation of microtubule polymerization or depolymerization	3/14	17/6920	4.409341119008933e-06	8	3	0.000546519955993918	BIK1, SPC19, SPC34
GO:0032271	BP	e	regulation of protein polymerization	3/14	35/6920	4.1537236588137555e-05	6	3	0.005012888605084179	BIK1, SPC19, SPC34
GO:0060236	BP	e	regulation of mitotic spindle organization	2/14	7/6920	7.936497601478903e-05	9	2	0.009099194500095564	CIK1, KAR3
GO:0031109	BP	e	microtubule polymerization or depolymerization	2/14	7/6920	7.936497601478903e-05	7	2	0.009099194500095564	STU1, STU2
GO:0033043	BP	e	regulation of organelle organization	5/14	254/6920	9.768345080501828e-05	5	5	0.010926251351019848	BIK1, CIK1, KAR3, SPC19, SPC34
GO:0098813	BP	e	nuclear chromosome segregation	3/14	47/6920	0.00010144183353845758	4	3	0.011076482109699201	BIK1, DYN1, NUF2
GO:0090224	BP	e	regulation of spindle organization	2/14	8/6920	0.00010569761977402473	8	2	0.011272774053108777	CIK1, KAR3
GO:0010564	BP	e	regulation of cell cycle process	5/14	261/6920	0.00011115838708661387	5	5	0.011585735526800254	ARP1, CIK1, KAR3, SPC19, SPC34
GO:0031122	BP	e	cytoplasmic microtubule organization	2/14	9/6920	0.0001357398224755336	7	2	0.013833396130506602	DYN1, STU1
GO:0051315	BP	e	attachment of mitotic spindle microtubules to kinetochore	2/14	10/6920	0.0001694786158473211	4	2	0.016536785793102436	NDC80, NUF2
GO:0007020	BP	e	microtubule nucleation	2/14	10/6920	0.0001694786158473211	7	2	0.016536785793102436	BIK1, STU2
GO:0034501	BP	e	protein localization to kinetochore	2/14	11/6920	0.00020690106265204707	8	2	0.018702050014475474	AME1, NDC80
GO:0051987	BP	e	positive regulation of attachment of spindle microtubules to kinetochore	2/14	11/6920	0.00020690106265204707	8	2	0.018702050014475474	SPC19, SPC34
GO:1903083	BP	e	protein localization to condensed chromosome	2/14	11/6920	0.00020690106265204707	7	2	0.018702050014475474	AME1, NDC80
GO:0051726	BP	e	regulation of cell cycle	5/14	298/6920	0.00020798180347541414	4	5	0.018702050014475474	ARP1, CIK1, KAR3, SPC19, SPC34
GO:1902903	BP	e	regulation of supramolecular fiber organization	3/14	63/6920	0.00024372677075326765	5	3	0.02102327612061639	BIK1, SPC19, SPC34
GO:0051988	BP	e	regulation of attachment of spindle microtubules to kinetochore	2/14	12/6920	0.00024799425662706717	6	2	0.02102327612061639	SPC19, SPC34
GO:0051641	BP	e	cellular localization	8/14	1003/6920	0.0002521326181059532	2	8	0.02102327612061639	AME1, ARP1, BIK1, CIK1, DYN1, JNM1, KAR3, NDC80
GO:0031116	BP	e	positive regulation of microtubule polymerization	2/14	13/6920	0.0002927453224245729	10	2	0.02355315874805423	SPC19, SPC34
GO:0031112	BP	e	positive regulation of microtubule polymerization or depolymerization	2/14	13/6920	0.0002927453224245729	9	2	0.02355315874805423	SPC19, SPC34
GO:0051984	BP	e	positive regulation of chromosome segregation	2/14	14/6920	0.0003411414155518283	7	2	0.026461224717160583	SPC19, SPC34
GO:0032273	BP	e	positive regulation of protein polymerization	2/14	14/6920	0.0003411414155518283	7	2	0.026461224717160583	SPC19, SPC34
GO:0007049	BP	e	cell cycle	4/14	178/6920	0.0003462000617160129	2	4	0.026461224717160583	AME1, CIK1, KAR3, STU1
GO:0097435	BP	e	supramolecular fiber organization	3/14	78/6920	0.00045861423411630835	4	3	0.03447876848618672	DYN1, STU1, STU2
GO:0016043	BP	e	cellular component organization	10/14	1867/6920	0.0006588057695444219	3	10	0.04873037514726966	ARP1, BIK1, CIK1, DYN1, JNM1, KAR3, KAR5, NUF2, STU1, STU2
GO:0043254	BP	e	regulation of protein-containing complex assembly	3/14	89/6920	0.0006756527553384385	5	3	0.049183230729874274	BIK1, SPC19, SPC34
GO:0008152	BP	p	metabolic process	1/14	3843/6920	0.00021563318466876112	2	1	0.019017188170979585	KAR3
