YAL013W	YPL139C
YBR127C	YGL227W
YBR127C	YJR033C
YBR127C	YLR153C
YBR127C	YMR229C
YBR127C	YNL239W
YBR127C	YPR036W
YBR127C	YPR116W
YBR131W	YER095W
YBR131W	YGL124C
YBR131W	YPR030W
YBR136W	YHR114W
YBR136W	YMR259C
YBR136W	YOR210W
YBR139W	YDR416W
YBR139W	YER062C
YBR139W	YFR031C
YBR139W	YOR267C
YBR140C	YHR001W
YBR140C	YLR435W
YBR140C	YML058W
YBR140C	YNL186W
YBR142W	YDL240W
YBR142W	YDR496C
YBR142W	YER035W
YBR142W	YMR229C
YBR142W	YPR161C
YBR149W	YDR229W
YBR149W	YLR454W
YBR151W	YML028W
YBR151W	YNL126W
YBR155W	YCL014W
YBR155W	YDL115C
YBR170C	YDL126C
YBR170C	YGR048W
YBR170C	YNL155W
YBR173C	YER012W
YBR173C	YER094C
YBR173C	YKL206C
YBR173C	YKR054C
YBR173C	YML119W
YBR173C	YOR157C
YBR173C	YOR362C
YBR176W	YPR080W
YBR189W	YJR010C-A
YBR189W	YJR084W
YBR189W	YPR161C
YBR208C	YDR224C
YBR211C	YDR318W
YBR211C	YDR383C
YBR211C	YLR315W
YBR211C	YPR046W
YBR229C	YEL034W
YBR229C	YML056C
YBR238C	YLR435W
YBR248C	YER151C
YBR248C	YLR401C
YBR269C	YMR229C
YBR270C	YDR074W
YCL014W	YDR099W
YCL014W	YEL023C
YCL014W	YFR053C
YCL014W	YGL227W
YCL014W	YJL052W
YCL014W	YML010W
YCL014W	YPR161C
YCL028W	YMR259C
YCL029C	YDR466W
YCL029C	YER139C
YCL032W	YLR362W
YCL032W	YPL001W
YCL039W	YGL227W
YCL039W	YLR304C
YCL043C	YER155C
YCL057W	YNL307C
YCL057W	YPR002W
YCL068C	YHR027C
YCR011C	YDL126C
YCR011C	YMR304W
YCR014C	YDL147W
YCR014C	YDR363W-A
YCR014C	YHR027C
YCR014C	YHR200W
YCR014C	YOR261C
YCR016W	YDL240W
YCR016W	YGR237C
YCR020W-B	YDL147W
YCR020W-B	YDR520C
YCR020W-B	YIL033C
YCR020W-B	YKL091C
YCR020W-B	YMR033W
YCR020W-B	YOL070C
YCR030C	YDR074W
YCR030C	YJR082C
YCR030C	YMR259C
YCR066W	YJR009C
YCR066W	YOL016C
YCR073W-A	YER133W
YCR073W-A	YNR034W
YCR076C	YER094C
YCR076C	YOR157C
YCR081W	YDR443C
YCR081W	YPL042C
YCR082W	YGR252W
YCR093W	YDR127W
YCR093W	YDR363W-A
YCR093W	YIL075C
YCR093W	YNR052C
YCR093W	YPR110C
YDL019C	YDR060W
YDL019C	YDR129C
YDL019C	YDR381W
YDL019C	YER162C
YDL019C	YJR009C
YDL019C	YJR126C
YDL019C	YKL054C
YDL019C	YKR081C
YDL019C	YOR172W
YDL019C	YPL146C
YDL019C	YPR055W
YDL029W	YJR065C
YDL029W	YMR229C
YDL047W	YER155C
YDL047W	YKR028W
YDL047W	YLR097C
YDL076C	YNL107W
YDL076C	YOR244W
YDL076C	YPL004C
YDL078C	YKR025W
YDL078C	YNL113W
YDL081C	YJR010C-A
YDL081C	YLR355C
YDL085W	YKL093W
YDL085W	YLR371W
YDL085W	YOR076C
YDL087C	YKL012W
YDL087C	YLR275W
YDL100C	YER162C
YDL100C	YHL022C
YDL100C	YKR031C
YDL101C	YGR130C
YDL101C	YMR031C
YDL115C	YDL140C
YDL115C	YGR186W
YDL115C	YJL140W
YDL115C	YML010W
YDL115C	YNL127W
YDL115C	YOL005C
YDL115C	YOR151C
YDL115C	YOR210W
YDL115C	YPR110C
YDL121C	YGL173C
YDL126C	YDR330W
YDL126C	YER129W
YDL126C	YFL044C
YDL126C	YGR048W
YDL126C	YGR104C
YDL126C	YHR194W
YDL126C	YHR205W
YDL126C	YKL204W
YDL126C	YKL213C
YDL126C	YLR362W
YDL126C	YLR377C
YDL126C	YML064C
YDL126C	YMR067C
YDL126C	YNL031C
YDL126C	YNL155W
YDL126C	YOL013C
YDL132W	YOR117W
YDL140C	YER155C
YDL140C	YGR186W
YDL140C	YJL140W
YDL140C	YML010W
YDL140C	YOL005C
YDL140C	YOR001W
YDL140C	YOR151C
YDL140C	YOR210W
YDL140C	YPR093C
YDL147W	YDR108W
YDL147W	YDR320C
YDL147W	YDR363W-A
YDL147W	YER151C
YDL147W	YFR004W
YDL147W	YGR232W
YDL147W	YHR027C
YDL147W	YHR200W
YDL147W	YIL071C
YDL147W	YIL075C
YDL147W	YIL099W
YDL147W	YJL070C
YDL147W	YLL040C
YDL147W	YLL058W
YDL147W	YMR191W
YDL147W	YOR117W
YDL147W	YOR261C
YDL147W	YPL242C
YDL153C	YGL120C
YDL153C	YKL035W
YDL153C	YPR161C
YDL160C	YER035W
YDL161W	YDR229W
YDL171C	YLL029W
YDL173W	YLR153C
YDL173W	YNL186W
YDL175C	YGL120C
YDL197C	YLR442C
YDL199C	YPR110C
YDL209C	YOR157C
YDL240W	YDR036C
YDL240W	YGR086C
YDL240W	YPL004C
YDL241W	YKL157W
YDR001C	YDR099W
YDR001C	YDR381W
YDR001C	YER136W
YDR001C	YER177W
YDR001C	YGL173C
YDR005C	YKR025W
YDR009W	YFR031C
YDR016C	YER047C
YDR018C	YIL051C
YDR027C	YJR066W
YDR028C	YDR477W
YDR028C	YER133W
YDR028C	YER155C
YDR028C	YER177W
YDR028C	YNL009W
YDR028C	YNR034W
YDR032C	YNL186W
YDR036C	YGL060W
YDR036C	YPL137C
YDR046C	YDR301W
YDR046C	YPR107C
YDR060W	YGL120C
YDR060W	YGL173C
YDR060W	YLR211C
YDR060W	YMR229C
YDR060W	YPR045C
YDR069C	YDR207C
YDR069C	YJR001W
YDR069C	YOR177C
YDR074W	YDR416W
YDR074W	YKR001C
YDR074W	YKR056W
YDR074W	YLL043W
YDR074W	YMR261C
YDR091C	YDR363W-A
YDR091C	YJL005W
YDR091C	YLR192C
YDR096W	YNR038W
YDR099W	YDR219C
YDR099W	YDR381W
YDR099W	YDR490C
YDR099W	YEL023C
YDR099W	YER105C
YDR099W	YER133W
YDR099W	YER177W
YDR099W	YGL035C
YDR099W	YGR097W
YDR099W	YGR225W
YDR099W	YHR161C
YDR099W	YIR003W
YDR099W	YKR098C
YDR099W	YLR231C
YDR099W	YLR304C
YDR099W	YML006C
YDR099W	YMR031C
YDR099W	YMR291W
YDR099W	YNL267W
YDR099W	YNR034W
YDR099W	YNR047W
YDR099W	YOR267C
YDR099W	YPL001W
YDR099W	YPL074W
YDR099W	YPR049C
YDR099W	YPR171W
YDR103W	YEL023C
YDR105C	YEL056W
YDR107C	YGR104C
YDR108W	YDR363W-A
YDR108W	YHR027C
YDR108W	YHR200W
YDR108W	YML069W
YDR108W	YOR261C
YDR118W	YLR102C
YDR127W	YKL211C
YDR127W	YOL013C
YDR128W	YOR093C
YDR129C	YER105C
YDR129C	YGR170W
YDR129C	YIL129C
YDR129C	YLR142W
YDR129C	YLR330W
YDR129C	YML093W
YDR129C	YMR104C
YDR129C	YMR229C
YDR129C	YOL013C
YDR129C	YPL012W
YDR137W	YLR039C
YDR137W	YNL044W
YDR137W	YNL307C
YDR137W	YPR080W
YDR139C	YOR100C
YDR141C	YJR104C
YDR141C	YML010W
YDR141C	YNL297C
YDR141C	YNR038W
YDR159W	YMR304W
YDR165W	YDR207C
YDR165W	YDR363W-A
YDR165W	YER006W
YDR165W	YER062C
YDR165W	YFR053C
YDR165W	YKL038W
YDR166C	YGR037C
YDR169C	YPR080W
YDR173C	YDR225W
YDR181C	YDR283C
YDR189W	YIL107C
YDR199W	YPR188C
YDR204W	YMR304W
YDR207C	YDR381W
YDR207C	YPL137C
YDR219C	YJL052W
YDR219C	YJR009C
YDR224C	YER105C
YDR224C	YML069W
YDR224C	YMR284W
YDR224C	YOL012C
YDR224C	YOR191W
YDR225W	YFL014W
YDR225W	YKL188C
YDR225W	YLR087C
YDR225W	YLR106C
YDR225W	YML069W
YDR227W	YDR365C
YDR227W	YIL075C
YDR227W	YLR442C
YDR227W	YNL186W
YDR229W	YGL124C
YDR229W	YMR304W
YDR233C	YPL154C
YDR255C	YGL227W
YDR255C	YMR135C
YDR262W	YPL004C
YDR272W	YER062C
YDR272W	YJR043C
YDR272W	YJR104C
YDR272W	YLR043C
YDR272W	YML028W
YDR273W	YHR200W
YDR280W	YNL248C
YDR280W	YOL142W
YDR280W	YOR001W
YDR280W	YOR076C
YDR283C	YDR381W
YDR283C	YLL005C
YDR283C	YML010W
YDR283C	YML057W
YDR283C	YNL047C
YDR301W	YLR106C
YDR301W	YMR033W
YDR301W	YNL222W
YDR301W	YOR093C
YDR301W	YPR107C
YDR306C	YJL047C
YDR318W	YGR006W
YDR318W	YLR315W
YDR318W	YPR046W
YDR320C	YIL075C
YDR320C	YNL031C
YDR320C	YPR045C
YDR328C	YIL071C
YDR328C	YJR033C
YDR330W	YGR048W
YDR336W	YPL001W
YDR363W	YGL158W
YDR363W	YJL052W
YDR363W-A	YER151C
YDR363W-A	YFR004W
YDR363W-A	YGR232W
YDR363W-A	YHL030W
YDR363W-A	YHR027C
YDR363W-A	YHR200W
YDR363W-A	YIL075C
YDR363W-A	YJR009C
YDR363W-A	YJR084W
YDR363W-A	YMR191W
YDR363W-A	YNL047C
YDR363W-A	YNL216W
YDR363W-A	YOR057W
YDR363W-A	YOR117W
YDR363W-A	YOR261C
YDR363W-A	YPR045C
YDR364C	YPL178W
YDR365C	YDR377W
YDR365C	YDR381W
YDR365C	YDR466W
YDR365C	YER162C
YDR365C	YGL120C
YDR365C	YGR050C
YDR365C	YGR126W
YDR365C	YKL104C
YDR365C	YKL160W
YDR365C	YKR081C
YDR365C	YMR049C
YDR365C	YNR054C
YDR365C	YPL012W
YDR365C	YPL146C
YDR365C	YPR161C
YDR378C	YER035W
YDR378C	YGL173C
YDR381W	YDR398W
YDR381W	YER035W
YDR381W	YER151C
YDR381W	YER164W
YDR381W	YFL017W-A
YDR381W	YGL099W
YDR381W	YGL120C
YDR381W	YGL166W
YDR381W	YGL173C
YDR381W	YGL227W
YDR381W	YGR170W
YDR381W	YHL034C
YDR381W	YHR185C
YDR381W	YIL026C
YDR381W	YIL161W
YDR381W	YJL006C
YDR381W	YJL176C
YDR381W	YJR032W
YDR381W	YJR041C
YDR381W	YJR082C
YDR381W	YJR084W
YDR381W	YKL004W
YDR381W	YKL023W
YDR381W	YKL104C
YDR381W	YLR085C
YDR381W	YLR330W
YDR381W	YLR435W
YDR381W	YLR442C
YDR381W	YML010W
YDR381W	YML012W
YDR381W	YML112W
YDR381W	YMR049C
YDR381W	YMR229C
YDR381W	YNL049C
YDR381W	YNL051W
YDR381W	YNL140C
YDR381W	YNL293W
YDR381W	YOR185C
YDR381W	YPL001W
YDR381W	YPL004C
YDR381W	YPR045C
YDR381W	YPR107C
YDR383C	YLR315W
YDR383C	YPR046W
YDR391C	YLR354C
YDR416W	YGR129W
YDR416W	YIL068C
YDR416W	YLL036C
YDR416W	YLR117C
YDR416W	YMR213W
YDR419W	YDR477W
YDR419W	YML112W
YDR420W	YPL111W
YDR425W	YJL036W
YDR443C	YOL051W
YDR443C	YPL042C
YDR452W	YHR161C
YDR453C	YML028W
YDR460W	YPR025C
YDR460W	YPR056W
YDR470C	YFR031C
YDR470C	YML131W
YDR477W	YER129W
YDR477W	YER162C
YDR477W	YGL208W
YDR490C	YGR086C
YDR490C	YKL206C
YDR490C	YOR267C
YDR490C	YPL004C
YDR490C	YPL005W
YDR495C	YPR110C
YDR496C	YEL034W
YDR496C	YHL034C
YDR496C	YKL023W
YDR496C	YKL122C
YDR496C	YLR259C
YDR496C	YMR180C
YDR496C	YMR229C
YDR508C	YLR330W
YDR516C	YMR229C
YDR519W	YOL088C
YDR519W	YOR261C
YEL023C	YER155C
YEL023C	YFR053C
YEL023C	YJL052W
YEL023C	YJR009C
YEL023C	YOR362C
YEL030W	YJL047C
YEL034W	YKL047W
YEL034W	YLR231C
YEL034W	YML056C
YEL034W	YNL248C
YEL034W	YNL293W
YEL034W	YOR261C
YEL034W	YPL001W
YEL048C	YPR110C
YEL054C	YGL120C
YEL054C	YLR097C
YEL056W	YER006W
YEL056W	YGR104C
YEL056W	YLR259C
YEL056W	YML028W
YEL056W	YML131W
YEL056W	YNL031C
YEL056W	YNL261W
YEL056W	YPL001W
YEL056W	YPR014C
YEL060C	YNL106C
YEL060C	YNL186W
YER006W	YLR371W
YER006W	YMR229C
YER006W	YOL051W
YER012W	YER094C
YER012W	YJL132W
YER012W	YKL206C
YER012W	YMR067C
YER012W	YOR157C
YER012W	YOR362C
YER035W	YGL120C
YER035W	YHL034C
YER035W	YIL127C
YER035W	YLR196W
YER035W	YNL132W
YER035W	YNL248C
YER049W	YJR009C
YER049W	YKL007W
YER049W	YML131W
YER054C	YNL186W
YER062C	YER089C
YER062C	YER162C
YER062C	YKL069W
YER062C	YLR231C
YER062C	YPL247C
YER062C	YPR073C
YER063W	YMR229C
YER069W	YPR046W
YER088C	YPL001W
YER088C	YPL004C
YER094C	YOR157C
YER095W	YGL099W
YER095W	YJR009C
YER095W	YKR081C
YER095W	YLR385C
YER095W	YMR105C
YER095W	YNR010W
YER095W	YOR211C
YER105C	YIL071C
YER105C	YPL004C
YER109C	YKL129C
YER116C	YMR072W
YER116C	YOR058C
YER125W	YHR131C
YER125W	YMR275C
YER125W	YOR138C
YER125W	YOR322C
YER125W	YPR161C
YER132C	YMR304W
YER133W	YFR003C
YER133W	YKL193C
YER133W	YLR028C
YER133W	YMR086W
YER133W	YMR311C
YER133W	YNR034W
YER133W	YOR227W
YER133W	YPL137C
YER151C	YHL034C
YER151C	YLR295C
YER151C	YMR229C
YER151C	YPR161C
YER155C	YGL120C
YER155C	YJL052W
YER155C	YPL012W
YER162C	YFL037W
YER162C	YGR126W
YER162C	YIL063C
YER162C	YJL154C
YER162C	YJR010C-A
YER162C	YKL005C
YER162C	YKR081C
YER162C	YLR401C
YER162C	YLR435W
YER162C	YOR210W
YER162C	YPR110C
YER164W	YIL036W
YER164W	YKR081C
YER164W	YML069W
YER164W	YMR072W
YER164W	YMR229C
YER164W	YPL001W
YER166W	YKL129C
YER177W	YGL181W
YER177W	YGR097W
YER177W	YIR003W
YER177W	YMR086W
YER177W	YNR047W
YER177W	YOL013C
YER177W	YOR220W
YER178W	YNL071W
YER179W	YOR210W
YFL017W-A	YIL146C
YFL017W-A	YKL012W
YFL017W-A	YLR275W
YFL037W	YLR401C
YFL037W	YML058W
YFL037W	YMR229C
YFL054C	YML006C
YFR003C	YKL193C
YFR004W	YGR232W
YFR004W	YHR027C
YFR004W	YHR200W
YFR004W	YIL075C
YFR004W	YMR191W
YFR004W	YOR117W
YFR004W	YOR261C
YFR004W	YPL004C
YFR019W	YGR086C
YFR019W	YKL054C
YFR019W	YNL135C
YFR019W	YPL004C
YFR021W	YHR070W
YFR021W	YLR001C
YFR022W	YJR010C-A
YFR029W	YMR049C
YFR031C	YGR104C
YFR031C	YJR130C
YFR031C	YPL074W
YFR044C	YHR117W
YFR044C	YOL013C
YFR044C	YOL078W
YFR053C	YLR131C
YFR053C	YLR231C
YFR053C	YMR276W
YFR053C	YPR073C
YFR053C	YPR161C
YGL005C	YNL051W
YGL006W	YHR104W
YGL099W	YHL034C
YGL099W	YJL141C
YGL099W	YPR161C
YGL116W	YML056C
YGL116W	YNL024C
YGL116W	YPL004C
YGL120C	YGL173C
YGL120C	YHR018C
YGL120C	YLR106C
YGL120C	YLR206W
YGL120C	YLR424W
YGL120C	YMR086W
YGL120C	YMR229C
YGL120C	YNL224C
YGL120C	YNR054C
YGL120C	YNR074C
YGL120C	YOL118C
YGL120C	YOL136C
YGL120C	YOR211C
YGL120C	YPR161C
YGL124C	YIL036W
YGL124C	YOR151C
YGL141W	YNL186W
YGL161C	YJL095W
YGL173C	YGR086C
YGL173C	YHL034C
YGL173C	YKL023W
YGL173C	YNL186W
YGL173C	YPL004C
YGL173C	YPL147W
YGL173C	YPR110C
YGL173C	YPR161C
YGL176C	YHR027C
YGL179C	YGR104C
YGL180W	YKR098C
YGL227W	YGR126W
YGL227W	YLR430W
YGL227W	YMR135C
YGL227W	YOL047C
YGR006W	YPR046W
YGR037C	YLL019C
YGR048W	YHR205W
YGR052W	YMR284W
YGR070W	YLR371W
YGR071C	YJR070C
YGR071C	YML069W
YGR071C	YPL031C
YGR086C	YGR237C
YGR086C	YHR027C
YGR086C	YJR156C
YGR086C	YLR079W
YGR086C	YML095C
YGR086C	YMR031C
YGR086C	YMR086W
YGR086C	YNL107W
YGR086C	YNR052C
YGR086C	YOR035C
YGR086C	YPL004C
YGR086C	YPL074W
YGR086C	YPR115W
YGR086C	YPR161C
YGR097W	YKR018C
YGR097W	YMR304W
YGR104C	YLR258W
YGR104C	YLR396C
YGR104C	YMR080C
YGR104C	YMR104C
YGR104C	YMR133W
YGR104C	YNL084C
YGR104C	YNL127W
YGR104C	YNL168C
YGR104C	YNR010W
YGR104C	YOL051W
YGR115C	YKR018C
YGR116W	YLR330W
YGR116W	YML058W
YGR126W	YJR084W
YGR126W	YLR435W
YGR126W	YNL293W
YGR126W	YOR138C
YGR126W	YPR093C
YGR126W	YPR161C
YGR129W	YLR117C
YGR130C	YMR031C
YGR130C	YOR001W
YGR180C	YMR229C
YGR180C	YMR284W
YGR180C	YPL191C
YGR186W	YOL005C
YGR186W	YOR210W
YGR196C	YOL126C
YGR202C	YOR098C
YGR209C	YIL107C
YGR209C	YJL047C
YGR209C	YLR039C
YGR232W	YHR027C
YGR232W	YIL075C
YGR232W	YOR117W
YGR232W	YOR261C
YGR237C	YKR081C
YGR237C	YML056C
YGR247W	YOL126C
YGR255C	YML058W
YGR271W	YPR161C
YHL019C	YKL135C
YHL023C	YLR015W
YHL023C	YOR117W
YHL032C	YPL004C
YHL034C	YKL160W
YHL034C	YLR196W
YHL034C	YMR070W
YHL034C	YMR229C
YHL034C	YPR161C
YHR001W	YLR424W
YHR027C	YHR200W
YHR027C	YIL071C
YHR027C	YIL075C
YHR027C	YIL105C
YHR027C	YIL156W
YHR027C	YKR095W
YHR027C	YMR183C
YHR027C	YMR191W
YHR027C	YOR117W
YHR027C	YOR261C
YHR027C	YPL004C
YHR061C	YNR060W
YHR070W	YJL154C
YHR097C	YPR161C
YHR154W	YNL155W
YHR154W	YPL001W
YHR161C	YLR106C
YHR172W	YNL126W
YHR198C	YLL005C
YHR200W	YIL075C
YHR200W	YMR191W
YHR200W	YOR117W
YHR200W	YOR261C
YHR200W	YOR328W
YHR200W	YPL004C
YHR200W	YPR160W
YHR202W	YOL051W
YIL026C	YML010W
YIL032C	YNL140C
YIL033C	YJL164C
YIL033C	YOR057W
YIL036W	YIL150C
YIL036W	YMR070W
YIL036W	YMR201C
YIL036W	YMR284W
YIL036W	YOR172W
YIL036W	YPL001W
YIL038C	YJR032W
YIL041W	YJR032W
YIL041W	YLR435W
YIL047C	YLR039C
YIL063C	YKL054C
YIL063C	YNL084C
YIL071C	YNL265C
YIL071C	YOL088C
YIL071C	YPR080W
YIL075C	YLR258W
YIL075C	YMR191W
YIL075C	YOR117W
YIL075C	YOR261C
YIL075C	YOR367W
YIL075C	YPL004C
YIL104C	YKL054C
YIL104C	YML056C
YIL104C	YML093W
YIL105C	YLR258W
YIL105C	YPL208W
YIL105C	YPR161C
YIL107C	YOR116C
YIL108W	YMR149W
YIL125W	YIL156W
YIL127C	YMR099C
YIL143C	YLR258W
YIL152W	YJR043C
YIL152W	YJR092W
YIL156W	YIR003W
YIL156W	YJL020C
YIL156W	YJL095W
YIL156W	YNL239W
YIL156W	YNL297C
YIL156W	YPR025C
YIL161W	YNL135C
YIL166C	YMR304W
YIR003W	YKL007W
YIR019C	YMR284W
YIR037W	YPL001W
YJL005W	YLR258W
YJL005W	YNL138W
YJL006C	YML112W
YJL020C	YJR008W
YJL041W	YKR082W
YJL047C	YJR009C
YJL047C	YLR259C
YJL047C	YMR072W
YJL052W	YJR009C
YJL052W	YJR032W
YJL052W	YKL104C
YJL052W	YML056C
YJL052W	YOL013C
YJL052W	YPR161C
YJL053W	YJL154C
YJL053W	YOR069W
YJL053W	YOR132W
YJL056C	YML058W
YJL082W	YMR029C
YJL087C	YKL183W
YJL087C	YPL141C
YJL095W	YPL004C
YJL111W	YKL210W
YJL132W	YLR258W
YJL137C	YLR258W
YJL137C	YOR157C
YJL140W	YML010W
YJL140W	YOL005C
YJL140W	YOR210W
YJL146W	YPL154C
YJL154C	YOR069W
YJL154C	YOR132W
YJL154C	YPL070W
YJL164C	YLR275W
YJL176C	YLR258W
YJL176C	YMR033W
YJL176C	YNL027W
YJL176C	YNR010W
YJL187C	YPL001W
YJR001W	YOR128C
YJR005W	YJR058C
YJR009C	YKL129C
YJR009C	YMR259C
YJR009C	YNL045W
YJR009C	YOL013C
YJR009C	YOR057W
YJR009C	YOR172W
YJR010C-A	YML055W
YJR010C-A	YMR229C
YJR010C-A	YNR021W
YJR032W	YPL161C
YJR035W	YNL186W
YJR041C	YPL178W
YJR043C	YKL054C
YJR059W	YMR049C
YJR060W	YOR158W
YJR066W	YMR304W
YJR082C	YLR330W
YJR082C	YNL107W
YJR082C	YNL136W
YJR082C	YOR244W
YJR084W	YPL012W
YJR084W	YPR045C
YJR090C	YOL012C
YJR091C	YMR311C
YJR099W	YKL104C
YJR104C	YKL029C
YJR104C	YKR003W
YJR104C	YMR038C
YJR104C	YPL201C
YJR110W	YLR424W
YJR110W	YPL208W
YJR136C	YKL210W
YKL007W	YML069W
YKL007W	YMR229C
YKL007W	YOL065C
YKL007W	YPR093C
YKL012W	YLR275W
YKL012W	YPR182W
YKL023W	YKR081C
YKL023W	YLR085C
YKL023W	YOL012C
YKL023W	YPR161C
YKL029C	YNL045W
YKL035W	YLR231C
YKL035W	YOL155C
YKL054C	YLR442C
YKL054C	YOR210W
YKL054C	YOR341W
YKL054C	YPL001W
YKL057C	YPL001W
YKL058W	YOR093C
YKL091C	YMR033W
YKL093W	YLR273C
YKL100C	YMR170C
YKL104C	YKR081C
YKL104C	YLR039C
YKL104C	YMR213W
YKL104C	YNL261W
YKL104C	YOR362C
YKL105C	YOR057W
YKL113C	YKR081C
YKL113C	YLR312C
YKL113C	YMR229C
YKL122C	YKL129C
YKL122C	YPL243W
YKL127W	YMR105C
YKL129C	YMR109W
YKL160W	YLR219W
YKL160W	YPL146C
YKL182W	YLR231C
YKL182W	YPL231W
YKL190W	YML057W
YKL193C	YML016C
YKL201C	YKR081C
YKL203C	YKR081C
YKL210W	YKR082W
YKL210W	YOR184W
YKL213C	YLR362W
YKL213C	YML117W
YKR018C	YNL042W
YKR025W	YOR116C
YKR025W	YOR210W
YKR025W	YPR110C
YKR027W	YLR330W
YKR027W	YNL186W
YKR028W	YPR161C
YKR047W	YPR161C
YKR058W	YLR258W
YKR081C	YMR229C
YKR081C	YNL186W
YKR081C	YOL051W
YKR081C	YPR045C
YKR081C	YPR161C
YKR098C	YPR161C
YLL029W	YOR138C
YLL036C	YLR117C
YLL036C	YLR323C
YLL036C	YMR213W
YLL036C	YPR134W
YLL040C	YOR261C
YLL050C	YLR039C
YLL050C	YLR231C
YLL050C	YNL138W
YLL050C	YPR073C
YLR015W	YLR153C
YLR015W	YLR219W
YLR015W	YNL154C
YLR015W	YNR045W
YLR015W	YOR058C
YLR015W	YPL004C
YLR028C	YNR034W
YLR043C	YLR231C
YLR060W	YOL013C
YLR072W	YNL031C
YLR079W	YLR417W
YLR079W	YPR119W
YLR085C	YLR259C
YLR085C	YLR385C
YLR091W	YPR116W
YLR102C	YML058W
YLR107W	YLR435W
YLR114C	YMR049C
YLR117C	YMR213W
YLR131C	YNL135C
YLR152C	YLR258W
YLR153C	YOL013C
YLR153C	YPR080W
YLR190W	YPL031C
YLR192C	YNL186W
YLR196W	YMR229C
YLR196W	YNR038W
YLR196W	YPR161C
YLR219W	YPR161C
YLR223C	YPR135W
YLR231C	YML028W
YLR231C	YMR083W
YLR231C	YPL231W
YLR231C	YPR036W
YLR258W	YMR304W
YLR258W	YOR157C
YLR259C	YML056C
YLR259C	YPL247C
YLR271W	YNL186W
YLR274W	YPR117W
YLR275W	YNL024C
YLR275W	YOR244W
YLR275W	YPR182W
YLR304C	YNL106C
YLR304C	YOR328W
YLR315W	YPR046W
YLR330W	YMR008C
YLR330W	YNL045W
YLR330W	YNR021W
YLR350W	YNL031C
YLR354C	YMR104C
YLR354C	YPL236C
