YNL141W	YKL086W
YLR423C	YPL159C
YFR021W	YGL190C
YFR021W	YDR034C
YFR021W	YER162C
YFR021W	YCL063W
YFR021W	YML059C
YNL223W	YAR019C
YDL149W	YKL064W
YDR384C	YPR156C
YLR295C	YIL124W
YLR295C	YJL058C
YLR295C	YLR215C
YLR295C	YMR138W
YLR295C	YDL045C
YLR295C	YKL060C
YLR295C	YIL020C
YLR295C	YNL009W
YLR295C	YKL103C
YLR295C	YDR378C
YLR295C	YNL328C
YLR295C	YBR193C
YLR295C	YIL051C
YLR295C	YKL127W
YLR295C	YOR145C
YLR295C	YJL001W
YLR295C	YIL117C
YLR295C	YJL166W
YLR295C	YIL076W
YLR295C	YGR009C
YLR295C	YML034W
YLR295C	YIL143C
YLR295C	YJR009C
YLR295C	YKL080W
YLR295C	YAR035W
YLR295C	YDL172C
YLR295C	YDR319C
YLR295C	YDR445C
YLR295C	YFR043C
YLR295C	YGL010W
YLR295C	YGL250W
YLR295C	YGR122W
YLR295C	YHR140W
YLR295C	YIL059C
YLR295C	YIR036C
YLR295C	YJR037W
YLR295C	YJR083C
YLR295C	YJR120W
YLR295C	YLR460C
YLR295C	YML079W
YLR295C	YMR181C
YLR295C	YOL050C
YLR295C	YPR118W
YPL271W	YJR091C
YDR377W	YPL078C
YDR377W	Q0085
YPL078C	Q0085
YPL078C	YER100W
YDR298C	Q0085
YMR068W	YKL203C
YMR068W	YGL250W
YMR068W	YIL105C
YIL124W	YGL137W
YIL124W	YLR447C
YGR224W	YLR080W
YGR224W	YKL020C
YBR068C	YDR046C
YBR068C	YJR001W
YDR046C	YGR060W
YDR046C	YJR010C-A
YDR046C	YBR159W
YJR148W	YHR152W
YPL255W	YML092C
YPL255W	YML064C
YPL255W	YLR392C
YPL255W	YFR049W
YIL033C	YJR017C
YIL033C	YLR347C
YIL033C	YBL106C
YIL033C	YJL164C
YIL033C	YPL203W
YIL033C	YKL166C
YIL033C	YHR135C
YIL033C	YNL093W
YPL161C	YAL041W
YPL161C	YLL038C
YPL161C	YOR156C
YPL161C	YKR055W
YPL161C	YER047C
YKR068C	YDR108W
YKR068C	YDR407C
YKR068C	YMR218C
YKR068C	YDR246W
YJR053W	YLR078C
YJR053W	YMR055C
YJR053W	YMR001C
YJR053W	YGL121C
YJR053W	YML064C
YDR299W	YER127W
YDR299W	YGR090W
YCL029C	YPL155C
YCL029C	YKL103C
YNR056C	YDR456W
YJR089W	YDR328C
YJL058C	YNL201C
YJL058C	YBR260C
YJL058C	YML098W
YJL058C	YML064C
YJL058C	YKL203C
YJL058C	YLR373C
YJL058C	YLR447C
YJL058C	YGR071C
YJL058C	YNL092W
YFL007W	YML092C
YER177W	YDR099W
YER177W	YPR030W
YER177W	YLR258W
YER177W	YHL007C
YER177W	YIL028W
YDR099W	YNL042W
YDR099W	YPR030W
YDR099W	YDR130C
YDR099W	YBR001C
YDR099W	YAL017W
YDR099W	YHL007C
YFR047C	YLR347C
YFR047C	YLL046C
YNL271C	YLR319C
YNL271C	YDR021W
YNL271C	YCL027W
YNL271C	YMR032W
YNL271C	YMR109W
YLR078C	YHR114W
YLR078C	YMR297W
YLR078C	YPL218W
YLR078C	YLR268W
YLR078C	YIL109C
YLR078C	YGL137W
YLR078C	YIL076W
YLR078C	YDR189W
YLR078C	YFL038C
YLL015W	YJR022W
YLL015W	YDL138W
YLR015W	YDL140C
YLR015W	YBR258C
YER172C	YJR022W
YER172C	YNR053C
YER172C	YKR086W
YER172C	YHR165C
YBR290W	YOR016C
YBR290W	YML048W
YBR290W	YJL117W
YBR290W	YIL114C
YBR290W	YIL016W
YBR290W	YPR156C
YBR290W	YDL015C
YBR290W	YAL018C
YBR290W	YBR159W
YBR290W	YPL087W
YBR290W	YLR004C
YMR055C	YER143W
YMR055C	YML064C
YOR026W	YLR258W
YLR074C	YLL050C
YLR074C	YDR155C
YLR074C	YDR036C
YLR074C	YBR101C
YLR074C	YNL038W
YLR074C	YDR225W
YLR074C	YEL034W
YLR074C	YPL093W
YLR074C	YNR053C
YLR074C	YGL120C
YLR074C	YLR196W
YLR074C	YNL002C
YLR074C	YKR081C
YLR074C	YGR245C
YLR074C	YCR072C
YLR074C	YIR003W
YLR074C	YJL122W
YCR047C	YNL282W
YFL023W	YLR243W
YCR063W	YMR213W
YCR063W	YHR165C
YCL014W	YPR119W
YCL014W	YJR091C
YLR319C	YMR186W
YLR319C	YGL015C
YMR275C	YHL002W
YMR275C	YER125W
YHR114W	YJL065C
YHR114W	YDR069C
YHR114W	YGL222C
YHR114W	YNL280C
YHR114W	YML008C
YHR114W	YER032W
YHR114W	YDR148C
YHR114W	YJL174W
YHR114W	YBR205W
YHR114W	YOR181W
YHR114W	YMR109W
YHR114W	YPL174C
YHR114W	YNL078W
YHR114W	YDL213C
YHR114W	YJL117W
YHR114W	YGL037C
YHR114W	YDL134C
YHR114W	YML092C
YHR114W	YGL189C
YHR114W	YPL152W
YHR114W	YER125W
YHR114W	YJL151C
YHR114W	YDR416W
YHR114W	YDL217C
YHR114W	YDL015C
YHR114W	YIL008W
YHR114W	YGL104C
YHR114W	YDL146W
YHR114W	YDL172C
YHR114W	YDR056C
YHR114W	YDR319C
YHR114W	YGR031W
YHR114W	YHL044W
YHR114W	YLR112W
YHR114W	YMR253C
YHR114W	YNL092W
YOR276W	YER027C
YOR276W	YKR048C
YER048C	YDR342C
YLR438W	YHR169W
YLR438W	YLR186W
YLR438W	YJR017C
YLR438W	YHR135C
YLR438W	YPL150W
YMR280C	YJL089W
YPL178W	YLR347C
YPL178W	YDL087C
YPL178W	YDR034C
YPL178W	YML117W
YPL178W	YNL251C
YPL178W	YML049C
YPL178W	YDR240C
YKL011C	YDR155C
YKL011C	YBR278W
YKL011C	YDL101C
YKL011C	YGL121C
YKL011C	YNL014W
YKL011C	YBR010W
YKL011C	YEL024W
YKL011C	YGL137W
YKL011C	YGR184C
YKL011C	YHR033W
YPR025C	YOR173W
YPR025C	YDR508C
YPR025C	YPL031C
YPR025C	YKR086W
YPR025C	YDR460W
YPR025C	YLR373C
YAL021C	YDL165W
YAL021C	YCR093W
YAL021C	YGR092W
YAL021C	YGR086C
YAL021C	YDR443C
YAL021C	YPL042C
YAL021C	YNL025C
YAL021C	YGR184C
YJL014W	YGL116W
YJL014W	YGL190C
YJL014W	YGL003C
YJL014W	YDR142C
YJL014W	YLR196W
YJL014W	YMR106C
YJL008C	YAL041W
YJL008C	YOR117W
YBR131W	YPL045W
YLR215C	YLR447C
YLR215C	YHR115C
YLR215C	YNL116W
YAR019C	YGR092W
YAR019C	YHR169W
YAR019C	YML064C
YAR019C	YDL185W
YKL022C	YHR166C
YKL022C	YGL003C
YKL022C	YGL240W
YKL022C	YDR386W
YKL022C	YDR369C
YGL116W	YPR119W
YGL116W	YJL030W
YHR166C	YGL003C
YHR166C	YPR119W
YHR166C	YGL240W
YHR166C	YEL034W
YAL041W	YLR206W
YAL041W	YJL157C
YAL041W	YGL233W
YAL041W	YNL007C
YAL041W	YHL007C
YAL041W	YGL052W
YAL041W	YMR298W
YDR054C	YOL133W
YDR054C	YNL236W
YDR054C	YDR328C
YDR054C	YIL148W
YDL165W	YCR093W
YDL165W	YDR443C
YDL165W	YPL042C
YDL165W	YNL025C
YDL165W	YLR125W
YCR093W	YOL133W
YCR093W	YPL235W
YCR093W	YGL137W
YCR093W	YDR443C
YCR093W	YPL042C
YCR093W	YNL025C
YCR093W	YML015C
YCR093W	YGL112C
YLR274W	YBL023C
YCR094W	YJR091C
YGL190C	YOR349W
YGL190C	YMR109W
YGL190C	YDL134C
YGL190C	YDL188C
YGL190C	YAL016W
YGL190C	YLR373C
YGL190C	YHR033W
YGL190C	YDR381W
YMR001C	YGL003C
YMR001C	YDR052C
YMR001C	YLR347C
YMR001C	YDR386W
YMR001C	YDR229W
YMR001C	YNL092W
YPL160W	YPR110C
YPL160W	YCR079W
YJL194W	YBL023C
YJL194W	YML065W
YJL194W	YLL004W
YJL194W	YHR118C
YJL194W	YKL145W
YJL194W	YDR196C
YLR245C	YPL070W
YLR245C	YML064C
YGL003C	YPR119W
YGL003C	YKR048C
YGL003C	YMR304W
YMR213W	YLR117C
YMR213W	YLL036C
YMR213W	YGL120C
YMR213W	YPL151C
YMR213W	YHR165C
YMR213W	YML049C
YMR213W	YDR416W
YDR301W	YLR115W
YDR301W	YOR250C
YDR301W	YJR093C
YDR301W	YDR228C
YDR301W	YNL317W
YDR301W	YAL043C
YDR301W	YGR156W
YDR301W	YDR195W
YDR301W	YDL140C
YDR301W	YPR107C
YLR115W	YJR093C
YLR115W	YDR228C
YLR115W	YNL317W
YLR115W	YAL043C
YLR115W	YGR156W
YLR115W	YDR195W
YLR115W	YDL140C
YLR115W	YNL222W
YLR115W	YDL094C
YLR115W	YPR107C
YGL206C	YOR181W
YGL206C	YDR320C
YBR274W	YKL104C
YBR274W	YMR255W
YBR274W	YLR258W
YBR274W	YJL036W
YBR274W	YLR152C
YBR274W	YNL234W
YER026C	YBR036C
YER026C	YGR060W
YER026C	YJR010C-A
YER026C	YEL002C
YER026C	YDR307W
YER026C	YHL042W
YER026C	YHR140W
YBR038W	YPL020C
YBR038W	YCL022C
YJL099W	YJR091C
YJL099W	YER031C
YMR138W	YBR284W
YNR001C	YLR447C
YPR119W	YNL135C
YPR119W	YDR386W
YPR119W	YKR048C
YPR119W	YBR024W
YPR119W	YER111C
YPR119W	YIL148W
YPR119W	YDR412W
YLR117C	YCL027W
YLR117C	YBR244W
YLR117C	YBR188C
YLR117C	YLL036C
YLR117C	YGL120C
YLR117C	YHR165C
YLR117C	YML049C
YLR117C	YBL050W
YLR117C	YDR416W
YLR117C	YKL095W
YOR250C	YDR228C
YFR014C	YKL119C
YML057W	YKL190W
YML057W	YHR082C
YLR433C	YKL190W
YLR433C	YDL186W
YLR433C	YHR182W
YLL050C	YLR429W
YLL050C	YJL005W
YLL050C	YOR181W
YLL050C	YML064C
YGR120C	YMR025W
YGR120C	YAL034W-A
YGR120C	YNL086W
YGR120C	YNR025C
YGR120C	YFL038C
YNL336W	YNL130C
YBR302C	YLL028W
YBR302C	YBR159W
YBR302C	YOR192C
YJR161C	YBR159W
YDR155C	YDL101C
YDR155C	YGL194C
YDR155C	YOL068C
YDR155C	YKL103C
YDR155C	YDL200C
YDR155C	YPL235W
YDR155C	YBR103W
YDR155C	YOR290C
YDR155C	YCR033W
YDR155C	YML064C
YDR155C	YNL157W
YJL172W	YCL008C
YJL172W	YIL148W
YNL130C	YOR016C
YNL130C	YHR110W
YNL130C	YER039C
YNL130C	YIL114C
YNL130C	YBR159W
YGR189C	YDR034C
YGR189C	YNL092W
YGR218W	YDR016C
YGR218W	YNL118C
YGR218W	YLR436C
YGR218W	YER062C
YGR218W	YOL133W
YGR218W	YHR082C
YGR218W	YDR499W
YGR218W	YOR147W
YGR218W	YML117W
YGR218W	YML120C
YGR218W	YIL115C
YGR218W	YLR151C
YGR218W	YDL065C
YGR218W	YJL210W
YGR218W	YJR134C
YGR218W	YNL196C
YGR218W	YPL120W
YGR218W	YBR235W
YGR218W	YDR229W
YGR218W	YJR061W
YGR218W	YJR083C
YGR218W	YMR124W
YGR218W	YPL056C
YGR218W	YDR002W
YLR429W	YDR328C
YNR010W	YDL005C
YNR010W	YNL055C
YBR036C	YEL027W
YBR036C	YOR016C
YBR036C	YHR110W
YBR036C	YMR306W
YBR036C	YML048W
YBR036C	YJL214W
YBR036C	YIL114C
YBR036C	YIL016W
YBR036C	YDL015C
YBR036C	YAL018C
YBR036C	YBR159W
YBR036C	YBR161W
YBR036C	YLL048C
YBR036C	YDR307W
YBR036C	YHR140W
YBR036C	YPL264C
YDR256C	YLR347C
YDR256C	YGL153W
YDR256C	YMR314W
YLR381W	YAR035W
YPR135W	YNL102W
YPR135W	YLR416C
YCR054C	YMR032W
YDR371W	YIR038C
YOR042W	YFR024C-A
YEL027W	YOR016C
YEL027W	YBR298C
YEL027W	YDL054C
YEL027W	YLL028W
YPL177C	YGR184C
YLR323C	YDR315C
YDR430C	YER178W
YDR430C	YBR221C
YDR430C	YGR193C
YJL005W	YGR092W
YJL005W	YNL098C
YLR037C	YJR091C
YPR111W	YPR160W
YPR111W	YIL106W
YGR092W	YPR160W
YGR092W	YIL106W
YGR092W	YDL147W
YGR092W	YDR394W
YGR092W	YOR117W
YGR092W	YGL137W
YGR092W	YPL042C
YGR092W	YDL185W
YGR092W	YKL061W
YDR052C	YBL023C
YKR024C	YLR233C
YKR024C	YHR082C
YKR024C	YDL213C
YKR024C	YDR215C
YHR169W	YNL014W
YHR169W	YIL125W
YHR169W	YHR027C
YHR169W	YDL086W
YOR180C	YLR284C
YOR180C	YGL153W
YNL118C	YPR160W
YNL118C	YOL151W
YNL118C	YJR022W
YNL118C	YKR031C
YNL118C	YCR076C
YNL118C	YIR014W
YNL118C	YKL133C
YNL118C	YOR093C
YOR173W	YHR152W
YPL194W	YPL029W
YER143W	YEL037C
YER143W	YIL148W
YOR245C	YGL053W
YOR245C	YBL050W
YDR403W	YKR053C
YER179W	YJL125C
YER179W	YNL055C
YER179W	YPL235W
YER179W	YML064C
YER179W	YKL211C
YER179W	YIL105C
YDR069C	YBR221C
YDR069C	YBL064C
YDR069C	YDL147W
YDR141C	YPR110C
YDR440W	YBR010W
YIL010W	YGL181W
YER088C	YDL076C
YBR278W	YMR290C
YBR278W	YJR091C
YBR278W	YLR181C
YBR278W	YIL006W
YDR284C	YBR298C
YDR284C	YPR079W
YDR284C	YHL017W
YDR284C	YKR088C
YMR276W	YEL037C
YMR276W	YHR027C
YMR276W	YOR117W
YMR276W	YIL148W
YMR276W	YDL190C
YNL258C	YFL021W
YNL258C	YGL145W
YDL101C	YJL092W
YDL101C	YBR205W
YDL101C	YDL200C
YDL101C	YNL250W
YDL101C	YER125W
YDL101C	YJR104C
YDL101C	YLR234W
YDL101C	YHR135C
YDL101C	YDR051C
YDL101C	YKL095W
YDL101C	YMR226C
YBR252W	YPL070W
YBR252W	YML064C
YKL204W	YGL137W
YLR284C	YPL070W
YLR284C	YGL153W
YLR284C	YML064C
YHR132C	YLR447C
YBL001C	YER067W
YAL059W	YMR186W
YAL059W	YBR115C
YAL059W	YDR395W
YHL030W	YOL133W
YHL030W	YML092C
YHL030W	YEL037C
YHL030W	YPR110C
YHL030W	YFR004W
YHL030W	YDL147W
YHL030W	YOR261C
YHL030W	YKL145W
YHL030W	YFR010W
YLR436C	YMR304W
YBR078W	YOL133W
YLR299W	YOL137W
YBR076W	YJR091C
YGL222C	YJR091C
YPL037C	YKL095W
YNL327W	YIL148W
YPL101W	YLR384C
YLR186W	YPL004C
YLR186W	YGR090W
YLR186W	YER030W
YLR080W	YFL048C
YLR080W	YBR159W
YLR080W	YKR088C
YFL048C	YBR159W
YNL084C	YHR158C
YNL084C	YOR181W
YNL084C	YPL174C
YNL084C	YJR035W
YNL084C	YNL250W
YLR206W	YBL106C
YMR049C	YLR300W
YMR049C	YMR290C
YMR049C	YDR342C
YMR049C	YJR091C
YMR049C	YDR386W
YMR049C	YLR002C
YMR049C	YPL093W
YMR049C	YPL043W
YMR049C	YDL213C
YMR049C	YGL023C
YMR049C	YGL120C
YMR049C	YNL002C
YMR049C	YKR081C
YMR049C	YER120W
YMR049C	YFL045C
YMR049C	YHR066W
YMR049C	YMR093W
YMR049C	YDR412W
YMR049C	YOR272W
YDR414C	YMR292W
YDR414C	YEL017C-A
YDR414C	YBL102W
YDR414C	YJL004C
YDR414C	YGL104C
YDR414C	YBR159W
YDR414C	YCR100C
YDR414C	YEL004W
YDR414C	YHL042W
YDR414C	YJL193W
YDR414C	YPL264C
YPL028W	YGR223C
YHR007C	YKR050W
YHR007C	YLL048C
YJL167W	YJR035W
YJL167W	YDR369C
YJL167W	YDL186W
YGR060W	YOR016C
YGR060W	YML048W
YGR060W	YML075C
YGR060W	YDR343C
YGR060W	YJL117W
YGR060W	YEL017C-A
YGR060W	YIL016W
YGR060W	YJR010C-A
YGR060W	YLL005C
YGR060W	YLL028W
YGR060W	YDL015C
YGR060W	YAR027W
YGR060W	YBR159W
YGR060W	YHR140W
YGR060W	YJL202C
YGR060W	YKR088C
YGR060W	YPL264C
YER044C	YDR034C
YML008C	YJR010C-A
YML008C	YPL020C
YML008C	YCL023C
YOR016C	YHR110W
YOR016C	YOL132W
YOR016C	YDL054C
YOR016C	YOR211C
YOR016C	YJR010C-A
YOR016C	YLL028W
YOR016C	YPR156C
YOR016C	YDL015C
YOR016C	YGL104C
YOR016C	YEL002C
YOR016C	YDR307W
YOR016C	YHL042W
YOR016C	YHR140W
YOR016C	YPL264C
YHR110W	YML048W
YHR110W	YAR031W
YHR110W	YBR159W
YCR075C	YDR456W
YML012W	YLR208W
YML012W	YIL109C
YML012W	YMR054W
YPR037C	YPR156C
YOR244W	YDR359C
YOR244W	YDR271C
YDR363W	YDR275W
YDR365C	YMR296C
YDR365C	YGL008C
YDR365C	YKR081C
YDR365C	YJL207C
YDR365C	YNR054C
YDR365C	YDR381W
YJR017C	YNL014W
YJR017C	YLL026W
YJR017C	YDR343C
YJR017C	YGR253C
YJR017C	YHR027C
YJR017C	YDL140C
YJR017C	YML010W
YJR017C	YGR186W
YJR017C	YDR457W
YJR017C	YGR090W
YJR017C	YHR033W
YLR233C	YCL043C
YLR233C	YLR196W
YLR233C	YKR081C
YLR233C	YPL012W
YLR233C	YDR087C
YLR233C	YKL020C
YLR233C	YLR006C
YLR233C	YJL109C
YJL085W	YLR247C
YBR102C	YHR165C
YBR102C	YGL233W
YBR102C	YML097C
YMR246W	YOL133W
YMR246W	YHR136C
YMR246W	YML064C
YMR246W	YDR398W
YDR021W	YJR007W
YJL157C	YDR394W
YJL157C	YMR304W
YMR029C	YER020W
YMR029C	YLR238W
YLR377C	YLR347C
YLR377C	YML064C
YOR388C	YBL039C
YCR028C	YJL004C
YBR101C	YJL117W
YBR101C	YPR154W
YBR101C	YPL136W
YDR130C	YER032W
YJR093C	YNL317W
YJR093C	YAL043C
YJR093C	YGR156W
YJR093C	YCL032W
YJR093C	YML030W
YJR093C	YNL092W
YJR093C	YPR107C
YER032W	YCL027W
YER032W	YDR195W
YER032W	YHR152W
YER032W	YMR093W
YER032W	YDR259C
YER032W	YJR110W
YIL065C	YJR091C
YNL135C	YER136W
YNL135C	YMR205C
YNL135C	YJR104C
YNL135C	YKL203C
YOR384W	YGL181W
YMR222C	YIL016W
YBR207W	YOL132W
YAL035W	YIR001C
YAL035W	YMR106C
YAL035W	YLR427W
YCL027W	YPR008W
YCL027W	YGR289C
YCL027W	YAL017W
YCL027W	YKR101W
YCL027W	YDL199C
YCL027W	YIR014W
YCL027W	YKL105C
YIL097W	YCL039W
YIL097W	YOR117W
YBR179C	YDR142C
YBR020W	YML051W
YPL248C	YML051W
YPL248C	YDR296W
YPL248C	YPL042C
YPL248C	YGL112C
YER027C	YJL089W
YKR039W	YBR159W
YOL132W	YML048W
YOL132W	YOR099W
YOL132W	YNL055C
YOL132W	YMR274C
YOL132W	YBR159W
YOL132W	YHR140W
YDR283C	YMR186W
YDR283C	YPR178W
YDR283C	YNL213C
YPR184W	YER054C
YDL215C	YLR320W
YER136W	YJR035W
YER136W	YBR264C
YER136W	YFL038C
YER136W	YER031C
YER136W	YKR014C
YJR040W	YAR027W
YJR040W	YBL086C
YKL104C	YER095W
YKL104C	YPR110C
YKL104C	YBR238C
YKL104C	YGL081W
YKL104C	YKL161C
YMR255W	YDL207W
YMR255W	YGL112C
YMR255W	YHR016C
YCL039W	YMR135C
YCL039W	YDR342C
YCL039W	YDR255C
YCL039W	YDL185W
YCL039W	YIL017C
YCL039W	YGL227W
YER054C	YPR160W
YER054C	YLR258W
YER054C	YML016C
YDL207W	YIL115C
YER107C	YGL143C
YJL137C	YFR015C
YJL137C	YLR258W
YDL171C	YBL023C
YDL171C	YMR117C
YDR508C	YIL114C
YDR508C	YLR373C
YDR508C	YBR159W
YDR508C	YMR279C
YER020W	YGL121C
YER020W	YDL035C
YER020W	YNL124W
YER020W	YPL036W
YGL121C	YDL200C
YGL121C	YDL188C
YPR160W	YDL043C
YPR160W	YAL017W
YPR160W	YNL250W
YPR160W	YKL166C
YPR160W	YMR106C
YKL026C	YFL051C
YOL151W	YLR196W
YML048W	YIR038C
YML048W	YMR011W
YML048W	YJL214W
YML048W	YBR298C
YML048W	YLL061W
YML048W	YEL017C-A
YML048W	YJR010C-A
YML048W	YLL028W
YML048W	YPR156C
YML048W	YDL015C
YML048W	YDL210W
YML048W	YGL104C
YML048W	YEL002C
YML048W	YBR159W
YML048W	YDR307W
YML048W	YHL042W
YML048W	YHR140W
YML048W	YPL264C
YFR015C	YLR258W
YFR015C	YHR008C
YFR015C	YDR259C
YFR015C	YGL081W
YGL181W	YBR138C
YGL181W	YAR018C
YGL181W	YDR034C
YGL181W	YPL188W
YGL181W	YPL156C
YGL181W	YKR028W
YGL181W	YER047C
YGL181W	YAL004W
YGL181W	YGR241C
YGL181W	YDR259C
YGL181W	YCR072C
YGL181W	YHR177W
YGL181W	YNR068C
YGL181W	YOR331C
YGL181W	YHR016C
YIR038C	YPL020C
YIR038C	YGR149W
YIR038C	YNL234W
YPL189W	YCR021C
YPL189W	YDR086C
YPL189W	YBR159W
YFL027C	YHR115C
YMR290C	YKL103C
YMR290C	YPL043W
YMR290C	YDL213C
YMR290C	YKR081C
YMR290C	YHR066W
YMR290C	YML064C
YMR290C	YLR427W
YEL056W	YDR233C
YPR179C	YOL090W
YNL014W	YDL200C
YNL014W	YJL173C
YNL014W	YCR079W
YBR010W	YDR225W
YBR010W	YKL103C
YBR010W	YDL200C
YBR248C	YOL102C
YML075C	YLR207W
YML075C	YIL016W
YML075C	YLL005C
YML075C	YGL104C
YML075C	YEL002C
YML075C	YBR159W
YML075C	YOR102W
YML075C	YPL264C
YCL066W	YCR096C
YCL066W	YJR091C
YCL066W	YLR378C
YCR097W	YCR096C
YCR096C	YOL006C
YBR034C	YJR022W
YBR034C	YNL078W
YDR305C	YLR447C
YMR032W	YOR181W
YMR032W	YJL039C
YMR032W	YBR260C
YMR032W	YHL027W
YMR032W	YER047C
YMR032W	YER144C
YMR032W	YNL152W
YER062C	YJL173C
YER062C	YPL201C
