# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0007059	BP	e	chromosome segregation	9/10	113/6920	5.903704613525537e-16	3	9	2.707438935762811e-12	BIK1, CIN8, DUO1, IPL1, KIP1, NUF2, SLI15, SPC19, SPC34
GO:0032273	BP	e	positive regulation of protein polymerization	3/10	14/6920	7.846489883833849e-07	7	3	0.0001199466753575401	DUO1, SPC19, SPC34
GO:0051726	BP	e	regulation of cell cycle	6/10	298/6920	1.1011294708324867e-06	4	6	0.00016289612107218659	CIN8, DUO1, IPL1, SLI15, SPC19, SPC34
GO:1902903	BP	e	regulation of supramolecular fiber organization	4/10	63/6920	1.2576148168768678e-06	5	4	0.00018023192344366611	BIK1, DUO1, SPC19, SPC34
GO:1903047	BP	e	mitotic cell cycle process	6/10	315/6920	1.526877796396645e-06	3	6	0.00021218974467500045	BIK1, CIN8, IPL1, KIP1, NUF2, STU2
GO:0044087	BP	e	regulation of cellular component biogenesis	5/10	168/6920	1.8151786112589109e-06	4	5	0.000244835562095099	BIK1, DUO1, IPL1, SPC19, SPC34
GO:0007018	BP	e	microtubule-based movement	3/10	22/6920	3.299546366712495e-06	3	3	0.0004323348467926715	BIK1, CIN8, KIP1
GO:0045132	BP	e	meiotic chromosome segregation	3/10	24/6920	4.329957951256164e-06	5	3	0.0005515885323461324	CIN8, IPL1, NUF2
GO:0043254	BP	e	regulation of protein-containing complex assembly	4/10	89/6920	5.062133621683554e-06	5	4	0.0006274309402443454	BIK1, DUO1, SPC19, SPC34
GO:0051128	BP	e	regulation of cellular component organization	6/10	406/6920	6.7505650346259135e-06	4	6	0.0008146866118103799	BIK1, CIN8, DUO1, IPL1, SPC19, SPC34
GO:1902905	BP	e	positive regulation of supramolecular fiber organization	3/10	30/6920	8.646048334979634e-06	6	3	0.0010166866067747846	DUO1, SPC19, SPC34
GO:0000073	BP	e	initial mitotic spindle pole body separation	2/10	4/6920	1.1260934859661011e-05	4	2	0.0012595767625952535	CIN8, KIP1
GO:0110100	BP	e	spindle pole body separation	2/10	4/6920	1.1260934859661011e-05	3	2	0.0012595767625952535	CIN8, KIP1
GO:0031334	BP	e	positive regulation of protein-containing complex assembly	3/10	36/6920	1.5135874679073387e-05	6	3	0.0016526933637673942	DUO1, SPC19, SPC34
GO:0051276	BP	e	chromosome organization	5/10	260/6920	1.5555913564243727e-05	5	5	0.0016590562698981799	BIK1, CIN8, IPL1, KIP1, NUF2
GO:0007019	BP	e	microtubule depolymerization	2/10	5/6920	1.875375532606958e-05	8	2	0.0019546527710307972	CIN8, KIP1
GO:0051495	BP	e	positive regulation of cytoskeleton organization	3/10	39/6920	1.932931856363731e-05	7	3	0.0019698723318409043	DUO1, SPC19, SPC34
GO:0090307	BP	e	mitotic spindle assembly	2/10	6/6920	2.8108945304645866e-05	9	2	0.002742715386534169	CIN8, KIP1
GO:0030543	BP	e	2-micrometer plasmid partitioning	2/10	6/6920	2.8108945304645866e-05	4	2	0.002742715386534169	BIK1, KIP1
GO:0006996	BP	e	organelle organization	7/10	900/6920	5.168218400280962e-05	4	7	0.004903197340443759	BIK1, CIN8, IPL1, KIP1, NUF2, SLI15, STU2
GO:0030541	BP	e	plasmid partitioning	2/10	8/6920	5.2389156057946835e-05	3	2	0.004903197340443759	BIK1, KIP1
GO:0045144	BP	e	meiotic sister chromatid segregation	2/10	9/6920	6.730555437713784e-05	7	2	0.0061732654474710835	CIN8, IPL1
GO:0007020	BP	e	microtubule nucleation	2/10	10/6920	8.406707728222353e-05	7	2	0.007559443459142688	BIK1, STU2
GO:0044089	BP	e	positive regulation of cellular component biogenesis	3/10	68/6920	0.00010368129580153752	5	3	0.009143892741266367	DUO1, SPC19, SPC34
GO:0006276	BP	e	plasmid maintenance	2/10	12/6920	0.00012310832399930091	2	2	0.010652354223788567	BIK1, KIP1
GO:0051225	BP	e	spindle assembly	2/10	13/6920	0.00014537947772461573	8	2	0.012346486756390513	CIN8, KIP1
GO:0097435	BP	e	supramolecular fiber organization	3/10	78/6920	0.00015619219144149906	4	3	0.013023588908194812	CIN8, KIP1, STU2
GO:0051261	BP	e	protein depolymerization	2/10	14/6920	0.0001694786158473211	6	2	0.01387908807635383	CIN8, KIP1
GO:0090068	BP	e	positive regulation of cell cycle process	3/10	84/6920	0.0001947346307535907	6	3	0.01566759678308714	DUO1, SPC19, SPC34
GO:0010638	BP	e	positive regulation of organelle organization	3/10	86/6920	0.00020883613248227721	6	3	0.016232584806164803	DUO1, SPC19, SPC34
GO:0045787	BP	e	positive regulation of cell cycle	3/10	86/6920	0.00020883613248227721	5	3	0.016232584806164803	DUO1, SPC19, SPC34
GO:0022411	BP	e	cellular component disassembly	3/10	108/6920	0.0004096604122731117	4	3	0.030798404109581807	CIN8, IPL1, KIP1
GO:0000070	BP	e	mitotic sister chromatid segregation	2/10	25/6920	0.0005539998898425975	7	2	0.04097812088416375	CIN8, KIP1
GO:0008152	BP	p	metabolic process	0/10	3843/6920	0.00029969640672133897	2	0	0.02290679535373434	
