YMR056C	YLL013C
YDR127W	YER095W
YDR127W	YJL173C
YDR127W	YDR427W
YDR127W	YGL048C
YDR421W	YDL030W
YDR106W	YLR222C
YJL081C	YBR010W
YJL081C	YDR225W
YJL081C	YDL002C
YJL081C	YDR146C
YJL081C	YHR099W
YLR085C	YDL237W
YPR034W	YGR040W
YOR141C	YDL002C
YPR199C	YMR325W
YPR201W	YEL027W
YPR201W	YGL200C
YPR201W	YAL007C
YPR201W	YBR159W
YPR201W	YLR171W
YDL100C	YHR114W
YDL100C	YDR304C
YDL100C	YGR189C
YDL100C	YPR037C
YDL100C	YML048W
YDL100C	YBL076C
YDL100C	YJL153C
YDL100C	YOL126C
YDL100C	YGL020C
YDL100C	YER083C
YDL100C	YIL162W
YDL100C	YDR259C
YDL100C	YBR014C
YDL100C	YHR180W
YDL100C	YOR164C
YLR242C	YBR023C
YOR058C	YBR160W
YGR097W	YKL116C
YGR097W	YDR167W
YKL052C	YDR016C
YKL052C	YKR083C
YKL052C	YMR077C
YPR145W	YHR113W
YGR124W	YDR034C
YLR155C	YLR295C
YLR155C	YER175C
YPR093C	YNL135C
YPR093C	YLR368W
YPR093C	YIL021W
YPR093C	YDL140C
YER101C	YBL050W
YPR049C	YGL180W
YPR185W	YGL180W
YPR185W	YGR120C
YPR185W	YEL013W
YBR128C	YDL185W
YLR423C	YGL180W
YLR423C	YMR068W
YLR423C	YGR120C
YLR423C	YPR105C
YLR423C	YKR083C
YLR423C	YHR043C
YLR423C	YER092W
YLR423C	YIR017C
YLR423C	YHR023W
YLR423C	YDR176W
YLR423C	YPL174C
YLR423C	YJL041W
YLR423C	YJL061W
YLR423C	YOR158W
YLR423C	YJL117W
YLR423C	YDR473C
YLR423C	YPR165W
YLR423C	YJL036W
YLR423C	YGL127C
YLR423C	YMR017W
YLR423C	YBL106C
YLR423C	YDR311W
YLR423C	YGL212W
YLR423C	YML041C
YLR423C	YDR259C
YLR423C	YCR082W
YLR423C	YJR024C
YLR423C	YMR124W
YLR423C	YMR204C
YLR423C	YOR164C
YLR423C	YPL077C
YFR021W	YGL190C
YFR021W	YDR034C
YFR021W	YER162C
YFR021W	YFR040W
YFR021W	YPL258C
YFR021W	YLR222C
YDL113C	YBR160W
YDL113C	YPL174C
YDL113C	YLR191W
YDL113C	YFR040W
YDL113C	YJL036W
YDL113C	YLR424W
YLR189C	YGR220C
YNR007C	YHR114W
YNR007C	YMR047C
YDL149W	YPR041W
YNL315C	YBL099W
YNL315C	YJR121W
YNL315C	YDL165W
YJL180C	YLR295C
YJL180C	YBL099W
YJL180C	YHR114W
YLR295C	YBL099W
YLR295C	YJR121W
YLR295C	YIL124W
YLR295C	YJL058C
YLR295C	YLR215C
YLR295C	YMR138W
YLR295C	YLR083C
YLR295C	YML121W
YLR295C	YKL103C
YLR295C	YJL100W
YLR295C	YDR378C
YLR295C	YBR193C
YLR295C	YMR177W
YLR295C	YGR178C
YLR295C	YIL053W
YLR295C	YJL140W
YLR295C	YGR148C
YLR295C	YDL081C
YLR295C	YGL048C
YLR295C	YLR141W
YLR295C	YGR009C
YLR295C	YER116C
YLR295C	YGR081C
YLR295C	YML058W
YLR295C	YDR510W
YLR295C	YPR182W
YLR295C	YPR086W
YLR295C	YMR039C
YLR295C	YNL066W
YLR295C	YKL080W
YLR295C	YJR102C
YLR295C	YJR133W
YLR295C	YML007W
YLR295C	YDR319C
YLR295C	YDR445C
YLR295C	YFR017C
YLR295C	YFR043C
YLR295C	YGL047W
YLR295C	YGR122W
YLR295C	YGR153W
YLR295C	YHR127W
YLR295C	YHR138C
YLR295C	YHR140W
YLR295C	YNL263C
YLR295C	YJL067W
YLR295C	YJL225C
YLR295C	YJR083C
YLR295C	YJR100C
YLR295C	YJR120W
YLR295C	YJR141W
YLR295C	YKL088W
YLR295C	YLR460C
YLR295C	YML079W
YLR295C	YMR003W
YLR295C	YMR141C
YLR295C	YMR181C
YLR295C	YNL194C
YLR295C	YNL324W
YLR295C	YOL050C
YLR295C	YOR324C
YLR295C	YPR118W
YPL271W	YBL099W
YPL271W	YJR121W
YDR377W	YML081C-A
YDR377W	YBL099W
YDR377W	YJR121W
YDR377W	YPL078C
YDR377W	Q0085
YML081C-A	YBL099W
YML081C-A	YJR121W
YML081C-A	Q0085
YBL099W	YJR121W
YBL099W	YBR039W
YBL099W	YPL078C
YBL099W	Q0085
YBL099W	Q0130
YJR121W	YBR039W
YJR121W	YPL078C
YJR121W	Q0085
YJR121W	Q0130
YJR121W	YLR453C
YJR121W	YBR271W
YBR039W	YML058W
YBR039W	YDR523C
YBR039W	YOL087C
YPL078C	Q0085
YPL078C	YPL204W
YPL078C	YER100W
YPL078C	YMR284W
YOR079C	YGR295C
YOR079C	YPR086W
YOR011W	YIR009W
YOL078W	YGL130W
YOL078W	YGR040W
YOL078W	YNL006W
YMR068W	YNL006W
YMR068W	YIL105C
YMR068W	YNL047C
YIL124W	YBR017C
YIL124W	YLR447C
YGR224W	YKL020C
YOR134W	YDR192C
YBR068C	YDR046C
YBR068C	YJR001W
YDR046C	YGR060W
YDR046C	YJR010C-A
YDR046C	YBR159W
YJR148W	YER022W
YPL255W	YBR160W
YPL255W	YGL075C
YPL255W	YHL006C
YPL255W	YLR392C
YPL255W	YFR049W
YJL095W	YNL271C
YJL095W	YHR082C
YJL095W	YMR304W
YER167W	YBR160W
YER167W	YOL108C
YER167W	YGR040W
YBR200W	YBL085W
YBR200W	YER114C
YBR200W	YGR134W
YBR200W	YBR160W
YBR200W	YLR229C
YBR200W	YOR181W
YBR200W	YDR103W
YBR200W	YEL043W
YKR068C	YLR342W
YKR068C	YDR108W
YKR068C	YGR166W
YKR068C	YDR407C
YKR068C	YBR254C
YKR068C	YOR115C
YGR282C	YBR017C
YGR282C	YDL042C
YCL029C	YER016W
YCL029C	YKL103C
YCL029C	YLR045C
YER016W	YFR050C
YJL058C	YNL006W
YJL058C	YBR260C
YJL058C	YNL189W
YJL058C	YML098W
YJL058C	YER093C
YJL058C	YLR447C
YJL058C	YGR071C
YJL058C	YNL092W
YFL007W	YGL011C
YFL007W	YDR227W
YER177W	YER114C
YER177W	YDL117W
YER177W	YLR258W
YER177W	YDR017C
YER177W	YDR001C
YER177W	YDR028C
YER177W	YGL115W
YER177W	YNL189W
YER177W	YBL034C
YER177W	YFR017C
YER177W	YIL028W
YJL060W	YBR160W
YJL060W	YLR314C
YLR231C	YDL017W
YFR047C	YLL046C
YFR047C	YNL189W
YNL271C	YBR160W
YNL271C	YLR229C
YNL271C	YDL126C
YNL271C	YDR021W
YNL271C	YCL027W
YNL271C	YPR165W
YNL271C	YLL021W
YBL085W	YLR229C
YBL085W	YER124C
YBL085W	YER158C
YBL085W	YJR056C
YER114C	YLR229C
YER114C	YNL298W
YER114C	YER124C
YER114C	YOR370C
YER114C	YEL043W
YLR267W	YAL062W
YNL042W	YBR160W
YNL042W	YOR014W
YLR078C	YHR114W
YLR078C	YMR047C
YLR078C	YPL010W
YLR078C	YLR268W
YLR078C	YPR181C
YLR078C	YIL109C
YLR078C	YDR238C
YLR078C	YIL162W
YLR078C	YFL038C
YLR015W	YDL140C
YLR015W	YDR469W
YLR015W	YPL138C
YLR015W	YAR003W
YLR015W	YKL018W
YNR051C	YER151C
YNR051C	YDR259C
YGR246C	YNR003C
YGR246C	YER148W
YPR057W	YFL017W-A
YPR057W	YMR125W
YBR290W	YJL196C
YBR290W	YMR215W
YBR290W	YPL076W
YBR290W	YML048W
YBR290W	YJL117W
YBR290W	YLR018C
YBR290W	YIL114C
YBR290W	YPR156C
YBR290W	YAL018C
YBR290W	YBR159W
YBR290W	YPL087W
YBR290W	YKL065C
YBR290W	YGL051W
YBR290W	YLR004C
YBR290W	YPR028W
YBR290W	YBR183W
YDR252W	YGR134W
YDR252W	YJR055W
YMR055C	YLR314C
YMR055C	YDR309C
YMR055C	YPL040C
YMR055C	YGR153W
YCR047C	YNL282W
YFL023W	YBR154C
YFL023W	YLR243W
YKL092C	YCL027W
YKL092C	YPL095C
YCR038C	YDL065C
YLR226W	YBR135W
YLR226W	YPR161C
YLR226W	YMR125W
YER159C	YHR114W
YER159C	YDR397C
YHR114W	YKL007W
YHR114W	YJL065C
YHR114W	YDR069C
YHR114W	YFR027W
YHR114W	YGL222C
YHR114W	YNL280C
YHR114W	YML008C
YHR114W	YER032W
YHR114W	YML121W
YHR114W	YLR309C
YHR114W	YGL018C
YHR114W	YJL174W
YHR114W	YBR205W
YHR114W	YOR181W
YHR114W	YFL018C
YHR114W	YKR030W
YHR114W	YGL236C
YHR114W	YPL174C
YHR114W	YDL213C
YHR114W	YJL117W
YHR114W	YIL045W
YHR114W	YOR281C
YHR114W	YDL134C
YHR114W	YJL203W
YHR114W	YDR529C
YHR114W	YOR224C
YHR114W	YGL189C
YHR114W	YPL152W
YHR114W	YCR035C
YHR114W	YER125W
YHR114W	YJL047C
YHR114W	YLR105C
YHR114W	YJL151C
YHR114W	YDL217C
YHR114W	YOL018C
YHR114W	YIL156W
YHR114W	YIL008W
YHR114W	YGL225W
YHR114W	YDL037C
YHR114W	YDR056C
YHR114W	YDR319C
YHR114W	YFL012W
YHR114W	YGR031W
YHR114W	YGR110W
YHR114W	YHL044W
YHR114W	YJL086C
YHR114W	YJL152W
YHR114W	YKL177W
YHR114W	YKR032W
YHR114W	YLR064W
YHR114W	YML131W
YHR114W	YMR253C
YHR114W	YNL092W
YHR114W	YOR059C
YHR114W	YOR175C
YDR423C	YMR047C
YGR134W	YNL288W
YGR134W	YAL021C
YGR134W	YCR093W
YGR134W	YER068W
YGR134W	YNR052C
YJR122W	YHR158C
YNL288W	YAL021C
YNL288W	YDL165W
YNL288W	YCR093W
YNL288W	YER068W
YNL288W	YNR052C
YNL288W	YER022W
YNL288W	YPR086W
YFL029C	YBR160W
YFL029C	YPR161C
YEL063C	YBR036C
YEL063C	YMR264W
YEL063C	YJL196C
YEL063C	YBL040C
YEL063C	YAL007C
YEL063C	YNL125C
YEL063C	YOL132W
YEL063C	YPL076W
YEL063C	YML048W
YEL063C	YGR057C
YEL063C	YJL117W
YEL063C	YIL114C
YEL063C	YJR010C-A
YEL063C	YKL154W
YEL063C	YBR159W
YEL063C	YKL065C
YEL063C	YGL051W
YEL063C	YHR140W
YEL063C	YOR161C
YEL063C	YOR345C
YKL007W	YIL034C
YKL007W	YDR309C
YKL007W	YER071C
YKL007W	YIR003W
YIL034C	YDL165W
YIL034C	YBR291C
YIL034C	YCL035C
YIL034C	YOR181W
YIL034C	YBR119W
YIL034C	YAL014C
YIL034C	YBL049W
YML042W	YMR038C
YML042W	YDL065C
YML042W	YDR244W
YML042W	YLR014C
YML042W	YNL189W
YML042W	YNL046W
YOR125C	YDR243C
YOR125C	YJL068C
YPL178W	YDR034C
YPL178W	YBR119W
YPL178W	YDR432W
YPL178W	YLR275W
YPL178W	YDR240C
YPL178W	YGR013W
YPL178W	YNL189W
YPL178W	YMR125W
YPL178W	YGR162W
YPL178W	YGL049C
YJR060W	YGR140W
YJR060W	YMR168C
YJR060W	YDR318W
YJR060W	YIR017C
YJR060W	YKL089W
YGR140W	YNL307C
YNL161W	YEL030W
YNL161W	YBR018C
YNL161W	YEL060C
YNL161W	YDR293C
YNL161W	YIL129C
YNL161W	YMR304W
YNL161W	YLR447C
YHL038C	YDL213C
YBR120C	YJR082C
YBR120C	YBR017C
YKL208W	YPR086W
YER168C	YHR174W
YLR220W	YOR085W
YPR025C	YDL108W
YPR025C	YKR086W
YAL021C	YDR188W
YAL021C	YDL165W
YAL021C	YCR093W
YAL021C	YER068W
YAL021C	YGL178W
YAL021C	YGR086C
YAL021C	YNR052C
YAL021C	YCL028W
YAL021C	YNL025C
YAL021C	YGR184C
YMR038C	YER083C
YIL142W	YGL190C
YIL142W	YGR040W
YIL142W	YJR070C
YIL142W	YNL317W
YIL142W	YDR075W
YIL142W	YLR196W
YIL142W	YDR030C
YIL142W	YLR105C
YIL142W	YBR198C
YIL142W	YDR212W
YIL142W	YER082C
YIL142W	YOR230W
YIL142W	YBL049W
YDR188W	YGL190C
YDR188W	YMR049C
YDR188W	YNL317W
YDR188W	YPL151C
YDR188W	YLR196W
YDR188W	YDR030C
YDR188W	YER082C
YDR188W	YOR230W
YDR188W	YDR128W
YJL008C	YOR117W
YCR002C	YJR076C
YCR002C	YLR314C
YCR002C	YFL018C
YCR002C	YBR055C
YJR076C	YLR314C
YJR076C	YOR284W
YJR076C	YCL043C
YJR076C	YGR162W
YJR076C	YGL049C
YJR076C	YNL088W
YJR076C	YMR304W
YJR076C	YHR033W
YLR215C	YLR447C
YLR215C	YNL116W
YKL022C	YHR166C
YKL022C	YGL240W
YKL022C	YDR386W
YKL022C	YDR369C
YHR166C	YPR119W
YHR166C	YGL240W
YHR166C	YLR451W
YBR160W	YJL194W
YBR160W	YBR038W
YBR160W	YBR135W
YBR160W	YNL298W
YBR160W	YGR108W
YBR160W	YPR119W
YBR160W	YDL155W
YBR160W	YLR210W
YBR160W	YPR120C
YBR160W	YOR037W
YBR160W	YPR111W
YBR160W	YPL194W
YBR160W	YDR093W
YBR160W	YPR175W
YBR160W	YFR027W
YBR160W	YER032W
YBR160W	YAL031C
YBR160W	YCL027W
YBR160W	YFR015C
YBR160W	YPL209C
YBR160W	YHR158C
YBR160W	YGR238C
YBR160W	YLR096W
YBR160W	YFR030W
YBR160W	YLR035C
YBR160W	YBR098W
YBR160W	YOR177C
YBR160W	YGL075C
YBR160W	YGL178W
YBR160W	YLR219W
YBR160W	YPL070W
YBR160W	YOR372C
YBR160W	YDR001C
YBR160W	YBR060C
YBR160W	YER129W
YBR160W	YER059W
YBR160W	YKL043W
YBR160W	YDL106C
YBR160W	YBL105C
YBR160W	YKL116C
YBR160W	YJR059W
YBR160W	YKR090W
YBR160W	YDR379W
YBR160W	YOR014W
YBR160W	YDR389W
YBR160W	YER120W
YBR160W	YHR098C
YBR160W	YLL003W
YBR160W	YLR079W
YBR160W	YDR227W
YBR160W	YKL108W
YBR160W	YLL021W
YBR160W	YHL022C
YBR160W	YKR091W
YBR160W	YGL097W
YBR160W	YLR006C
YBR160W	YNL309W
YBR160W	YLR045C
YBR160W	YDR146C
YBR160W	YMR005W
YBR160W	YDR212W
YBR160W	YGR186W
YBR160W	YGR221C
YBR160W	YLR183C
YBR160W	YOR075W
YBR160W	YIL101C
YBR160W	YER041W
YBR160W	YER158C
YBR160W	YHL035C
YBR160W	YHR149C
YBR160W	YJL084C
YBR160W	YJR083C
YBR160W	YKR077W
YBR160W	YLR238W
YBR160W	YLR278C
YBR160W	YLR401C
YBR160W	YNL321W
YBR160W	YNR047W
YBR160W	YOL070C
YBR160W	YPL014W
YBR160W	YPR174C
YBR160W	YNL339C
YBR160W	YDR285W
YDL165W	YCR093W
YDL165W	YER068W
YDL165W	YGL127C
YDL165W	YER148W
YDL165W	YNL025C
YDL165W	YLR125W
YDR168W	YKL139W
YCR093W	YER068W
YCR093W	YNR052C
YCR093W	YNL025C
YCR093W	YDR167W
YCR093W	YML015C
YCR093W	YMR005W
YLR314C	YDR158W
YLR314C	YCR053W
YLR229C	YNL298W
YLR229C	YDR309C
YLR229C	YPL242C
YLR229C	YDL135C
YLR229C	YOL113W
YDL126C	YKL213C
YDL126C	YDR037W
YDL126C	YBR170C
YDL126C	YDR028C
YDL126C	YBL058W
YDL126C	YIL148W
YDL126C	YGR048W
YFL009W	YDL132W
YFL009W	YJL194W
YFL009W	YLR079W
YDL132W	YDL017W
YDL132W	YOR080W
YDL132W	YLR100W
YDL132W	YLR097C
YDL132W	YLR368W
YDL132W	YLR134W
YDL132W	YEL060C
YDL132W	YDL006W
YDL132W	YLR079W
YDL132W	YPL258C
YDL132W	YML088W
YDL132W	YBR280C
YDL132W	YDR274C
YDL132W	YDR306C
YDL132W	YJL149W
YDL132W	YLR128W
YDL132W	YLR352W
YDL132W	YDR285W
YDL132W	YGL249W
YPR019W	YIL150C
YGL190C	YOR349W
YGL190C	YJR138W
YGL190C	YDL134C
YGL190C	YDR212W
YGL190C	YKL081W
YGL190C	YAL016W
YGL190C	YNL154C
YGL190C	YHR033W
YGL190C	YDR381W
YPL160W	YCR079W
YJL194W	YBR060C
YJL194W	YLL004W
YJL194W	YKL145W
YJL194W	YDR196C
YLR418C	YOL145C
YLR418C	YOR123C
YLR418C	YBR195C
YLR418C	YBR279W
YLR418C	YOR151C
YLR418C	YDL140C
YLR418C	YGL244W
YLR418C	YGL207W
YLR418C	YPR086W
YLR418C	YPL129W
YDL017W	YEL030W
YDL017W	YLR134W
YDL017W	YKL039W
YDL017W	YNL113W
YDL017W	YBR126C
YDL017W	YIL148W
YDL017W	YCR022C
YDL017W	YCR050C
YDL017W	YFR057W
YLR245C	YPL070W
YLR245C	YNL189W
YGL130W	YOL145C
YGL130W	YMR309C
YGL130W	YGL120C
YGL130W	YBR079C
YGL130W	YDL140C
YGL130W	YGL207W
YGL130W	YER103W
YGL130W	YNL088W
YGL029W	YNL243W
YGL206C	YGR167W
YGL206C	YOR181W
YGL206C	YIL094C
YGL206C	YDR320C
YER164W	YIL035C
YER164W	YOR061W
YER164W	YGL019W
YER164W	YOR319W
YER164W	YBR245C
YBR274W	YPR124W
YBR274W	YMR255W
YBR274W	YLR258W
YBR274W	YIL084C
YBR274W	YJL036W
YDR254W	YBR107C
YER026C	YBR036C
YER026C	YGR060W
YER026C	YMR215W
YER026C	YPL076W
YER026C	YDR331W
YER026C	YLR292C
YER026C	YJR010C-A
YER026C	YHR140W
YBR038W	YHR123W
YBR038W	YPR106W
YBR038W	YPL020C
YBR023C	YHR123W
YJL099W	YPL242C
YJL099W	YLR424W
YHR052W	YIL035C
YHR052W	YOR080W
YHR052W	YMR049C
YHR052W	YDR194C
YHR052W	YDL213C
YHR052W	YPL131W
YHR052W	YHR066W
YHR052W	YOR272W
YCR005C	YPL245W
YIL035C	YOR061W
YIL035C	YGL019W
YIL035C	YOL145C
YIL035C	YDL031W
YIL035C	YNL112W
YIL035C	YPL037C
YIL035C	YMR049C
YIL035C	YML074C
YIL035C	YMR290C
YIL035C	YBR010W
YIL035C	YMR172W
YIL035C	YDR225W
YIL035C	YNL308C
YIL035C	YPL093W
YIL035C	YOL041C
YIL035C	YGR103W
YIL035C	YER006W
YIL035C	YCL043C
YIL035C	YML069W
YIL035C	YDR496C
YIL035C	YLR196W
YIL035C	YNL330C
YIL035C	YGL244W
YIL035C	YDL195W
YIL035C	YLR403W
YIL035C	YKL108W
YIL035C	YGL115W
YIL035C	YGL207W
YIL035C	YGR116W
YIL035C	YHR066W
YIL035C	YGR162W
YIL035C	YJL087C
YIL035C	YJL069C
YIL035C	YER084W
YIL035C	YHL035C
YIL035C	YPL110C
YIL035C	YDR381W
YOR061W	YGL019W
YOR061W	YOL145C
YOR061W	YPL204W
YOR061W	YGR103W
YOR061W	YDL195W
YOR061W	YGL207W
YOR061W	YGR116W
YOR061W	YNL088W
YOR061W	YJL069C
YGL019W	YOL145C
YGL019W	YDL195W
YGL019W	YGL115W
YGL019W	YGL127C
YGL019W	YGL207W
YGL019W	YGR116W
YGL019W	YNL088W
YGL019W	YJL069C
YGL019W	YGR068C
YBR135W	YGR108W
YBR135W	YPR119W
YBR135W	YDL155W
YBR135W	YLR210W
YBR135W	YPR120C
YBR135W	YOR080W
YBR135W	YBR252W
YBR135W	YBR295W
YBR135W	YLR079W
YBR135W	YKR091W
YBR135W	YPL014W
YNL298W	YDR309C
YNL298W	YKL068W
YNL298W	YNL243W
YPR119W	YNL135C
YPR119W	YDR386W
YPR119W	YER111C
YPR119W	YIL148W
YPR119W	YHR035W
YPR119W	YNR022C
YDL155W	YDR034C
YLR210W	YER093C
YLR210W	YGR205W
YPR120C	YER032W
YPR120C	YMR232W
YPR120C	YDR122W
YPR120C	YKL068W
YPR120C	YER105C
YPR120C	YNL309W
YPR120C	YKR077W
YGR167W	YDR320C
YLR117C	YBR065C
YLR117C	YCL027W
YLR117C	YBR244W
YLR117C	YJR050W
YLR117C	YBR060C
YLR117C	YER013W
YLR117C	YGL120C
YLR117C	YBL050W
YLR117C	YFL017W-A
YLR117C	YBR190W
YFR014C	YKL119C
YOL016C	YGL127C
YML057W	YKL190W
YML057W	YLR096W
YML057W	YHR082C
YML057W	YPR108W
YML057W	YKL081W
YML057W	YNL047C
YLR433C	YKL190W
YLR433C	YNL027W
YLR433C	YIR009W
YLR433C	YLR453C
YLR433C	YLR147C
YLR433C	YDL186W
YLR433C	YGR263C
YLR433C	YNL047C
YLR433C	YOR324C
YKL190W	YMR211W
YKL190W	YPR159W
YNL225C	YOR373W
YNL225C	YKL042W
YNL225C	YBR184W
YLL050C	YLR429W
YLL050C	YOR080W
YLL050C	YGL241W
YLL050C	YOR181W
YLL050C	YLR059C
YLL050C	YLR453C
YGL223C	YGR120C
YGL223C	YNL041C
YGL223C	YDR034C
YGR120C	YPR105C
YGR120C	YNL041C
YGR120C	YAL034W-A
YGR120C	YOR158W
YGR120C	YDR311W
YGR120C	YNR025C
YGR120C	YFL038C
YPR105C	YGL153W
YPR105C	YPR191W
YPR105C	YGL145W
YPR105C	YMR181C
YPR105C	YOR164C
YPR105C	YOR331C
YNL041C	YDR229W
YGL005C	YLR453C
YGL263W	YDL116W
YGL263W	YJR095W
YGL263W	YJR020W
YGR295C	YML048W
YGR295C	YDR034C
YGR295C	YLR237W
YGR295C	YDL128W
YGR295C	YBR159W
YGR295C	YGL051W
YGR295C	YMR221C
YGR247W	YOR327C
YDR155C	YDL101C
YDR155C	YGL194C
YDR155C	YOR319W
YDR155C	YOL068C
YDR155C	YKL103C
YDR155C	YDL200C
YDR155C	YDR510W
YDR155C	YKR105C
YLR216C	YJR017C
YLR216C	YMR186W
YLR216C	YKL057C
YLR216C	YNR032W
YLR216C	YHR074W
