YAL002W	YMR231W
YBR142W	YPL131W
YBR142W	YPL211W
YBR142W	YPL249C-A
YBR154C	YDL115C
YBR154C	YDR045C
YBR154C	YDR156W
YBR154C	YGR005C
YBR154C	YGR063C
YBR154C	YGR186W
YBR154C	YIL021W
YBR154C	YJL148W
YBR154C	YJR063W
YBR154C	YNL113W
YBR154C	YNL151C
YBR154C	YNL248C
YBR154C	YOR116C
YBR154C	YOR210W
YBR154C	YOR224C
YBR154C	YOR340C
YBR154C	YOR341W
YBR154C	YPL129W
YBR154C	YPR187W
YBR160W	YDL155W
YBR169C	YDR349C
YBR189W	YCL037C
YBR189W	YCR031C
YBR189W	YDL014W
YBR189W	YDL060W
YBR189W	YDR064W
YBR189W	YDR418W
YBR189W	YDR471W
YBR189W	YER074W
YBR189W	YGL030W
YBR189W	YGR081C
YBR189W	YGR085C
YBR189W	YGR090W
YBR189W	YHL015W
YBR189W	YJL190C
YBR189W	YJR002W
YBR189W	YJR145C
YBR189W	YLL045C
YBR189W	YLR075W
YBR189W	YLR197W
YBR189W	YLR264W
YBR189W	YLR367W
YBR189W	YLR441C
YBR189W	YML056C
YBR189W	YML063W
YBR189W	YML073C
YBR189W	YMR242C
YBR189W	YNL069C
YBR189W	YNL096C
YBR189W	YNL132W
YBR189W	YNL207W
YBR189W	YOL040C
YBR189W	YOL127W
YBR189W	YOR096W
YBR189W	YOR145C
YBR189W	YPL012W
YBR189W	YPL090C
YBR189W	YPL131W
YBR193C	YBR253W
YBR193C	YGL127C
YBR193C	YGL151W
YBR193C	YML007W
YBR193C	YMR112C
YBR193C	YNL236W
YBR193C	YNR010W
YBR193C	YOL135C
YBR193C	YOR174W
YBR193C	YPL042C
YBR193C	YPR168W
YBR195C	YML102W
YBR221C	YGR193C
YBR225W	YGL197W
YBR225W	YLR310C
YBR251W	YDR175C
YBR251W	YDR347W
YBR251W	YJR101W
YBR251W	YJR113C
YBR251W	YMR188C
YBR251W	YNL137C
YBR251W	YNL306W
YBR251W	YNR037C
YBR251W	YOR158W
YBR251W	YPL013C
YBR253W	YDR448W
YBR253W	YGL127C
YBR253W	YGL151W
YBR253W	YMR112C
YBR253W	YNL236W
YBR253W	YNR010W
YBR253W	YOL135C
YBR253W	YOR174W
YBR253W	YPL042C
YBR253W	YPR168W
YBR254C	YDR472W
YBR254C	YGR166W
YBR254C	YML077W
YBR282W	YDR116C
YBR282W	YDR237W
YBR282W	YLR439W
YBR282W	YMR193W
YBR282W	YNL005C
YBR282W	YNL252C
YBR289W	YDR073W
YBR289W	YHL025W
YBR289W	YJL176C
YBR289W	YNR023W
YBR289W	YOR290C
YBR289W	YPL016W
YBR289W	YPR034W
YCL010C	YDR176W
YCL010C	YDR392W
YCL010C	YDR448W
YCL010C	YGR252W
YCL010C	YHR099W
YCL010C	YLR055C
YCL010C	YMR223W
YCL010C	YMR236W
YCL010C	YOL148C
YCL010C	YPL254W
YCL024W	YDR507C
YCL024W	YKR048C
YCL031C	YGR090W
YCL037C	YDL014W
YCL037C	YGL049C
YCL037C	YJL190C
YCL037C	YJR145C
YCL037C	YLR175W
YCL037C	YML056C
YCL037C	YMR125W
YCL037C	YMR290C
YCL037C	YOR096W
YCL037C	YPL131W
YCL048W	YCR024C
YCL054W	YDL031W
YCL054W	YGL111W
YCL054W	YKL172W
YCL054W	YMR290C
YCL054W	YNL002C
YCL054W	YNL110C
YCL054W	YPL211W
YCR002C	YDL225W
YCR002C	YHR107C
YCR002C	YJR076C
YCR009C	YFL039C
YCR009C	YLR429W
YCR009C	YPL004C
YCR020W-B	YDR303C
YCR020W-B	YFR037C
YCR020W-B	YGR056W
YCR020W-B	YGR275W
YCR020W-B	YIL126W
YCR020W-B	YKR008W
YCR020W-B	YLR321C
YCR020W-B	YLR357W
YCR020W-B	YML127W
YCR020W-B	YMR091C
YCR020W-B	YPR034W
YCR028C-A	YML032C
YCR028C-A	YNL312W
YCR031C	YDL014W
YCR031C	YDR064W
YCR031C	YDR418W
YCR031C	YDR471W
YCR031C	YER074W
YCR031C	YGL030W
YCR031C	YGL076C
YCR031C	YGR085C
YCR031C	YHL015W
YCR031C	YJL177W
YCR031C	YJL190C
YCR031C	YJL191W
YCR031C	YLL045C
YCR031C	YLR075W
YCR031C	YLR441C
YCR031C	YLR448W
YCR031C	YML063W
YCR031C	YML073C
YCR031C	YMR142C
YCR031C	YMR242C
YCR031C	YNL069C
YCR031C	YNL096C
YCR031C	YNL132W
YCR031C	YOL127W
YCR031C	YOR096W
YCR031C	YPL090C
YCR031C	YPL249C-A
YCR042C	YML114C
YCR042C	YPL129W
YCR057C	YDL014W
YCR057C	YDR064W
YCR057C	YGR090W
YCR057C	YGR128C
YCR057C	YHR148W
YCR057C	YHR196W
YCR057C	YJL069C
YCR057C	YJL109C
YCR057C	YJR002W
YCR057C	YJR145C
YCR057C	YLL011W
YCR057C	YLR197W
YCR057C	YLR409C
YCR057C	YMR093W
YCR057C	YMR128W
YCR057C	YNL075W
YCR057C	YNL132W
YCR057C	YOR145C
YCR057C	YPL126W
YCR057C	YPL217C
YCR057C	YPR137W
YCR057C	YPR144C
YCR063W	YDL209C
YCR063W	YHR165C
YCR063W	YML049C
YCR063W	YPL151C
YCR063W	YPR101W
YCR071C	YDR116C
YCR071C	YDR237W
YCR071C	YDR405W
YCR071C	YGR220C
YCR071C	YJL063C
YCR071C	YKR006C
YCR071C	YKR085C
YCR071C	YLR439W
YCR071C	YMR193W
YCR071C	YNL005C
YCR071C	YNL252C
YCR093W	YGR134W
YCR093W	YNL288W
YCR093W	YNR052C
YDL002C	YDR190C
YDL002C	YER092W
YDL002C	YFL013C
YDL002C	YFL039C
YDL002C	YNL215W
YDL002C	YOR141C
YDL002C	YPL129W
YDL002C	YPL235W
YDL003W	YFL008W
YDL003W	YJL074C
YDL014W	YDR064W
YDL014W	YDR299W
YDL014W	YGL030W
YDL014W	YGR085C
YDL014W	YGR090W
YDL014W	YGR128C
YDL014W	YHR148W
YDL014W	YJL033W
YDL014W	YJL109C
YDL014W	YJL190C
YDL014W	YJR002W
YDL014W	YJR145C
YDL014W	YLL011W
YDL014W	YLL045C
YDL014W	YLR075W
YDL014W	YLR175W
YDL014W	YLR197W
YDL014W	YLR409C
YDL014W	YML063W
YDL014W	YMR093W
YDL014W	YMR128W
YDL014W	YMR229C
YDL014W	YMR290C
YDL014W	YMR309C
YDL014W	YNL069C
YDL014W	YNL132W
YDL014W	YNL308C
YDL014W	YOR096W
YDL014W	YOR206W
YDL014W	YPL012W
YDL014W	YPL126W
YDL014W	YPL131W
YDL014W	YPL217C
YDL014W	YPR137W
YDL014W	YPR144C
YDL029W	YKL013C
YDL031W	YDR087C
YDL031W	YDR101C
YDL031W	YER126C
YDL031W	YGL111W
YDL031W	YHR052W
YDL031W	YHR088W
YDL031W	YHR197W
YDL031W	YKL172W
YDL031W	YKR081C
YDL031W	YLL034C
YDL031W	YLL045C
YDL031W	YLR449W
YDL031W	YMR290C
YDL031W	YNL002C
YDL031W	YNL110C
YDL031W	YNL182C
YDL031W	YOL127W
YDL031W	YOR206W
YDL031W	YOR272W
YDL031W	YPL131W
YDL031W	YPL211W
YDL043C	YHR165C
YDL043C	YJL203W
YDL043C	YLR275W
YDL043C	YML049C
YDL043C	YMR125W
YDL043C	YMR240C
YDL045W-A	YDR175C
YDL045W-A	YJR113C
YDL045W-A	YNL306W
YDL053C	YHR121W
YDL055C	YNL149C
YDL056W	YLR182W
YDL060W	YDR064W
YDL060W	YER074W
YDL060W	YGR054W
YDL060W	YGR081C
YDL060W	YJR145C
YDL060W	YNL207W
YDL060W	YOR096W
YDL060W	YPL012W
YDL076C	YIL084C
YDL076C	YMR263W
YDL076C	YNL330C
YDL076C	YPL181W
YDL077C	YMR231W
YDL084W	YDR138W
YDL084W	YML062C
YDL084W	YNL004W
YDL087C	YHR086W
YDL087C	YHR165C
YDL087C	YIL061C
YDL087C	YKL012W
YDL087C	YLR275W
YDL087C	YLR298C
YDL087C	YML046W
YDL087C	YML049C
YDL087C	YMR125W
YDL087C	YPL178W
YDL092W	YKL122C
YDL097C	YDR363W-A
YDL097C	YFR004W
YDL097C	YGR232W
YDL097C	YHR027C
YDL097C	YIL075C
YDL097C	YLR421C
YDL097C	YOR117W
YDL097C	YOR259C
YDL108W	YDR460W
YDL111C	YDR280W
YDL111C	YGR095C
YDL111C	YGR195W
YDL111C	YHR069C
YDL111C	YHR081W
YDL111C	YNL189W
YDL111C	YNL232W
YDL111C	YOL021C
YDL111C	YOR001W
YDL112W	YKL182W
YDL115C	YGR005C
YDL115C	YGR186W
YDL115C	YIL021W
YDL115C	YOR210W
YDL115C	YOR224C
YDL115C	YPR187W
YDL131W	YDL182W
YDL132W	YDR328C
YDL132W	YGL252C
YDL132W	YJL047C
YDL156W	YNL312W
YDL160C	YGR091W
YDL160C	YJL124C
YDL160C	YNL147W
YDL188C	YML109W
YDL188C	YMR273C
YDL188C	YOR014W
YDL195W	YLR208W
YDL203C	YLR371W
YDL209C	YDR364C
YDL209C	YDR416W
YDL209C	YGR278W
YDL209C	YHR165C
YDL209C	YML049C
YDL209C	YMR125W
YDL209C	YPL151C
YDL209C	YPR101W
YDL225W	YHR107C
YDL225W	YJR076C
YDR001C	YDR099W
YDR016C	YGL061C
YDR016C	YKR037C
YDR022C	YLR423C
YDR036C	YDR175C
YDR036C	YDR347W
YDR036C	YJR101W
YDR036C	YJR113C
YDR036C	YMR188C
YDR036C	YNL137C
YDR036C	YNL306W
YDR045C	YNL113W
YDR045C	YNL151C
YDR045C	YOR116C
YDR045C	YOR224C
YDR064W	YDR418W
YDR064W	YDR471W
YDR064W	YER074W
YDR064W	YGL030W
YDR064W	YGR054W
YDR064W	YGR085C
YDR064W	YGR090W
YDR064W	YHL015W
YDR064W	YHR148W
YDR064W	YJL177W
YDR064W	YJL190C
YDR064W	YJL191W
YDR064W	YJR002W
YDR064W	YJR145C
YDR064W	YLL011W
YDR064W	YLL045C
YDR064W	YLR075W
YDR064W	YLR197W
YDR064W	YLR264W
YDR064W	YLR367W
YDR064W	YLR432W
YDR064W	YLR441C
YDR064W	YLR448W
YDR064W	YML026C
YDR064W	YML063W
YDR064W	YML073C
YDR064W	YMR093W
YDR064W	YMR128W
YDR064W	YMR142C
YDR064W	YMR242C
YDR064W	YNL069C
YDR064W	YNL096C
YDR064W	YNL132W
YDR064W	YNL207W
YDR064W	YNL308C
YDR064W	YOL040C
YDR064W	YOL127W
YDR064W	YOR096W
YDR064W	YOR145C
YDR064W	YPL012W
YDR064W	YPL090C
YDR064W	YPL126W
YDR064W	YPL131W
YDR064W	YPL217C
YDR064W	YPL249C-A
YDR064W	YPR144C
YDR067C	YHL029C
YDR071C	YER089C
YDR073W	YHL025W
YDR073W	YJL176C
YDR073W	YOR290C
YDR075W	YNL201C
YDR087C	YGL111W
YDR087C	YGR085C
YDR087C	YHR052W
YDR087C	YHR088W
YDR087C	YKR081C
YDR087C	YLL034C
YDR087C	YMR290C
YDR087C	YNL002C
YDR087C	YOR206W
YDR087C	YOR272W
YDR087C	YPL211W
YDR099W	YGL252C
YDR101C	YER126C
YDR101C	YGL030W
YDR101C	YGL099W
YDR101C	YGR245C
YDR101C	YHR052W
YDR101C	YHR197W
YDR101C	YKR081C
YDR101C	YLL045C
YDR101C	YLR106C
YDR101C	YNL002C
YDR101C	YNL110C
YDR101C	YNL182C
YDR101C	YPL211W
YDR101C	YPL249C-A
YDR116C	YDR237W
YDR116C	YDR405W
YDR116C	YGR220C
YDR116C	YHR147C
YDR116C	YJL063C
YDR116C	YKR006C
YDR116C	YKR085C
YDR116C	YLR439W
YDR116C	YMR193W
YDR116C	YNL005C
YDR116C	YNL252C
YDR129C	YFL039C
YDR129C	YLR429W
YDR137W	YLR039C
YDR138W	YML062C
YDR138W	YNL004W
YDR156W	YJL148W
YDR156W	YJR063W
YDR156W	YNL113W
YDR156W	YNL248C
YDR156W	YOR210W
YDR156W	YOR340C
YDR156W	YOR341W
YDR156W	YPR187W
YDR171W	YNL085W
YDR171W	YPR035W
YDR175C	YDR347W
YDR175C	YJR101W
YDR175C	YJR113C
YDR175C	YMR188C
YDR175C	YNL137C
YDR175C	YNL306W
YDR175C	YNR037C
YDR175C	YOR158W
YDR175C	YPL013C
YDR176W	YDR392W
YDR176W	YDR448W
YDR176W	YGR252W
YDR176W	YHR099W
YDR176W	YLR055C
YDR176W	YMR223W
YDR176W	YMR236W
YDR176W	YOL148C
YDR176W	YPL011C
YDR176W	YPL254W
YDR179C	YMR025W
YDR179C	YOL117W
YDR190C	YDR334W
YDR190C	YER092W
YDR190C	YFL013C
YDR190C	YFL039C
YDR190C	YHR034C
YDR190C	YLR399C
YDR190C	YMR072W
YDR190C	YNL215W
YDR190C	YOR141C
YDR190C	YOR304W
YDR190C	YPL129W
YDR190C	YPL235W
YDR202C	YDR328C
YDR214W	YGL195W
YDR228C	YGL044C
YDR228C	YHR216W
YDR231C	YNL192W
YDR233C	YPL154C
YDR237W	YDR405W
YDR237W	YGR220C
YDR237W	YHR147C
YDR237W	YJL063C
YDR237W	YKR006C
YDR237W	YKR085C
YDR237W	YLR439W
YDR237W	YMR193W
YDR237W	YNL005C
YDR237W	YNL252C
YDR237W	YNL284C
YDR244W	YMR177W
YDR245W	YGR132C
YDR245W	YGR231C
YDR245W	YLR342W
YDR245W	YPL050C
YDR254W	YLR315W
YDR254W	YLR381W
YDR254W	YPL018W
YDR264C	YOR212W
YDR267C	YIL128W
YDR280W	YGR095C
YDR280W	YGR195W
YDR280W	YHR069C
YDR280W	YHR081W
YDR280W	YNL189W
YDR280W	YNL232W
YDR280W	YOL021C
YDR280W	YOR001W
YDR299W	YHR148W
YDR299W	YJL033W
YDR299W	YJR002W
YDR299W	YJR145C
YDR299W	YNL132W
YDR299W	YNL308C
YDR299W	YOR096W
YDR299W	YPL126W
YDR299W	YPL217C
YDR299W	YPR144C
YDR301W	YER133W
YDR301W	YJR093C
YDR301W	YKL059C
YDR301W	YLR277C
YDR301W	YPR107C
YDR303C	YFR037C
YDR303C	YGR056W
YDR303C	YGR275W
YDR303C	YIL126W
YDR303C	YKR008W
YDR303C	YLR321C
YDR303C	YLR357W
YDR303C	YML127W
YDR303C	YMR091C
YDR303C	YPL082C
YDR303C	YPR034W
YDR311W	YPR056W
YDR325W	YFR031C
YDR328C	YMR258C
YDR334W	YFL039C
YDR334W	YLR399C
YDR334W	YPL235W
YDR347W	YJR101W
YDR347W	YJR113C
YDR347W	YMR188C
YDR347W	YNL137C
YDR347W	YNL306W
YDR347W	YNR037C
YDR347W	YOR158W
YDR347W	YPL013C
YDR353W	YHR106W
YDR361C	YPL208W
YDR362C	YPL007C
YDR363W-A	YFR004W
YDR363W-A	YHR027C
YDR363W-A	YIL075C
YDR363W-A	YLR421C
YDR363W-A	YOR117W
YDR363W-A	YOR259C
YDR364C	YDR416W
YDR364C	YGR278W
YDR364C	YPL151C
YDR364C	YPR101W
YDR365C	YJL033W
YDR369C	YMR224C
YDR392W	YDR448W
YDR392W	YGR252W
YDR392W	YHR099W
YDR392W	YLR055C
YDR392W	YMR223W
YDR392W	YMR236W
YDR392W	YOL148C
YDR392W	YPL254W
YDR405W	YGR076C
YDR405W	YKR006C
YDR405W	YLR439W
YDR405W	YNL005C
YDR416W	YGR278W
YDR416W	YHR165C
YDR416W	YJR050W
YDR416W	YML049C
YDR416W	YPL151C
YDR416W	YPR101W
YDR418W	YDR471W
YDR418W	YGL030W
YDR418W	YGL076C
YDR418W	YGR085C
YDR418W	YHR010W
YDR418W	YJL177W
YDR418W	YJL190C
YDR418W	YLL045C
YDR418W	YLR075W
YDR418W	YLR441C
YDR418W	YLR448W
YDR418W	YML063W
YDR418W	YML073C
YDR418W	YMR242C
YDR418W	YNL069C
YDR418W	YOL127W
YDR418W	YOR096W
YDR418W	YPL131W
YDR418W	YPL249C-A
YDR448W	YGL151W
YDR448W	YGR252W
YDR448W	YHR099W
YDR448W	YLR055C
YDR448W	YML007W
YDR448W	YMR223W
YDR448W	YMR236W
YDR448W	YNL236W
YDR448W	YOL135C
YDR448W	YOL148C
YDR448W	YPL011C
YDR448W	YPL254W
YDR460W	YPR056W
YDR471W	YER074W
YDR471W	YFR032C-A
YDR471W	YGL030W
YDR471W	YGL076C
YDR471W	YGR085C
YDR471W	YHL015W
YDR471W	YJL177W
YDR471W	YJL190C
YDR471W	YJR145C
YDR471W	YKR081C
YDR471W	YLL045C
YDR471W	YLR075W
YDR471W	YLR344W
YDR471W	YLR441C
YDR471W	YLR448W
YDR471W	YML063W
YDR471W	YML073C
YDR471W	YMR142C
YDR471W	YMR242C
YDR471W	YMR290C
YDR471W	YNL069C
YDR471W	YNL096C
YDR471W	YNL110C
YDR471W	YOL040C
YDR471W	YOL127W
YDR471W	YOR096W
YDR471W	YPL090C
YDR471W	YPL211W
YDR471W	YPL249C-A
YDR472W	YGR166W
YDR472W	YML077W
YDR477W	YER027C
YDR478W	YNL221C
YDR502C	YLR180W
YDR507C	YKR048C
YEL003W	YLR200W
YEL003W	YNL153C
YEL018W	YFL039C
YEL018W	YHR099W
YEL051W	YGR020C
YEL051W	YKL080W
YEL053C	YPR051W
YEL055C	YGR128C
YEL055C	YHR196W
YEL055C	YMR093W
YEL055C	YPL126W
YEL056W	YNL030W
YEL056W	YOL054W
YER007C-A	YJR014W
YER008C	YGL233W
YER012W	YFL007W
YER012W	YGR135W
YER012W	YGR253C
YER012W	YML092C
YER012W	YOR157C
YER012W	YPR103W
YER017C	YMR089C
YER050C	YOR158W
YER074W	YFR032C-A
YER074W	YGL030W
YER074W	YGL076C
YER074W	YGR085C
YER074W	YGR118W
YER074W	YJL177W
YER074W	YJL190C
YER074W	YJR145C
YER074W	YLL045C
YER074W	YLR075W
YER074W	YLR441C
YER074W	YLR448W
YER074W	YML063W
YER074W	YML073C
YER074W	YMR142C
YER074W	YMR242C
YER074W	YNL069C
YER074W	YNL096C
YER074W	YOL040C
YER074W	YOL127W
YER074W	YOR096W
YER074W	YPL090C
YER074W	YPL249C-A
YER086W	YLR259C
YER086W	YOR133W
YER092W	YFL013C
YER092W	YOR141C
YER092W	YPL129W
YER092W	YPL235W
YER107C	YJL061W
YER107C	YMR047C
YER111C	YLR182W
YER126C	YGR245C
YER126C	YHR197W
YER126C	YKR081C
YER126C	YLR325C
YER126C	YMR290C
YER126C	YNL002C
YER126C	YNL110C
YER131W	YLR435W
YER133W	YJR093C
YER133W	YKL059C
YER133W	YLR277C
YER133W	YMR311C
YER133W	YNL233W
YER133W	YPR107C
YER146W	YHR165C
YER146W	YJL124C
YER146W	YNL147W
YER148W	YPL082C
YER151C	YNR051C
YER164W	YOR039W
YER164W	YOR061W
YFL007W	YGR135W
YFL007W	YGR253C
YFL007W	YML092C
YFL007W	YPR103W
YFL008W	YJL074C
YFL013C	YFL039C
YFL013C	YNL215W
YFL013C	YOR141C
YFL013C	YPL129W
YFL013C	YPL235W
YFL023W	YLR200W
YFL037W	YGR218W
YFL039C	YLR429W
YFL039C	YMR072W
YFL039C	YNL138W
YFL039C	YOR141C
YFL039C	YPL129W
YFL039C	YPL235W
YFL039C	YPR171W
YFR004W	YGR232W
YFR004W	YHR027C
YFR004W	YIL075C
YFR004W	YLR421C
YFR004W	YOR117W
YFR004W	YOR259C
YFR009W	YGL195W
YFR009W	YKL104C
YFR009W	YLR180W
YFR013W	YPL082C
YFR031C	YLR272C
YFR032C-A	YGR085C
YFR032C-A	YGR118W
YFR032C-A	YJL177W
YFR032C-A	YKL046C
YFR032C-A	YLR448W
YFR032C-A	YMR242C
YFR032C-A	YNL096C
YFR032C-A	YOL040C
YFR032C-A	YOL127W
YFR037C	YGR056W
YFR037C	YGR275W
YFR037C	YIL126W
YFR037C	YKR008W
YFR037C	YLR321C
YFR037C	YLR357W
YFR037C	YML127W
YFR037C	YMR072W
YFR037C	YMR091C
YFR037C	YNL030W
YFR037C	YOR304W
YFR037C	YPL082C
YFR037C	YPR034W
YGL030W	YGL076C
YGL030W	YGR027C
YGL030W	YGR085C
YGL030W	YHR010W
YGL030W	YHR052W
YGL030W	YJL177W
YGL030W	YJL190C
YGL030W	YLL045C
YGL030W	YLR075W
YGL030W	YLR325C
YGL030W	YLR367W
YGL030W	YLR441C
YGL030W	YLR448W
YGL030W	YML063W
YGL030W	YML073C
YGL030W	YMR142C
YGL030W	YMR242C
YGL030W	YNL002C
YGL030W	YNL069C
YGL030W	YNL110C
YGL030W	YNL132W
YGL030W	YOL127W
YGL030W	YOR096W
YGL030W	YPL249C-A
YGL043W	YGR005C
YGL043W	YGR186W
YGL043W	YIL021W
YGL049C	YIR001C
YGL049C	YJL190C
YGL049C	YLR175W
YGL049C	YMR125W
YGL049C	YNL251C
YGL049C	YPL190C
YGL061C	YGR113W
YGL061C	YKR037C
YGL061C	YKR083C
YGL076C	YGL111W
YGL076C	YGR085C
YGL076C	YHR088W
YGL076C	YJL177W
YGL076C	YJL190C
YGL076C	YJR145C
YGL076C	YKR081C
YGL076C	YLL045C
YGL076C	YLR075W
YGL076C	YLR432W
YGL076C	YLR441C
YGL076C	YLR448W
YGL076C	YML056C
YGL076C	YML063W
YGL076C	YML073C
YGL076C	YMR142C
YGL076C	YMR242C
YGL076C	YMR290C
YGL076C	YNL069C
YGL076C	YNL132W
YGL076C	YOL127W
YGL076C	YOR096W
YGL076C	YOR206W
YGL076C	YPL249C-A
YGL094C	YKL025C
YGL097W	YOR185C
YGL098W	YKL196C
YGL098W	YLR440C
YGL098W	YNL258C
YGL099W	YLL045C
YGL111W	YHR052W
YGL111W	YHR088W
YGL111W	YHR197W
YGL111W	YKL172W
YGL111W	YLL034C
YGL111W	YMR290C
YGL111W	YNL002C
YGL111W	YNL110C
YGL111W	YOL127W
YGL111W	YOR206W
YGL111W	YOR272W
YGL111W	YPL131W
YGL111W	YPL211W
YGL125W	YPL023C
YGL127C	YGL151W
YGL127C	YNL236W
YGL127C	YNR010W
YGL127C	YOL135C
YGL127C	YOR174W
YGL127C	YPL042C
YGL127C	YPR168W
YGL151W	YML007W
YGL151W	YMR112C
YGL151W	YNL236W
YGL151W	YNR010W
YGL151W	YOL135C
YGL151W	YOR174W
YGL151W	YPL042C
YGL151W	YPR168W
YGL172W	YGR119C
