YNL316C	YOL082W
YGR116W	YLL039C
YLR251W	YNL255C
YML008C	YNL280C
YEL011W	YLL039C
YLR435W	YNL255C
YGL180W	YJR019C
YBL023C	YEL032W
YDR080W	YGL025C
YBR056W	YFR004W
YBR194W	YPR152C
YIL019W	YNL075W
YCL056C	YDR142C
YGR038W	YJL187C
YIL035C	YPR143W
YFR014C	YNL218W
YJL151C	YMR296C
YNL092W	YOR159C
YDR246W	YKR068C
YHR007C	YHR190W
YJL187C	YLR132C
YER040W	YER118C
YDR130C	YGL093W
YDR482C	YMR213W
YHR197W	YLR449W
YER165W	YHR086W
YJL052W	YLL060C
YCL054W	YKR081C
YMR242C	YOL120C
YAR007C	YIR010W
YDL075W	YGL147C
YER103W	YOR304W
YHR052W	YOL127W
YMR146C	YPL081W
YLR350W	YMR238W
YDL055C	YPR034W
YGR075C	YML051W
YHR174W	YOL135C
YMR049C	YMR229C
YBR194W	YIR006C
YKL014C	YOL127W
YLR044C	YNL127W
YFR030W	YIL094C
YLL039C	YLR039C
YGL253W	YOR117W
YKL212W	YLL039C
YDR247W	YKL193C
YMR020W	YNL246W
YJR145C	YNL055C
YGL112C	YMR236W
YBR035C	YLL039C
YBL039C	YDL055C
YGR060W	YHR190W
YER122C	YIL095W
YJL123C	YOL128C
YDR129C	YMR246W
YBL043W	YMR117C
YDL212W	YJR015W
YCR106W	YEL072W
YDR247W	YHL024W
YGR281W	YJR066W
YHL009C	YPL141C
YEL003W	YJL179W
YGL031C	YGR281W
YDR297W	YPL076W
YGR082W	YNL070W
YGR019W	YHR165C
YGL181W	YNL243W
YDR091C	YPR041W
YGL031C	YMR242C
YDL065C	YNL214W
YIL019W	YLR441C
YIL152W	YJR092W
YDL031W	YNL207W
YBR189W	YDR418W
YER148W	YPL235W
YGL105W	YLR138W
YBR189W	YLR029C
YHR135C	YJL148W
YGR104C	YNL209W
YGL200C	YGR284C
YLR448W	YMR061W
YGL066W	YGR252W
YBR200W	YLR318W
YKR081C	YOR063W
YKR008W	YLR357W
YBL023C	YLL004W
YHR161C	YMR183C
YBR151W	YNL126W
YGR023W	YKL119C
YAL005C	YIL091C
YCL014W	YPR161C
YDL175C	YPR191W
YKL127W	YOL045W
YAL038W	YDL055C
YMR142C	YOL120C
YAL035W	YJR123W
YCR088W	YNL138W
YCR086W	YER086W
YDR028C	YGR252W
YBL033C	YNL255C
YBR250W	YNL012W
YMR142C	YOR063W
YDL226C	YER118C
YER171W	YMR201C
YDR388W	YMR205C
YDR471W	YNL096C
YHR007C	YLL039C
YDR238C	YKL145W
YHL003C	YOR223W
YDL088C	YNL154C
YJL059W	YLR022C
YHR161C	YNL020C
YNL255C	YPL181W
YLL039C	YLR153C
YCR077C	YDL065C
YKL180W	YLR441C
YML074C	YOR341W
YDR207C	YIL084C
YHR079C	YNL097C
YGR237C	YML056C
YDR330W	YGR003W
YDL075W	YGR085C
YNL131W	YOR039W
YBL003C	YGR252W
YBR221C	YFR004W
YML046W	YML049C
YDR424C	YIL095W
YEL034W	YPR173C
YDL125C	YNL154C
YAL005C	YGR237C
YHR052W	YPL141C
YML010W	YNL201C
YFL039C	YLL039C
YMR285C	YNL154C
YEL017C-A	YNL194C
YFR014C	YLR102C
YFR004W	YIL109C
YEL054C	YHR197W
YGR180C	YOL045W
YLL039C	YOL081W
YKL143W	YPL266W
YDL100C	YDR451C
YLR075W	YML065W
YGR280C	YPL110C
YLL045C	YNL112W
YAL013W	YMR263W
YCR012W	YLR044C
YGR126W	YJR084W
YBR196C	YLR249W
YJL173C	YMR105C
YGR173W	YLL024C
YJR095W	YLL039C
YBR247C	YNL096C
YDR135C	YIL035C
YKL145W	YOR259C
YJR053W	YNL238W
YBL093C	YGR104C
YIL113W	YNL138W
YAL035W	YMR242C
YHR035W	YPR119W
YKL135C	YLR448W
YLL039C	YOR261C
YMR049C	YOR361C
YDR364C	YDR523C
YLL026W	YOL111C
YLL039C	YPR120C
YDR093W	YLL039C
YCR088W	YOR284W
YBL061C	YDR247W
YBR059C	YHR161C
YOR157C	YPR103W
YDL065C	YOL147C
YNL161W	YPL032C
YCR073C	YMR165C
YGL090W	YPR120C
YDR486C	YLR181C
YLL039C	YOL087C
YGL140C	YKL117W
YBR183W	YPL227C
YHR139C	YPL026C
YHR135C	YPR019W
YBR052C	YOL105C
YLL039C	YPL019C
YNL124W	YOL040C
YDL075W	YPL037C
YDL209C	YPR182W
YLR249W	YOL013C
YBL007C	YPR030W
YML010W	YOL145C
YLR342W	YNL255C
YCR069W	YLL039C
YIL125W	YKL198C
YDL165W	YKL166C
YAR007C	YOR304W
YCR024C-A	YLL023C
YCL059C	YGL078C
YDL130W	YLR287C
YDL200C	YGL121C
YNL209W	YPR119W
YLR278C	YLR442C
YGR279C	YNL255C
YGL073W	YHR099W
YJR097W	YNL255C
YHR065C	YMR106C
YGL058W	YLR377C
YDR100W	YGR177C
YBR234C	YLL039C
YBL003C	YDL031W
YEL062W	YPL255W
YJR009C	YKL010C
YGL245W	YLL039C
YHR169W	YHR179W
YCL011C	YMR216C
YCL027W	YLR117C
YGL059W	YLR003C
YAR019C	YFR028C
YBR049C	YDR188W
YLR326W	YNL154C
YLR293C	YMR308C
YER124C	YML109W
YDL235C	YOR301W
YER148W	YNL039W
YMR129W	YPR080W
YGR161C	YMR299C
YFR052W	YIL075C
YJR007W	YPL237W
YIR010W	YOR090C
YAL024C	YPR145W
YDR212W	YOR119C
YJR076C	YLR027C
YBL002W	YPR161C
YER035W	YPL004C
YIR010W	YML032C
YDR036C	YJR113C
YDL125C	YDR388W
YIL033C	YNL027W
YMR048W	YOR153W
YNL126W	YOR043W
YBR059C	YML014W
YOR117W	YPL240C
YBR031W	YKR081C
YHR001W-A	YLL039C
YDR101C	YFR004W
YBR161W	YJL014W
YBR049C	YGL234W
YDR118W	YMR134W
YLR370C	YNL138W
YKL035W	YPL240C
YGR192C	YOR117W
YBL072C	YDL060W
YDR100W	YDR479C
YKL116C	YMR203W
YDR293C	YMR105C
YGL147C	YLR406C
YCR077C	YDR404C
YJR065C	YLR429W
YGR214W	YLL039C
YPL084W	YPR173C
YHR135C	YPR083W
YEL055C	YHR196W
YAR007C	YLR086W
YLR276C	YMR229C
YLR304C	YMR246W
YIR010W	YOR267C
YBL105C	YML109W
YCL059C	YNR054C
YDR501W	YJL151C
YDL088C	YGR229C
YCR091W	YDL006W
YCR086W	YDR247W
YFR004W	YMR285C
YHR135C	YHR179W
YBR194W	YCR030C
YEL039C	YNL154C
YBL003C	YBR202W
YIL009W	YML086C
YML056C	YMR061W
YGL259W	YHL042W
YMR246W	YPL206C
YLR029C	YMR242C
YJR072C	YMR106C
YDR233C	YOR117W
YLR268W	YOL111C
YHR099W	YJL081C
YDL101C	YHR185C
YIL094C	YKR048C
YCR077C	YDL165W
YCR020W-B	YLR321C
YKL079W	YPR049C
YDR129C	YOL013C
YFL037W	YNL212W
YHL019C	YKL135C
YIL034C	YOR181W
YBR274W	YLR152C
YNL002C	YPL141C
YBR031W	YBR191W
YGL180W	YLR192C
YJR077C	YOR117W
YDR472W	YMR218C
YDL002C	YFL039C
YDL047W	YER155C
YNL154C	YNL267W
YBL107C	YNL255C
YBL005W	YDR176W
YLL045C	YOL041C
YBR142W	YOR063W
YIL084C	YKL185W
YGL227W	YLR377C
YFR004W	YNL044W
YBR239C	YDR388W
YGR274C	YLR399C
YOR187W	YPL259C
YML065W	YMR194W
YBL031W	YGL158W
YBR146W	YGR215W
YNL225C	YOL091W
YAL005C	YGL064C
YDR170C	YLR342W
YKL135C	YLR330W
YGL150C	YPL127C
YAL038W	YDL207W
YKR081C	YMR049C
YBR194W	YKR006C
YDR412W	YNL229C
YDR170C	YLL039C
YDR169C	YML112W
YER149C	YNL293W
YAL038W	YDR130C
YIR010W	YNL172W
YDR171W	YPL240C
YHR135C	YNL272C
YHR094C	YKL065C
YGL059W	YOR083W
YMR142C	YOR204W
YBR102C	YBR200W
YGR013W	YPR182W
YGL129C	YIL093C
YBR295W	YIL030C
YDR392W	YGR252W
YIL149C	YNL126W
YDR012W	YNL251C
YGL059W	YKR100C
YKL014C	YNL207W
YGL147C	YMR194W
YKL212W	YPR183W
YOR341W	YPR010C
YGL127C	YLR071C
YFL039C	YGR229C
YBL007C	YNL152W
YJR123W	YMR142C
YBL037W	YNL307C
YHR079C	YKR105C
YJL069C	YLR222C
YLR022C	YMR229C
YBR049C	YPR152C
YHR099W	YOL083W
YDR434W	YHR007C
YNL255C	YPR191W
YBR247C	YNL075W
YJL014W	YOR230W
YKL185W	YLL039C
YIR010W	YNL064C
YKL145W	YLR421C
YGR192C	YJL052W
YBR194W	YML010W
YGL105W	YJL187C
YOL041C	YOR063W
YAL005C	YOL111C
YBR194W	YOL016C
YIR010W	YJL148W
YDR471W	YKR081C
YGL040C	YML064C
YIL078W	YKL198C
YBL101C	YOR124C
YHR137W	YLR278C
YGR192C	YKL152C
YNR054C	YOL120C
YAL030W	YDR468C
YEL030W	YKL191W
YOR124C	YPR030W
YBL021C	YKL109W
YHL007C	YMR053C
YKR068C	YLR342W
YDR523C	YOR157C
YJR066W	YMR183C
YBR079C	YPL001W
YLR384C	YNL272C
YDR405W	YNL005C
YAR018C	YLR342W
YBL016W	YGL082W
YOR083W	YPL240C
YAL053W	YCR030C
YLR075W	YMR242C
YKL181W	YNL255C
YGR027C	YPL004C
YDR150W	YDR247W
YER149C	YOL112W
YAR042W	YGR192C
YJL157C	YMR199W
YGL180W	YHR009C
YAL035W	YEL054C
YHR197W	YNL113W
YDR496C	YNL255C
YBR168W	YDL065C
YDR207C	YOR337W
YNL124W	YOL149W
YDR086C	YOR254C
YHR174W	YNL255C
YCR088W	YPL008W
YBL016W	YHL019C
YEL061C	YER012W
YFR040W	YLR222C
YLR170C	YPR029C
YGR200C	YMR236W
YER072W	YGL179C
YBR106W	YKR106W
YKL152C	YOR098C
YDL044C	YLR139C
YDR301W	YOL145C
YER128W	YFR014C
YBL007C	YCR088W
YDL150W	YNL255C
YGL180W	YLR423C
YBR059C	YNL227C
YER032W	YLR456W
YFL023W	YPR080W
YDR299W	YJR002W
YGR229C	YKR099W
YHR083W	YMR203W
YLR318W	YPL240C
YFL002C	YNL002C
YAL024C	YLR388W
YJL014W	YLR259C
YDL207W	YMR255W
YAL030W	YPR032W
YER032W	YMR117C
YGL031C	YOL127W
YCL011C	YFR004W
YFR004W	YMR226C
YFR004W	YPR041W
YER105C	YLL039C
YBR189W	YJR145C
YCR066W	YGL058W
YDR207C	YOR355W
YLL039C	YOR283W
YNL062C	YOR361C
YBR130C	YLL039C
YGR089W	YLL039C
YDR012W	YML065W
YHR007C	YHR042W
YFR046C	YIR010W
YDR212W	YJL014W
YIR010W	YMR100W
YCR030C	YNR047W
YNR022C	YPR119W
YER148W	YGR274C
YNL255C	YPR143W
YDR412W	YGL111W
YAL013W	YKL185W
YCR086W	YPR187W
YDR174W	YDR335W
YIL079C	YML056C
YJL140W	YNL255C
YHL042W	YLR018C
YLL016W	YLR310C
YBR193C	YDR308C
YDL087C	YDR240C
YLL039C	YNL012W
YBR207W	YHR094C
YCL011C	YDL014W
YDR062W	YLR350W
YLR265C	YLR424W
YNL251C	YNL330C
YGR278W	YKR086W
YDR224C	YPR052C
YJL187C	YPR139C
YLL039C	YNL074C
YDL075W	YNL301C
YDR471W	YGL147C
YBL081W	YDL167C
YBR142W	YDR170C
YFL022C	YLR060W
YHR135C	YNL055C
YGR295C	YLR343W
YGR046W	YLR259C
YBR031W	YGR214W
YHR135C	YLR125W
YDR414C	YEL004W
YLR249W	YNL307C
YJL140W	YPR187W
YDR172W	YFL039C
YDR504C	YMR168C
YKR086W	YPL178W
YAR027W	YLR214W
YFR009W	YHL039W
YDR238C	YER122C
YGL011C	YKR070W
YAR007C	YBR049C
YAL035W	YDR091C
YBR031W	YDR496C
YJL189W	YML065W
YKR003W	YPR173C
YFR028C	YGR092W
YGL116W	YJL014W
YHR135C	YKL048C
YMR055C	YNL335W
YFL005W	YNL293W
YBR031W	YBR189W
YKL028W	YLR167W
YKL060C	YNL127W
YGL059W	YKL181W
YAR019C	YPL240C
YIR017C	YNL103W
YBL008W	YNL206C
YGR295C	YMR221C
YGL200C	YPL227C
YDR044W	YOR093C
YNL238W	YOL031C
YEL009C	YOL148C
YDR265W	YMR026C
YLR011W	YOR028C
YEL009C	YGL201C
YGL092W	YJL039C
YLR276C	YOL127W
YKL060C	YOR117W
YDR318W	YLR381W
YBL061C	YMR242C
YCR091W	YNL045W
YGL006W	YML018C
YCR077C	YKL054C
YBR207W	YGL006W
YJR097W	YNL092W
YJR075W	YLL039C
YBL045C	YDR388W
YDL168W	YFR004W
YFR004W	YKL060C
YDR295C	YJR112W
YER146W	YLR058C
YBL003C	YKR092C
YIR010W	YNL262W
YDR240C	YPL178W
YOL059W	YOR117W
YDR080W	YGR013W
YDR288W	YLR007W
YER013W	YMR125W
YBR247C	YDL060W
YDR063W	YFL039C
YLL039C	YML101C
YBR107C	YDR318W
YDR303C	YER148W
YLR380W	YLR429W
YFR004W	YGL039W
YBR079C	YOR361C
YAL038W	YOR160W
YBR020W	YPL248C
YLL039C	YNL141W
YCR012W	YEL031W
YOR153W	YPL058C
YLR075W	YOR063W
YDR080W	YNL238W
YJR123W	YPR137W
YBR193C	YGL253W
YBL003C	YPL235W
YFR011C	YOL006C
YAR018C	YOL054W
YGL174W	YGL216W
YBL002W	YPL047W
YOR275C	YPR173C
YMR227C	YPL248C
YDR471W	YOR063W
YLR332W	YMR299C
YDL002C	YGR092W
YCR004C	YMR086W
YER103W	YLR293C
YBL007C	YGR227W
YDR091C	YLL045C
YBR090C	YHR135C
YGL234W	YKL166C
YDR101C	YNL209W
YHL009C	YMR314W
YLR016C	YLR086W
YGR280C	YJL148W
YLL019C	YOR201C
YLL024C	YMR229C
YER034W	YHR135C
YJR066W	YMR011W
YPR112C	YPR154W
YAR007C	YDR129C
YJL081C	YLR085C
YDR412W	YKR095W
YER171W	YMR056C
YER012W	YJL130C
YGR130C	YNL020C
YCR091W	YGL245W
YHL011C	YOR133W
YGL087C	YOL081W
YFR013W	YIR010W
YBL016W	YPR086W
YGL181W	YHR161C
YLL039C	YOL133W
YLR029C	YPR143W
YPR187W	YPR190C
YCL037C	YGL014W
YLR332W	YMR296C
YOL040C	YOR063W
YFR004W	YJL052W
YCL054W	YDL014W
YDR412W	YJL039C
YFL039C	YOR117W
YER146W	YHR165C
YOR233W	YOR294W
YNL255C	YNR032C-A
YKL082C	YOL041C
YDL239C	YKL042W
YDR388W	YHR079C
YIL050W	YJL084C
YJL014W	YOL146W
YER032W	YHR114W
YGR132C	YNL055C
YDR130C	YMR194W
YLL039C	YML130C
YCR084C	YNL025C
YJL138C	YOL013C
YER179W	YMR224C
YER165W	YOR098C
YFR004W	YHR068W
YAL035W	YJR007W
YLL006W	YNL070W
YBR202W	YCR086W
YBR109C	YKR025W
YIL158W	YNL255C
YGR167W	YLR330W
YIR010W	YJR144W
YMR125W	YPR182W
YOR285W	YPR183W
YCR088W	YIL095W
YDR229W	YPR152C
YGL023C	YNL183C
YGR021W	YNL255C
YDR392W	YHR099W
YCR012W	YOR117W
YNL162W	YOL097C
YMR146C	YOR361C
YLL039C	YMR261C
YIL016W	YPL264C
YDR129C	YNL138W
YBR267W	YDR101C
YDL083C	YLL045C
YMR314W	YPR103W
YBR154C	YGR200C
YBL023C	YGL201C
YAL053W	YLR342W
YFR031C-A	YOL040C
YCR053W	YFR004W
YDL160C	YOR204W
YNL055C	YOR117W
YFR004W	YLR044C
YGL233W	YJL036W
YDR418W	YDR471W
YLR310C	YNL025C
YDL190C	YER057C
YER040W	YNL229C
YBR059C	YIL095W
YGR129W	YMR213W
YBR011C	YPL111W
YLR223C	YPR104C
YBL002W	YGR054W
YKL166C	YOR002W
YJL098W	YNL055C
YGL129C	YJR101W
YGL006W	YJL178C
YBL072C	YLL045C
YDL100C	YHR128W
YDL030W	YOR159C
YFL017C	YGR135W
YIR010W	YJR112W
YFR028C	YML064C
YDR188W	YJL111W
YGL141W	YLL039C
YBR254C	YGR143W
YNL207W	YPL266W
YGL179C	YNL293W
YGL234W	YOR117W
YBR278W	YNL255C
YKL028W	YPR052C
YIR026C	YPR164W
YGR058W	YGR136W
YGL066W	YMR186W
YDR418W	YNL255C
YJR077C	YMR186W
YCL054W	YPR161C
YLR075W	YOR117W
YFR004W	YLR060W
YDR496C	YLR029C
YBR052C	YGR281W
YEL018W	YFL024C
YPR010C	YPR187W
YDR388W	YIL156W
YML029W	YNL294C
YDR171W	YPR010C
YML083C	YNL154C
YEL034W	YNL085W
YDR407C	YMR218C
YEL018W	YNL136W
YNL255C	YNR007C
YDL014W	YPR152C
YDL207W	YGR192C
YBL016W	YDR440W
YBR109C	YNL281W
YGR111W	YLL039C
YDR471W	YFR004W
YBL002W	YPL001W
YLR044C	YLR249W
YGL179C	YGR135W
YCR020W-B	YGR056W
YBR285W	YHR079C
YDL159W	YDR356W
YFL026W	YJR066W
YDR427W	YGR067C
YGL200C	YNL130C
YJL013C	YJL030W
YFL036W	YLR259C
YKL143W	YNL207W
YGL026C	YOR117W
YGL058W	YPR161C
YMR109W	YOR181W
YJL011C	YPR190C
YLL039C	YNL103W
YLR447C	YNL255C
YGL245W	YPR152C
YJL148W	YPR187W
YIL094C	YLR048W
YDR131C	YOL025W
YJR091C	YNR048W
YOR039W	YPL235W
YMR010W	YNR028W
YCR086W	YDR061W
YGR085C	YOR063W
YOR127W	YOR326W
YKL060C	YLR044C
YIL048W	YLL039C
YDR194C	YFL036W
YBR154C	YNL255C
YBR251W	YJR101W
YDL083C	YOL040C
YLL050C	YNL138W
YJR040W	YPL240C
YML051W	YOR355W
YAR027W	YHR048W
YBR031W	YDL083C
YIR010W	YKL152C
YER048W-A	YKL192C
YKL079W	YNL272C
YNL154C	YPR091C
YDR100W	YML018C
YDL030W	YDR421W
YGL256W	YLR182W
YDR388W	YLR144C
YNL041C	YOR304C-A
YBR154C	YLR223C
YDL101C	YJR104C
YKL109W	YOR290C
YJR091C	YLR156W
YDR308C	YGL025C
YDR167W	YER148W
YDR039C	YLL039C
YDL233W	YGL216W
YHR188C	YLR088W
YDR482C	YKL095W
YOL120C	YOR361C
YNL255C	YNL301C
YLR085C	YLR259C
YBR098W	YDR386W
YHR016C	YMR109W
YDR224C	YHL007C
YIR010W	YOR341W
YDR471W	YOL040C
YPL248C	YPR086W
YKL009W	YNL002C
YML051W	YPL047W
YNL048W	YPL076W
YOR189W	YPL235W
YGR092W	YMR165C
YER155C	YOL087C
YGR092W	YKL077W
YHR024C	YLR172C
YER165W	YHR165C
YGR129W	YNL255C
YLL039C	YLR293C
YCL014W	YPR119W
YDR312W	YFR014C
YAL005C	YOR098C
YER036C	YLL011W
YDR122W	YGR097W
YBR263W	YFR031C-A
YLL039C	YMR207C
YOR294W	YPL180W
YGL043W	YOL005C
YJR066W	YKL161C
YLR441C	YLR448W
YDR388W	YIL094C
YLR222C	YMR093W
YHR135C	YOR204W
YBL003C	YCL054W
YIL107C	YLL039C
YGL059W	YNR039C
YBR112C	YCL067C
YGR294W	YPL240C
YBR194W	YNL138W
YBL039C	YGL081W
YIR010W	YOR026W
YDR357C	YKL061W
YLR287C-A	YNL255C
YBR193C	YDL005C
YOR181W	YPL246C
YDR388W	YNL255C
YLR153C	YOR117W
YJR076C	YNL166C
YKL152C	YLL039C
YDL190C	YML100W
YFR052W	YLR421C
YKR068C	YMR218C
YFL013C	YGL150C
YER164W	YOR039W
YLR084C	YOR153W
YBR079C	YDL019C
YER148W	YOR039W
YOL018C	YPR183W
YGR281W	YOR273C
YBR196C	YDR172W
YEL034W	YKL212W
YDL067C	YNL052W
YGL014W	YGL070C
YDR032C	YMR106C
YBR102C	YLL039C
YIL156W	YPR154W
YDL181W	YGR089W
YDR285W	YKL166C
YEL002C	YOL003C
YDR212W	YOR230W
YER148W	YMR236W
YFR004W	YKL182W
YDR265W	YOL044W
YEL017C-A	YJR117W
YER015W	YLR098C
YML109W	YMR109W
YKL009W	YPR080W
YEL042W	YPL240C
YLR249W	YOR081C
YJL035C	YLR316C
YNL255C	YOR204W
YDR359C	YEL018W
YJR131W	YLR083C
YEL034W	YOL133W
YGR056W	YPR034W
YIL142W	YJL014W
YBL072C	YFR004W
YKR104W	YLR214W
YFR004W	YNL141W
YLR330W	YNL045W
YBL002W	YOL006C
YDR301W	YMR033W
YKL185W	YNL097C
YDL014W	YNL023C
YOR133W	YPL235W
YDL002C	YOR304W
YDR168W	YGR123C
YLL039C	YPR080W
YCR088W	YDR388W
YBR199W	YOL018C
YDR295C	YNL021W
YDL055C	YOR133W
YJR014W	YNL255C
YHR179W	YMR201C
YFL050C	YOL130W
YDR107C	YGL200C
YMR186W	YNL157W
YDR101C	YLR397C
YDL193W	YPL240C
YGL111W	YNL002C
YJL057C	YOL125W
YBR031W	YNL301C
YFL005W	YHR094C
YGR021W	YHR135C
YDL239C	YOR304C-A
YBL045C	YGR112W
YLR425W	YPL066W
YGR030C	YHR062C
YIR017C	YJR112W
YHR007C	YLL006W
YFR052W	YOR181W
YER148W	YPL049C
YBL061C	YDL044C
YBL050W	YLR268W
YLR449W	YOL127W
YBR200W	YJL187C
YLR103C	YNL330C
YHR135C	YOR119C
YGL190C	YPR154W
YLR223C	YOR039W
YHR157W	YKL166C
YML010W	YOL005C
YKR025W	YOL021C
YFR004W	YLR029C
YAL013W	YPL181W
YAL024C	YHR174W
YJL081C	YPL235W
YLR467W	YNL255C
YML065W	YMR142C
YDR359C	YJL081C
YGL179C	YLR276C
YKL095W	YMR213W
YBR020W	YMR117C
YBR278W	YCL032W
YDL014W	YOR063W
YFR004W	YKL212W
YGL205W	YLL039C
YDR379W	YKL166C
YDR247W	YIL033C
YFR004W	YIL075C
YER155C	YIR010W
YHR135C	YNL154C
YDL200C	YDR224C
YMR048W	YOR124C
YJL151C	YKL140W
YEL009C	YFL024C
YFL038C	YOL125W
YDR173C	YNL201C
YIL084C	YNL097C
YDL101C	YDR217C
YGR097W	YKL116C
YDR256C	YMR033W
YDR032C	YHR001W
YJR084W	YOL117W
YDR364C	YGR278W
YGR133W	YOL147C
YBR072W	YLL039C
YFR004W	YLR448W
YCL014W	YNL209W
YJR005W	YKL135C
YKR048C	YPR086W
YJL138C	YNL106C
YCR011C	YNL154C
YDR012W	YNL301C
YBR106W	YMR292W
YER155C	YJL098W
YMR227C	YNL027W
YHL011C	YMR186W
YER070W	YLR153C
YMR186W	YNR031C
YER022W	YPR168W
YFR004W	YOR280C
YDL055C	YHL011C
YGR195W	YHR069C
YCR038C	YLR353W
YBR079C	YJR145C
YDR213W	YML111W
YBR052C	YDR039C
YJR112W	YKR022C
YBR107C	YJR135C
YHR014W	YHR185C
YHR169W	YLR249W
YHR119W	YJL111W
YAR007C	YNL312W
YHR114W	YOR389W
YAL005C	YPL165C
YFR052W	YMR314W
YMR192W	YNL209W
YER157W	YGL105W
YDL203C	YDR247W
YDR412W	YEL054C
YBR189W	YML056C
YJL084C	YNL183C
YGR052W	YNL076W
YER023W	YFR004W
YDL115C	YGL179C
YBR253W	YPR168W
YDR247W	YGL208W
YNL052W	YOR231W
YMR172W	YOR039W
YJL057C	YLR287C
YBR106W	YMR215W
YBR031W	YGL147C
YGR252W	YNL255C
YDR388W	YLR355C
YDR001C	YPL240C
YHR169W	YJR002W
YIL095W	YPR152C
YAR007C	YPR161C
YMR068W	YNL207W
YBL034C	YFL037W
YLR293C	YPL009C
YLR256W	YNL064C
YDL030W	YER172C
