Q0085	YPR103W
YBL005W	YBR149W
YBL005W	YDR138W
YBL005W	YOL077C
YBL006C	YFR037C
YBL006C	YGR056W
YBL009W	YOR138C
YBL013W	YMR109W
YBL016W	YBR072W
YBL016W	YDR171W
YBL023C	YDR022C
YBL023C	YGR173W
YBL023C	YJL163C
YBL023C	YKL028W
YBL023C	YOR048C
YBL023C	YOR346W
YBL023C	YPR046W
YBL026W	YHR165C
YBL026W	YJL124C
YBL026W	YKL173W
YBL026W	YLR275W
YBL030C	YGL167C
YBL030C	YNL250W
YBL035C	YDR054C
YBL035C	YOR355W
YBL037W	YER023W
YBL037W	YJL084C
YBL037W	YOL062C
YBL046W	YDR075W
YBL046W	YML010W
YBL047C	YCR030C
YBL047C	YFR037C
YBL052C	YBR010W
YBL052C	YFR037C
YBL052C	YGL061C
YBL052C	YGR068C
YBL052C	YJR082C
YBL052C	YLR455W
YBL052C	YNL088W
YBL055C	YOR052C
YBL056W	YBL079W
YBL056W	YDR071C
YBL056W	YIL063C
YBL056W	YOR361C
YBL056W	YPL061W
YBL058W	YBR155W
YBL058W	YDR283C
YBL058W	YFL044C
YBL058W	YHR205W
YBL058W	YJL138C
YBL058W	YJR098C
YBL058W	YLR377C
YBL058W	YML064C
YBL058W	YNL151C
YBL058W	YOR342C
YBL058W	YPL133C
YBL058W	YPR135W
YBL059W	YGL070C
YBL059W	YOR340C
YBL060W	YER144C
YBL060W	YLR335W
YBL060W	YNL216W
YBL060W	YOR123C
YBL066C	YJL050W
YBL077W	YDR054C
YBL078C	YLR295C
YBL079W	YDR075W
YBL079W	YDR129C
YBL079W	YGL212W
YBL079W	YGR037C
YBL079W	YGR104C
YBL079W	YLR429W
YBL079W	YPL146C
YBL082C	YGL070C
YBL084C	YHR166C
YBL084C	YKL022C
YBL084C	YKL028W
YBL084C	YNL172W
YBL084C	YOR242C
YBL086C	YDR087C
YBL086C	YLR045C
YBL088C	YDR054C
YBL094C	YBR010W
YBL097W	YDR325W
YBL097W	YFR031C
YBL097W	YHL002W
YBL097W	YLR272C
YBR001C	YBR127C
YBR001C	YDR171W
YBR001C	YLR429W
YBR001C	YNL106C
YBR001C	YOL016C
YBR001C	YPR171W
YBR010W	YBR049C
YBR010W	YBR060C
YBR010W	YBR245C
YBR010W	YCL016C
YBR010W	YDL048C
YBR010W	YDR052C
YBR010W	YDR463W
YBR010W	YEL056W
YBR010W	YER147C
YBR010W	YFR034C
YBR010W	YFR037C
YBR010W	YGL026C
YBR010W	YGL207W
YBR010W	YGR081C
YBR010W	YJL093C
YBR010W	YKR048C
YBR010W	YLR150W
YBR010W	YMR044W
YBR010W	YMR072W
YBR010W	YMR106C
YBR010W	YMR229C
YBR010W	YMR284W
YBR010W	YMR288W
YBR010W	YMR308C
YBR010W	YNL054W
YBR010W	YNL136W
YBR010W	YNL167C
YBR010W	YNL206C
YBR010W	YNL329C
YBR010W	YOL006C
YBR010W	YOL054W
YBR010W	YOR172W
YBR010W	YOR244W
YBR010W	YPR052C
YBR019C	YKL135C
YBR020W	YDR510W
YBR026C	YDR054C
YBR027C	YER070W
YBR030W	YMR186W
YBR034C	YFR004W
YBR034C	YLR315W
YBR039W	YEL056W
YBR039W	YGR250C
YBR039W	YMR186W
YBR039W	YNL186W
YBR044C	YIL126W
YBR044C	YJR010C-A
YBR044C	YLR435W
YBR047W	YDR238C
YBR049C	YBR084W
YBR049C	YCR047C
YBR049C	YDR490C
YBR049C	YGL108C
YBR049C	YLR418C
YBR049C	YNL088W
YBR050C	YDR075W
YBR057C	YLR347C
YBR058C	YBR072W
YBR058C	YBR234C
YBR058C	YCR073W-A
YBR058C	YDL215C
YBR058C	YDR129C
YBR058C	YDR177W
YBR058C	YEL030W
YBR058C	YER012W
YBR058C	YFR034C
YBR058C	YGL070C
YBR058C	YGL105W
YBR058C	YGR116W
YBR058C	YIL116W
YBR058C	YIL126W
YBR058C	YLR177W
YBR058C	YML017W
YBR058C	YML072C
YBR058C	YMR108W
YBR058C	YOL006C
YBR058C	YOR198C
YBR058C	YOR329C
YBR058C	YPL183C
YBR058C	YPR042C
YBR058C	YPR127W
YBR060C	YDR341C
YBR060C	YDR381W
YBR060C	YLR150W
YBR060C	YML007W
YBR060C	YMR072W
YBR060C	YPR052C
YBR060C	YPR162C
YBR061C	YIR026C
YBR061C	YPL183C
YBR065C	YDR429C
YBR065C	YKR048C
YBR065C	YMR186W
YBR065C	YNL250W
YBR065C	YPL004C
YBR065C	YPR080W
YBR069C	YDL100C
YBR069C	YDR427W
YBR069C	YPR108W
YBR072W	YBR127C
YBR072W	YDR213W
YBR072W	YER070W
YBR072W	YER159C
YBR072W	YML124C
YBR072W	YNL041C
YBR072W	YNL274C
YBR072W	YOR159C
YBR072W	YPL239W
YBR072W	YPR056W
YBR072W	YPR161C
YBR072W	YPR164W
YBR073W	YGR126W
YBR073W	YKR072C
YBR082C	YDR341C
YBR084W	YBR169C
YBR084W	YDR535C
YBR084W	YGL207W
YBR084W	YIL152W
YBR084W	YLR033W
YBR084W	YMR125W
YBR084W	YOR361C
YBR085W	YGL167C
YBR101C	YBR115C
YBR101C	YDL215C
YBR101C	YEL031W
YBR101C	YGL070C
YBR101C	YGL099W
YBR101C	YJL076W
YBR101C	YNL318C
YBR103W	YCR033W
YBR103W	YDR087C
YBR103W	YDR464W
YBR103W	YEL026W
YBR103W	YKR029C
YBR103W	YLR347C
YBR103W	YOR028C
YBR105C	YIL017C
YBR105C	YIL097W
YBR115C	YCR020W-B
YBR115C	YCR030C
YBR115C	YPL070W
YBR122C	YDR322W
YBR122C	YPR161C
YBR123C	YMR109W
YBR123C	YOR110W
YBR125C	YBR169C
YBR125C	YDR071C
YBR126C	YDL147W
YBR126C	YDR074W
YBR126C	YMR261C
YBR127C	YDL185W
YBR127C	YDR202C
YBR127C	YEL051W
YBR127C	YER070W
YBR127C	YGR020C
YBR127C	YGR092W
YBR127C	YJR033C
YBR127C	YKL082C
YBR127C	YML121W
YBR127C	YMR229C
YBR127C	YPR036W
YBR135W	YDL155W
YBR135W	YDR099W
YBR135W	YJL138C
YBR135W	YLR079W
YBR136W	YGR124W
YBR136W	YHR114W
YBR136W	YML062C
YBR136W	YOR181W
YBR136W	YOR210W
YBR143C	YDR172W
YBR143C	YDR353W
YBR143C	YJR032W
YBR143C	YOR361C
YBR149W	YGL040C
YBR150C	YDL147W
YBR150C	YLR027C
YBR150C	YLR106C
YBR155W	YCL014W
YBR155W	YDL115C
YBR155W	YKR048C
YBR155W	YMR186W
YBR155W	YMR258C
YBR160W	YDL155W
YBR160W	YLR079W
YBR160W	YPR119W
YBR160W	YPR120C
YBR162C	YOR323C
YBR167C	YBR257W
YBR169C	YBR218C
YBR169C	YDR171W
YBR169C	YGR061C
YBR169C	YGR171C
YBR169C	YGR241C
YBR169C	YKL160W
YBR169C	YKR048C
YBR169C	YMR186W
YBR169C	YNL186W
YBR169C	YOR304W
YBR169C	YOR361C
YBR169C	YPL012W
YBR169C	YPR089W
YBR171W	YDL095W
YBR176W	YPR080W
YBR188C	YDL043C
YBR188C	YJR050W
YBR188C	YKL104C
YBR188C	YLL036C
YBR188C	YLR117C
YBR188C	YMR213W
YBR194W	YLL036C
YBR194W	YPR152C
YBR198C	YDR167W
YBR198C	YDR381W
YBR198C	YDR392W
YBR198C	YDR448W
YBR198C	YER155C
YBR198C	YGR274C
YBR198C	YJR090C
YBR198C	YLR055C
YBR198C	YML098W
YBR198C	YMR005W
YBR198C	YMR236W
YBR198C	YPL137C
YBR198C	YPL254W
YBR208C	YDR224C
YBR218C	YDR171W
YBR218C	YGL062W
YBR218C	YJL092W
YBR218C	YLR429W
YBR218C	YNL079C
YBR221C	YLR418C
YBR221C	YNL071W
YBR221C	YPR103W
YBR223C	YGL082W
YBR223C	YLR429W
YBR227C	YDR211W
YBR228W	YLR028C
YBR229C	YDR221W
YBR229C	YLR150W
YBR229C	YML056C
YBR234C	YDL029W
YBR234C	YDR127W
YBR234C	YGR149W
YBR234C	YIL062C
YBR234C	YLR429W
YBR234C	YNR035C
YBR234C	YOR269W
YBR235W	YDR221W
YBR237W	YDR152W
YBR238C	YLR435W
YBR245C	YDL147W
YBR245C	YDR121W
YBR245C	YFR004W
YBR245C	YGL133W
YBR245C	YGL224C
YBR245C	YHR084W
YBR245C	YLR095C
YBR245C	YLR424W
YBR245C	YMR044W
YBR245C	YMR321C
YBR245C	YNL041C
YBR245C	YNL059C
YBR245C	YOL006C
YBR245C	YOR304W
YBR245C	YPR052C
YBR247C	YDR319C
YBR247C	YDR381W
YBR247C	YKL109W
YBR247C	YKL143W
YBR247C	YLR405W
YBR247C	YMR210W
YBR247C	YNL055C
YBR249C	YDR035W
YBR249C	YKL056C
YBR253W	YDR129C
YBR253W	YDR308C
YBR253W	YER022W
YBR253W	YGR104C
YBR253W	YHR058C
YBR253W	YHR202W
YBR253W	YLR150W
YBR253W	YNL236W
YBR253W	YNR010W
YBR253W	YOL051W
YBR253W	YOR174W
YBR257W	YDR478W
YBR257W	YIR015W
YBR259W	YOL005C
YBR260C	YGR196C
YBR260C	YLL005C
YBR270C	YDR074W
YBR276C	YML062C
YBR280C	YDR054C
YBR283C	YDL095W
YBR283C	YJL138C
YBR288C	YGR261C
YBR291C	YJR010C-A
YBR291C	YLR435W
YBR296C	YDR054C
YBR296C	YGL105W
YCL014W	YDL105W
YCL014W	YDR087C
YCL014W	YDR099W
YCL014W	YDR243C
YCL014W	YDR288W
YCL014W	YEL023C
YCL014W	YEL026W
YCL014W	YFR053C
YCL014W	YGL245W
YCL014W	YJL052W
YCL014W	YKR048C
YCL014W	YML010W
YCL014W	YMR186W
YCL014W	YPR161C
YCL016C	YHR191C
YCL016C	YMR078C
YCL017C	YKL130C
YCL017C	YKR064W
YCL024W	YFR037C
YCL024W	YJL138C
YCL024W	YKR048C
YCL024W	YMR132C
YCL024W	YNL088W
YCL024W	YOL097C
YCL031C	YDR341C
YCL031C	YGR103W
YCL031C	YJL109C
YCL031C	YLR150W
YCL031C	YLR418C
YCL031C	YMR229C
YCL031C	YNL186W
YCL038C	YOR123C
YCL043C	YER155C
YCL043C	YHR204W
YCL054W	YDL105W
YCL054W	YDR288W
YCL054W	YJL109C
YCL054W	YKL160W
YCL054W	YPR161C
YCL057W	YNL307C
YCL057W	YPR002W
YCL059C	YDL112W
YCL059C	YDL208W
YCL059C	YGL078C
YCL063W	YDR499W
YCR020C-A	YEL053C
YCR020C-A	YJL197W
YCR020W-B	YDL147W
YCR020W-B	YFR037C
YCR020W-B	YGL207W
YCR020W-B	YIL033C
YCR020W-B	YIL126W
YCR020W-B	YKL091C
YCR020W-B	YKR008W
YCR020W-B	YLR033W
YCR020W-B	YOL070C
YCR024C	YDR054C
YCR026C	YDR054C
YCR030C	YDR074W
YCR030C	YFL010C
YCR030C	YJR082C
YCR030C	YOL077C
YCR032W	YDL147W
YCR033W	YKR029C
YCR035C	YDL111C
YCR035C	YER131W
YCR035C	YGR195W
YCR035C	YHR069C
YCR035C	YJL050W
YCR035C	YKL129C
YCR035C	YLR398C
YCR035C	YMR229C
YCR035C	YOL142W
YCR035C	YOR076C
YCR042C	YDR324C
YCR042C	YGL058W
YCR042C	YNL138W
YCR042C	YOL078W
YCR042C	YPR065W
YCR053W	YDR011W
YCR053W	YHR183W
YCR053W	YLL034C
YCR053W	YML126C
YCR053W	YOR209C
YCR065W	YCR105W
YCR065W	YJR102C
YCR065W	YPL002C
YCR072C	YDR324C
YCR072C	YNL186W
YCR073W-A	YER064C
YCR073W-A	YER133W
YCR073W-A	YLR257W
YCR073W-A	YNR034W
YCR076C	YPR103W
YCR079W	YDR087C
YCR079W	YGL070C
YCR079W	YOL005C
YCR079W	YOR323C
YCR082W	YDR448W
YCR082W	YGL207W
YCR086W	YDR439W
YCR086W	YGR126W
YCR093W	YDR127W
YCR093W	YDR427W
YCR093W	YOL100W
YCR093W	YOR209C
YCR105W	YDR221W
YDL014W	YDL112W
YDL014W	YDL134C
YDL014W	YDL208W
YDL014W	YDR117C
YDL014W	YDR207C
YDL014W	YDR440W
YDL014W	YDR449C
YDL014W	YDR496C
YDL014W	YDR507C
YDL014W	YEL054C
YDL014W	YER105C
YDL014W	YER131W
YDL014W	YER147C
YDL014W	YER162C
YDL014W	YER164W
YDL014W	YGL049C
YDL014W	YGL078C
YDL014W	YGL167C
YDL014W	YGL213C
YDL014W	YGR103W
YDL014W	YGR162W
YDL014W	YHL034C
YDL014W	YHR052W
YDL014W	YIL043C
YDL014W	YIL126W
YDL014W	YIR001C
YDL014W	YJL050W
YDL014W	YJL095W
YDL014W	YJR010C-A
YDL014W	YJR084W
YDL014W	YKL023W
YDL014W	YKL052C
YDL014W	YKR092C
YDL014W	YLR197W
YDL014W	YLR369W
YDL014W	YLR398C
YDL014W	YLR429W
YDL014W	YLR455W
YDL014W	YML112W
YDL014W	YMR049C
YDL014W	YMR075W
YDL014W	YMR229C
YDL014W	YNL023C
YDL014W	YNL248C
YDL014W	YNR038W
YDL014W	YOL004W
YDL014W	YOL076W
YDL014W	YOL144W
YDL014W	YOR078W
YDL014W	YOR272W
YDL014W	YOR381W
YDL014W	YPL066W
YDL014W	YPL220W
YDL014W	YPR046W
YDL014W	YPR086W
YDL014W	YPR161C
YDL019C	YDR129C
YDL019C	YDR381W
YDL019C	YER162C
YDL019C	YGL137W
YDL019C	YGL216W
YDL019C	YJL207C
YDL019C	YJR126C
YDL019C	YLR386W
YDL019C	YLR407W
YDL019C	YOL077C
YDL019C	YOR172W
YDL019C	YPL146C
YDL025C	YMR186W
YDL029W	YMR229C
YDL030W	YDL043C
YDL030W	YDR482C
YDL030W	YFR052W
YDL030W	YGR104C
YDL030W	YLR147C
YDL038C	YDR478W
YDL038C	YGR104C
YDL042C	YJL076W
YDL042C	YKR025W
YDL042C	YMR229C
YDL042C	YNL113W
YDL042C	YNL151C
YDL042C	YOR116C
YDL042C	YOR124C
YDL042C	YOR210W
YDL043C	YDR381W
YDL043C	YDR482C
YDL043C	YGL174W
YDL043C	YGR024C
YDL043C	YHR165C
YDL043C	YJR050W
YDL043C	YLR117C
YDL043C	YLR147C
YDL043C	YLR150W
YDL043C	YLR275W
YDL043C	YMR237W
YDL043C	YMR288W
YDL043C	YPL242C
YDL043C	YPR052C
YDL048C	YMR186W
YDL051W	YDL092W
YDL051W	YKL122C
YDL051W	YMR180C
YDL054C	YOR315W
YDL066W	YMR173W
YDL073W	YDR516C
YDL073W	YER018C
YDL074C	YER164W
YDL074C	YFR024C-A
YDL074C	YGL058W
YDL074C	YGR184C
YDL074C	YHR001W
YDL074C	YOR362C
YDL074C	YPR080W
YDL081C	YJR010C-A
YDL081C	YNR053C
YDL087C	YGL238W
YDL087C	YIL061C
YDL087C	YLR147C
YDL087C	YLR275W
YDL087C	YML046W
YDL087C	YOR159C
YDL092W	YDR381W
YDL092W	YKL122C
YDL092W	YKR048C
YDL092W	YLR398C
YDL092W	YPL210C
YDL092W	YPR088C
YDL093W	YDR139C
YDL095W	YDL143W
YDL095W	YDR129C
YDL095W	YDR272W
YDL095W	YEL002C
YDL095W	YER120W
YDL095W	YFR053C
YDL095W	YGL245W
YDL095W	YGR080W
YDL095W	YGR266W
YDL095W	YHR023W
YDL095W	YJL041W
YDL095W	YLR150W
YDL095W	YLR429W
YDL095W	YNL055C
YDL095W	YNL138W
YDL095W	YOR093C
YDL095W	YPL004C
YDL098C	YFL017W-A
YDL098C	YGR075C
YDL100C	YDR451C
YDL100C	YER162C
YDL100C	YGL020C
YDL100C	YGL150C
YDL100C	YJL050W
YDL100C	YJR140C
YDL100C	YKR031C
YDL103C	YGL245W
YDL103C	YPR133C
YDL105W	YDL115C
YDL105W	YDR288W
YDL105W	YDR341C
YDL105W	YDR507C
YDL105W	YEL019C
YDL105W	YFR053C
YDL105W	YGR237C
YDL105W	YKR048C
YDL105W	YLR197W
YDL105W	YLR314C
YDL105W	YPL146C
YDL105W	YPR169W
YDL108W	YLR005W
YDL108W	YPR056W
YDL109C	YER164W
YDL109C	YOL045W
YDL111C	YHR069C
YDL111C	YNR024W
YDL111C	YOR076C
YDL112W	YDR496C
YDL112W	YGR103W
YDL112W	YPL220W
YDL115C	YDL140C
YDL115C	YDR288W
YDL115C	YGL070C
YDL115C	YGL150C
YDL115C	YJL140W
YDL115C	YML010W
YDL115C	YNL127W
YDL115C	YOL005C
YDL115C	YOR210W
YDL121C	YDR510W
YDL121C	YKL088W
YDL130W-A	YDL181W
YDL134C	YEL030W
YDL134C	YER126C
YDL134C	YFR004W
YDL134C	YGL190C
YDL134C	YLR106C
YDL134C	YLR429W
YDL134C	YML109W
YDL134C	YMR186W
YDL134C	YMR273C
YDL134C	YOL098C
YDL134C	YOR198C
YDL134C	YOR353C
YDL134C	YOR386W
YDL134C	YPL004C
YDL134C	YPL146C
YDL134C	YPL242C
YDL138W	YDR172W
YDL140C	YDR463W
YDL140C	YER155C
YDL140C	YGL070C
YDL140C	YJL140W
YDL140C	YML010W
YDL140C	YOL005C
YDL140C	YOR210W
YDL141W	YDR087C
YDL141W	YEL026W
YDL141W	YOR124C
YDL143W	YDR087C
YDL143W	YDR188W
YDL143W	YER155C
YDL143W	YGL121C
YDL143W	YLR429W
YDL143W	YOL004W
YDL143W	YPL004C
YDL147W	YDL215C
YDL147W	YDR055W
YDL147W	YDR093W
YDL147W	YDR320C
YDL147W	YDR427W
YDL147W	YFR004W
YDL147W	YFR010W
YDL147W	YFR052W
YDL147W	YGL233W
YDL147W	YHR102W
YDL147W	YIL071C
YDL147W	YIL099W
YDL147W	YJL070C
YDL147W	YJL080C
YDL147W	YKL145W
YDL147W	YKR008W
YDL147W	YLL058W
YDL147W	YMR191W
YDL147W	YOL117W
YDL147W	YOR209C
YDL147W	YOR259C
YDL147W	YPL242C
YDL147W	YPR003C
YDL147W	YPR108W
YDL150W	YDR045C
YDL150W	YKR025W
YDL150W	YNL113W
YDL150W	YNL151C
YDL150W	YNR003C
YDL150W	YOR116C
YDL150W	YOR210W
YDL150W	YPR190C
YDL155W	YEL023C
YDL155W	YGR094W
YDL155W	YLR079W
YDL155W	YNL233W
YDL173W	YNL186W
YDL181W	YOR159C
YDL185W	YEL023C
YDL185W	YEL051W
YDL185W	YGR020C
YDL185W	YLR090W
YDL185W	YMR186W
YDL185W	YOL133W
YDL185W	YPL004C
YDL185W	YPR036W
YDL188C	YGL190C
YDL188C	YKL028W
YDL188C	YKR062W
YDL188C	YMR273C
YDL190C	YGR116W
YDL190C	YIL129C
YDL190C	YNL186W
YDL190C	YPL270W
YDL193W	YDR392W
YDL194W	YML062C
YDL195W	YER022W
YDL195W	YLR208W
YDL197C	YLR442C
YDL206W	YGL207W
YDL208W	YGL078C
YDL208W	YGR103W
YDL208W	YLR150W
YDL208W	YMR049C
YDL208W	YOL008W
YDL210W	YGR198W
YDL215C	YDR054C
YDL215C	YDR138W
YDL215C	YDR171W
YDL215C	YDR254W
YDL215C	YFR031C
YDL215C	YGR104C
YDL215C	YIL156W
YDL215C	YLR258W
YDL215C	YLR347C
YDL215C	YML126C
YDL215C	YMR108W
YDL215C	YMR186W
YDL215C	YMR237W
YDL215C	YMR284W
YDL215C	YOL126C
YDL215C	YOR303W
YDL215C	YOR308C
YDL215C	YOR361C
YDL215C	YPR103W
YDL240W	YDR036C
YDL240W	YDR087C
YDL240W	YOL041C
YDL240W	YPL004C
YDR004W	YGL207W
YDR005C	YKR025W
YDR005C	YNL151C
YDR009W	YFR031C
YDR017C	YDR099W
YDR017C	YER177W
YDR017C	YHR102W
YDR017C	YLR429W
YDR017C	YMR308C
YDR017C	YNL267W
YDR022C	YOR361C
YDR022C	YPL166W
YDR026C	YNL045W
YDR026C	YNL113W
YDR026C	YNL248C
YDR027C	YDR484W
YDR032C	YLR429W
YDR032C	YNL186W
YDR035W	YPR080W
YDR036C	YDR303C
YDR036C	YDR484W
YDR036C	YGL060W
YDR036C	YPL137C
YDR053W	YMR108W
YDR054C	YDR099W
YDR054C	YDR139C
YDR054C	YDR223W
YDR054C	YDR306C
YDR054C	YDR452W
YDR054C	YER053C
YDR054C	YER086W
YDR054C	YFL029C
YDR054C	YGL205W
YDR054C	YHR138C
YDR054C	YIL046W
YDR054C	YJL068C
YDR054C	YJL080C
YDR054C	YJR090C
YDR054C	YJR107W
YDR054C	YJR126C
YDR054C	YKL091C
YDR054C	YKL098W
YDR054C	YKR009C
YDR054C	YLR005W
YDR054C	YLR418C
YDR054C	YMR140W
YDR054C	YOL097C
YDR054C	YOL133W
YDR054C	YOR138C
YDR054C	YOR210W
YDR054C	YOR279C
YDR054C	YOR355W
YDR054C	YPR036W
YDR054C	YPR138C
YDR054C	YPR164W
YDR069C	YDR207C
YDR069C	YEL041W
YDR069C	YJR001W
YDR069C	YKL028W
YDR069C	YOR177C
YDR071C	YNL039W
YDR071C	YPR052C
YDR074W	YKR001C
YDR074W	YKR042W
YDR074W	YKR056W
YDR074W	YLL002W
YDR074W	YLL043W
YDR074W	YLR347C
YDR074W	YMR261C
YDR074W	YOR074C
YDR075W	YJL138C
YDR075W	YML010W
YDR087C	YDR153C
YDR087C	YER105C
YDR087C	YER131W
YDR087C	YER147C
YDR087C	YER162C
YDR087C	YFR010W
YDR087C	YFR021W
YDR087C	YGL087C
YDR087C	YGR068C
YDR087C	YGR237C
YDR087C	YIL017C
YDR087C	YIL063C
YDR087C	YJR032W
YDR087C	YKL028W
YDR087C	YKL160W
YDR087C	YKR029C
YDR087C	YLL002W
YDR087C	YLR371W
YDR087C	YLR429W
YDR087C	YMR049C
YDR087C	YMR110C
YDR087C	YNL277W
YDR087C	YNR033W
YDR087C	YOL045W
YDR087C	YOL077C
YDR087C	YPL170W
YDR087C	YPR089W
YDR092W	YDR156W
YDR092W	YGL087C
YDR092W	YMR140W
YDR093W	YFR010W
YDR093W	YJL138C
YDR099W	YDR294C
YDR099W	YDR304C
YDR099W	YDR348C
YDR099W	YDR381W
YDR099W	YDR490C
YDR099W	YDR505C
YDR099W	YEL023C
YDR099W	YER027C
YDR099W	YER053C
YDR099W	YER086W
YDR099W	YER105C
YDR099W	YER133W
YDR099W	YER177W
YDR099W	YFL049W
YDR099W	YFL052W
YDR099W	YFR017C
YDR099W	YGL058W
YDR099W	YGR097W
YDR099W	YGR191W
YDR099W	YGR225W
YDR099W	YHR161C
YDR099W	YIL095W
YDR099W	YIR003W
YDR099W	YJL084C
YDR099W	YJL093C
YDR099W	YLR176C
YDR099W	YLR231C
YDR099W	YLR345W
YDR099W	YLR347C
YDR099W	YML006C
YDR099W	YMR037C
YDR099W	YMR186W
YDR099W	YMR224C
YDR099W	YMR288W
YDR099W	YMR291W
YDR099W	YNL267W
YDR099W	YNR014W
YDR099W	YNR034W
YDR099W	YOR159C
YDR099W	YOR267C
YDR099W	YPL074W
YDR099W	YPL260W
YDR099W	YPR089W
YDR099W	YPR171W
YDR104C	YNR038W
YDR105C	YEL056W
YDR107C	YGR104C
YDR110W	YDR381W
YDR117C	YPR161C
YDR121W	YLR371W
YDR121W	YOR355W
YDR121W	YPR161C
YDR124W	YHR155W
YDR124W	YIL043C
YDR124W	YPL118W
YDR127W	YGR009C
YDR127W	YLR386W
YDR127W	YMR186W
YDR128W	YDR311W
YDR128W	YOR093C
YDR129C	YER105C
YDR129C	YFR010W
YDR129C	YFR024C-A
YDR129C	YIL129C
YDR129C	YJL092W
YDR129C	YJL093C
YDR129C	YJL138C
YDR129C	YLR142W
YDR129C	YLR310C
YDR129C	YLR330W
YDR129C	YLR347C
YDR129C	YMR104C
YDR129C	YMR125W
YDR129C	YMR229C
YDR129C	YOL098C
YDR129C	YPL012W
YDR132C	YNL287W
YDR137W	YNL307C
YDR137W	YPR080W
YDR138W	YDR381W
YDR138W	YHR167W
YDR138W	YJR032W
YDR138W	YML062C
YDR138W	YOR191W
YDR139C	YNL281W
YDR139C	YOR100C
YDR141C	YGL245W
YDR141C	YJR104C
YDR141C	YML010W
YDR141C	YNL297C
YDR141C	YNR038W
YDR152W	YFR002W
YDR152W	YGR173W
YDR152W	YIL030C
YDR152W	YIL152W
YDR152W	YKL052C
YDR153C	YDR381W
YDR153C	YGL213C
YDR153C	YKL023W
YDR153C	YKR048C
YDR153C	YLR398C
YDR153C	YOL041C
YDR153C	YOR361C
YDR153C	YPL146C
YDR156W	YER070W
YDR156W	YFR037C
YDR156W	YJL138C
YDR156W	YNL113W
YDR156W	YNL186W
YDR156W	YNL248C
YDR156W	YOR210W
YDR156W	YOR340C
YDR156W	YOR341W
YDR162C	YHL007C
YDR164C	YLR208W
YDR167W	YDR448W
YDR167W	YGR274C
YDR167W	YML098W
YDR167W	YMR005W
YDR167W	YPL254W
YDR168W	YDR463W
YDR168W	YHL025W
YDR168W	YHR052W
YDR168W	YHR107C
YDR168W	YKL038W
YDR168W	YMR186W
YDR168W	YNL243W
YDR169C	YMR186W
