YHR047C	YLR148W
YKL022C	YDR369C
YAL041W	YLR206W
YAL041W	YGL233W
YAL041W	YNL007C
YAL041W	YGL052W
YAL041W	YGR268C
YAL041W	YMR298W
YFR036W	YBL084C
YFR036W	YLL051C
YFR036W	YJR091C
YDL165W	YER068W
YDL165W	YPL042C
YDL165W	YNL025C
YLR314C	YCL024W
YLR314C	YDR409W
YLR314C	YLR254C
YLR274W	YBR202W
YLR274W	YBL023C
YBR202W	YGL001C
YDL126C	YDR028C
YDL126C	YBL058W
YDL126C	YGR048W
YCR094W	YJR091C
YDL132W	YLR100W
YDL132W	YLR134W
YDL132W	YNL055C
YDL132W	YEL060C
YDL132W	YDL006W
YDL132W	YLR079W
YDL132W	YDR306C
YDL132W	YLR128W
YDL132W	YLR352W
YGL190C	YJR138W
YGL190C	YMR109W
YGL190C	YDL188C
YGL190C	YAL016W
YGL190C	YNL154C
YGL190C	YHR033W
YGL190C	YDR381W
YGL190C	YMR273C
YBR029C	YCR061W
YGL130W	YOL145C
YGL130W	YGL207W
YGL130W	YER103W
YLR115W	YJR093C
YLR115W	YJL033W
YLR115W	YKR002W
YLR115W	YNL317W
YLR115W	YAL043C
YLR115W	YGR156W
YLR115W	YHL035C
YLR098C	YDL076C
YGL206C	YGR167W
YGL206C	YHR108W
YGL206C	YOR181W
YBR274W	YKL104C
YBR274W	YMR255W
YBR274W	YJL124C
YBR274W	YDR113C
YBR274W	YJL036W
YBR274W	YLR152C
YER026C	YMR215W
YER026C	YMR153W
YER026C	YLR292C
YER026C	YJR010C-A
YER026C	YDR307W
YER026C	YHL042W
YER026C	YHR140W
YNL192W	YHR082C
YNL192W	YHR048W
YJL099W	YPL242C
YJL099W	YJR091C
YJL099W	YDR079W
YDR022C	YGL237C
YDR022C	YLR288C
YNR001C	YKL085W
YIL035C	YOL145C
YIL035C	YPL037C
YIL035C	YMR172W
YIL035C	YDR225W
YIL035C	YBL002W
YIL035C	YNL132W
YIL035C	YER006W
YIL035C	YCL043C
YIL035C	YNL262W
YIL035C	YIL118W
YIL035C	YDL195W
YIL035C	YLR403W
YIL035C	YOL004W
YIL035C	YGL115W
YIL035C	YGL207W
YIL035C	YER161C
YIL035C	YJL069C
YIL035C	YGR090W
YIL035C	YOR229W
YIL035C	YER084W
YIL035C	YHL035C
YIL035C	YPL110C
YIL035C	YDR381W
YBR135W	YGR108W
YBR135W	YLR210W
YBR135W	YMR199W
YBR135W	YBR252W
YBR135W	YBR295W
YBR135W	YLR079W
YBR135W	YKR091W
YBR135W	YAR027W
YBR135W	YPL014W
YLR210W	YER093C
YLR210W	YGR205W
YLR117C	YLL036C
YLR117C	YAL032C
YLR117C	YHR165C
YLR117C	YML049C
YLR117C	YGR129W
YMR199W	YPL049C
YMR199W	YJR091C
YMR199W	YMR105C
YLR433C	YKL190W
YLR433C	YNL027W
YLR433C	YLR453C
YLR433C	YDL186W
YLR433C	YGR263C
YLR433C	YNL047C
YLR433C	YOR324C
YKL190W	YMR211W
YLL050C	YJL005W
YLL050C	YOR181W
YLL050C	YLR059C
YLL050C	YLR453C
YLL050C	YML064C
YNL041C	YGL172W
YNL041C	YDR115W
YNL041C	YDR229W
YDL145C	YNL258C
YDL145C	YCR012W
YDL145C	YEL060C
YDL145C	YBL056W
YDL145C	YFR051C
YDL145C	YNL287W
YDL145C	YLR268W
YDL145C	YDR238C
YDL145C	YKL211C
YDL145C	YGL081W
YDL145C	YOL087C
YDL145C	YPL222W
YML110C	YGL115W
YBL045C	YMR036C
YBL045C	YMR047C
YBL045C	YDL179W
YBL045C	YPR191W
YBL045C	YML064C
YBR302C	YHR026W
YBR302C	YPL105C
YBR302C	YPR063C
YGR295C	YML048W
YGR295C	YDL128W
YPL132W	YDR178W
YHR057C	YJR091C
YHR057C	YKL023W
YOR100C	YBR195C
YNL027W	YER120W
YNL027W	YHR207C
YGL238W	YDR170C
YGL238W	YNL236W
YNL232W	YDL111C
YNL232W	YOR076C
YLR394W	YER095W
YLR394W	YDR004W
YPL018W	YCL039W
YLR381W	YAR035W
YHR191C	YNL290W
YPL181W	YBR112C
YPL181W	YDL076C
YPL181W	YOL004W
YPL181W	YPL139C
YMR180C	YNL154C
YHR175W	YLR288C
YCR054C	YMR032W
YCR054C	YDL097C
YOL145C	YJR138W
YOL145C	YJR091C
YOL145C	YBR279W
YOL145C	YKL145W
YOL145C	YGL207W
YDR371W	YIR038C
YOR042W	YFR024C-A
YGL166W	YKR011C
YGL166W	YOR220W
YPL177C	YGR184C
YJR048W	YLR288C
YBR112C	YGL035C
YBR112C	YCR084C
YDR430C	YNL071W
YDR430C	YER178W
YDR430C	YGR193C
YJL005W	YGR092W
YJL005W	YBL038W
YJL005W	YNL098C
YJL005W	YJL026W
YOR065W	YOL073C
YDR016C	YGR113W
YGR113W	YPR046W
YGR113W	YBR156C
YGR113W	YPR045C
YLR037C	YJR091C
YGR092W	YOR117W
YGR092W	YPL042C
YGR092W	YKL061W
YDR052C	YOR178C
YDR052C	YBL023C
YHR169W	YMR105C
YHR169W	YJL026W
YHR169W	YHR027C
YHR169W	YDR238C
YOR180C	YLR284C
YOR180C	YDL116W
YOR180C	YGR263C
YLR270W	YLR081W
YLR270W	YDR001C
YLR270W	YJL141C
YOR173W	YJL141C
YPL194W	YLR288C
YOR245C	YGL053W
YDL160C	YJL124C
YDL160C	YER125W
YDL160C	YDR170C
YDL024C	YEL017W
YPR082C	YKR086W
YPR082C	YPR182W
YPL049C	YML064C
YJL065C	YNR029C
YER179W	YNL055C
YER179W	YBR073W
YER179W	YOR191W
YER179W	YPR102C
YER179W	YML064C
YER179W	YKL211C
YDR069C	YBL064C
YDR069C	YAR003W
YDR068W	YER103W
YIL010W	YGL181W
YIL010W	YLR288C
YER088C	YDL076C
YPR175W	YBR278W
YPR175W	YBL002W
YPR175W	YNL262W
YBR278W	YJR091C
YBR278W	YNL262W
YDR284C	YBR298C
YDR284C	YPL147W
YDR284C	YKR088C
YOR264W	YFL013C
YOR264W	YBR193C
YOR264W	YHR067W
YOR264W	YDR115W
YOR264W	YIL060W
YOR264W	YJL055W
YOR264W	YJL215C
YOR264W	YLR334C
YOR264W	YOR324C
YMR276W	YHR027C
YMR276W	YIL075C
YMR276W	YDR427W
YMR276W	YOR117W
YMR276W	YDL190C
YNL258C	YFR051C
YPR017C	YJL122W
YPR017C	YFL038C
YDL101C	YBR035C
YDL101C	YMR105C
YDL101C	YER125W
YDL101C	YML058W
YDL101C	YLR234W
YDL101C	YHR135C
YDL101C	YDR051C
YDL101C	YFL030W
YDL101C	YMR226C
YBR252W	YPL070W
YBR252W	YML064C
YBR252W	YLL037W
YKR054C	YHR158C
YKR054C	YMR117C
YKR054C	YER018C
YPR023C	YDL138W
YPR023C	YOL004W
YKL204W	YNL154C
YDR206W	YER027C
YLR284C	YPL070W
YLR284C	YML064C
YEL030W	YNL230C
YEL030W	YJR035W
YEL030W	YML058W
YEL030W	YCR084C
YBL001C	YER067W
YBL001C	YPL068C
YHL030W	YNL132W
YHL030W	YBL056W
YHL030W	YFR004W
YHL030W	YDL097C
YHL030W	YKL145W
YBR176W	YPL070W
YBR176W	YML064C
YGL222C	YJR091C
YBL047C	YDR192C
YBL047C	YOL087C
YNL230C	YPL001W
YNL230C	YLR432W
YNL230C	YML056C
YNL230C	YJR091C
YNL230C	YNL132W
YNL230C	YOR017W
YNL230C	YGR086C
YNL230C	YKR081C
YNL230C	YGR090W
YNL230C	YJL141C
YNL230C	YER077C
YNL230C	YDR381W
YJL196C	YHR110W
YJL196C	YMR215W
YJL196C	YGL053W
YJL196C	YJR010C-A
YJL196C	YDR307W
YJL196C	YKL065C
YJL196C	YHR140W
YDR516C	YCL040W
YDR516C	YJR091C
YGL200C	YOR016C
YGL200C	YHR110W
YGL200C	YMR215W
YGL200C	YML048W
YGL200C	YPR194C
YGL200C	YDL232W
YGL200C	YPL218W
YGL200C	YPR181C
YGL200C	YDL195W
YGL200C	YLR378C
YGL200C	YBR069C
YGL200C	YDL210W
YGL200C	YDR107C
YGL200C	YKL065C
YGL200C	YHR140W
YLR080W	YKR088C
YLR080W	YOL131W
YDL161W	YOR181W
YDL161W	YIR006C
YDL161W	YOR111W
YJR125C	YOR111W
YDR414C	YCR024C-A
YDR414C	YJL004C
YDR414C	YHL042W
YDR414C	YLL023C
YDR414C	YLL056C
YDR414C	YML038C
YDR414C	YMR155W
YDR414C	YOL075C
YDR414C	YGL259W
YML126C	YJR091C
YML126C	YDL188C
YGR175C	YDR086C
YJL167W	YJR035W
YJL167W	YDR369C
YJL167W	YDL186W
YML008C	YLR292C
YML008C	YJR010C-A
YML008C	YCL023C
YML008C	YDL089W
YOR016C	YHR110W
YOR016C	YMR215W
YOR016C	YOR211C
YOR016C	YHR026W
YOR016C	YPR198W
YOR016C	YJR010C-A
YOR016C	YBR069C
YOR016C	YPR156C
YOR016C	YDR307W
YOR016C	YHL042W
YOR016C	YHR133C
YOR016C	YHR140W
YOR016C	YJR015W
YHR110W	YML048W
YHR110W	YHL003C
YHR110W	YAR031W
YHR110W	YBR069C
YHR110W	YKL065C
YCR075C	YDR456W
YGR098C	YGR163W
YGR098C	YDR113C
YLR233C	YNL132W
YLR233C	YCL043C
YLR233C	YKR081C
YLR233C	YLR006C
YLR233C	YER077C
YLR233C	YML038C
YBR102C	YHR165C
YBR102C	YGL233W
YBR102C	YER008C
YBR102C	YDR166C
YER015W	YDR146C
YCR028C	YJL004C
YCR028C	YNR065C
YDR130C	YER032W
YJR093C	YJL033W
YJR093C	YKR002W
YJR093C	YNL317W
YJR093C	YAL043C
YJR093C	YGR156W
YJR093C	YLR221C
YJR093C	YCL032W
YJR093C	YML030W
YJR093C	YNL092W
YER032W	YDR259C
YER032W	YLR456W
YIL065C	YJR091C
YIL065C	YJL112W
YIL065C	YLR292C
YDR534C	YPR191W
YNL135C	YDR174W
YNL135C	YIL149C
YNL135C	YLR005W
YNL135C	YKL203C
YNL135C	YMR315W
YNR060W	YLR241W
YOL152W	YPR086W
YOL152W	YFL049W
YBR207W	YER021W
YBR207W	YOR068C
YAL022C	YDR497C
YAL022C	YHR140W
YIL097W	YCL039W
YIL097W	YOR117W
YBR020W	YML051W
YLR081W	YOR181W
YDR009W	YML051W
YPL248C	YML051W
YPL248C	YDR296W
YPL248C	YOR259C
YPL248C	YGL048C
YPL248C	YGR104C
YPL248C	YPL042C
YPL248C	YPR086W
YBR018C	YHR030C
YER027C	YGL208W
YER027C	YJL089W
YER027C	YDR477W
YER027C	YGL115W
YMR215W	YML048W
YMR215W	YIL114C
YMR215W	YPR156C
YMR215W	YKL065C
YMR215W	YGL198W
YMR215W	YHR133C
YMR215W	YHR140W
YMR215W	YJL091C
YMR215W	YLL023C
YCL011C	YDR138W
YCL011C	YLR432W
YCL011C	YDL213C
YCL011C	YDL084W
YCL011C	YNL253W
YCL011C	YDR381W
YDR283C	YPR178W
YDL226C	YJL151C
YDL226C	YOR327C
YDL226C	YGL198W
YDL226C	YKR088C
YDL215C	YLR432W
YOR355W	YNL091W
YOR355W	YNL236W
YOR355W	YNL154C
YOR355W	YHL046C
YJR040W	YAR027W
YJR040W	YBL086C
YKL104C	YER095W
YKL104C	YDR170C
YKL104C	YGL081W
YKL104C	YKL161C
YMR255W	YDL207W
YMR255W	YDR192C
YCL039W	YMR135C
YCL039W	YMR047C
YCL039W	YDR255C
YCL039W	YPL139C
YCL039W	YIL017C
YCL039W	YGL227W
YNL153C	YGR089W
YNL153C	YLR212C
YER054C	YKL085W
YLR094C	YMR047C
YLR094C	YLR453C
YDL207W	YDR192C
YER107C	YMR047C
YER107C	YDR192C
YJL137C	YFR015C
YDL171C	YBL023C
YDL171C	YMR117C
YDL171C	YPR086W
YFL017C	YOL059W
YOR320C	YJL124C
YER020W	YOR371C
YER020W	YAL056W
YER020W	YGL121C
YER020W	YNL037C
YER020W	YNL124W
YOR371C	YGL121C
YAL056W	YGL121C
YGL121C	YDL188C
YGR216C	YDR456W
YKL026C	YFL051C
YDR517W	YGL237C
YML048W	YIR038C
YML048W	YHR094C
YML048W	YMR011W
YML048W	YJL214W
YML048W	YBR298C
YML048W	YLR018C
YML048W	YPR198W
YML048W	YJR010C-A
YML048W	YBR069C
YML048W	YPR156C
YML048W	YDL210W
YML048W	YJL012C
YML048W	YJL222W
YML048W	YDR307W
YML048W	YHL042W
YML048W	YHR133C
YML048W	YHR140W
YML048W	YLL023C
YOR185C	YMR235C
YFR015C	YHR008C
YFR015C	YDR259C
YFR015C	YER077C
YFR015C	YGL081W
YGR163W	YGL207W
YGL181W	YBR138C
YGL181W	YAR018C
YGL181W	YIR006C
YGL181W	YIL122W
YGL181W	YBL007C
YGL181W	YER161C
YGL181W	YJL141C
YGL181W	YGR241C
YGL181W	YDR259C
YGL181W	YHR177W
YGL181W	YIL057C
YGL181W	YOR331C
YIR038C	YEL017W
YIR038C	YOL065C
YIR038C	YDL089W
YIR038C	YGR149W
YPL189W	YDR086C
YPL189W	YFL026W
YJL044C	YMR218C
YJL165C	YOL103W
YGL237C	YBR011C
YGL237C	YMR153W
YGL237C	YNR031C
YGL237C	YGR146C
YGL237C	YPR085C
YGL237C	YDR381W
YPL001W	YLL022C
YPL001W	YBL023C
YJL033W	YKR002W
YJL033W	YNL317W
YJL033W	YAL043C
YJL033W	YGR156W
YBL032W	YNL005C
YBL032W	YML117W
YBL032W	YMR125W
YDL013W	YJR091C
YDL013W	YJL124C
YDL013W	YER116C
YDL013W	YLR006C
YDL013W	YNR031C
YPL127C	YDR386W
YJR140C	YNL312W
YJR140C	YML058W
YLR450W	YLR207W
YLR450W	YMR022W
YLR450W	YOL113W
YCL066W	YBL002W
YCL066W	YJR091C
YCL066W	YLR288C
YCL066W	YLR378C
YDR174W	YDL213C
YDR174W	YML015C
YDR174W	YML064C
YDR174W	YAL027W
YBR034C	YGR165W
YDL125C	YJR091C
YDL125C	YER075C
YMR032W	YOR181W
YMR032W	YJL039C
YMR032W	YHL027W
YMR032W	YER144C
YMR032W	YLR337C
YMR032W	YGR250C
YMR032W	YOR324C
YLR113W	YMR172W
YLR113W	YER075C
YLR113W	YGL158W
YER062C	YML058W
YER062C	YPL201C
YGL194C	YOL068C
YGL194C	YMR273C
YDR138W	YBR279W
YDR138W	YEL060C
YDR138W	YNR031C
YDR138W	YDL084W
YOR267C	YGL115W
YOL123W	YMR047C
YOL123W	YCL032W
YOL123W	YDL060W
YLL026W	YMR047C
YLL026W	YGR119C
YLL026W	YGR205W
YLL026W	YKL215C
YOR020C	YLR259C
YOR020C	YNL173C
YOR020C	YMR047C
YOR020C	YBL056W
YOR020C	YML064C
YOR025W	YLR403W
YDR225W	YGL207W
YDR225W	YMR125W
YDR225W	YLR247C
YBL003C	YDL188C
YBL003C	YOL004W
YBL002W	YBR245C
YBL002W	YMR036C
YBL002W	YDL213C
YBL002W	YMR091C
YBL002W	YNL262W
YBL002W	YIL126W
YBL002W	YOL006C
YBL002W	YGR067C
YBL002W	YOL087C
YOL012C	YLR288C
YGL168W	YLR288C
YER039C	YOR297C
YFL011W	YMR004W
YFL011W	YJL222W
YHR094C	YJL012C
YHR094C	YKL065C
YDR343C	YOR181W
YDR343C	YER125W
YJL214W	YLR093C
YJL214W	YPR198W
YJL214W	YHR140W
YKL189W	YKL010C
YNL037C	YHR030C
YLR174W	YNR065C
YFL013C	YDL002C
YFL013C	YLR453C
YFL013C	YPR086W
YLR223C	YOR247W
YLR223C	YCL032W
YLR384C	YDR461W
YLR384C	YJL140W
YJL057C	YMR153W
YJL057C	YMR129W
YMR108W	YCL009C
YCL009C	YLR288C
YLR432W	YDL213C
YLR432W	YDR469W
YLR432W	YLR427W
YML056C	YBR088C
YML056C	YLR427W
YJR094C	YJL106W
YJL106W	YJR091C
YCR046C	YDL049C
YJR138W	YBL038W
YMR150C	YHR078W
YNL106C	YNL055C
YNL106C	YDL230W
YNL106C	YCL028W
YNL106C	YER104W
YNL106C	YBL007C
YOR109W	YJL124C
YOL065C	YMR153W
YOL065C	YJR010C-A
YBR011C	YMR267W
YBR011C	YLR371W
YBR011C	YHR030C
YBR011C	YLR425W
YBR011C	YPL066W
YDR072C	YDR107C
YPL242C	YKR086W
YPL242C	YML064C
YPL242C	YLR428C
YHR079C	YPR086W
YIL026C	YDR180W
YIL026C	YMR313C
YOR155C	YPL070W
YNL265C	YGR194C
YBR086C	YPR086W
YIR005W	YMR105C
YBR245C	YDL002C
YBR245C	YMR091C
YBR245C	YOL004W
YMR294W	YPR083W
YMR294W	YMR047C
YMR294W	YGL172W
YMR294W	YGR119C
YMR294W	YGR294W
YJR091C	YDR439W
YJR091C	YOR197W
YJR091C	YPL270W
YJR091C	YLR035C
YJR091C	YIR025W
YJR091C	YMR287C
YJR091C	YAL034W-A
YJR091C	YPL219W
YJR091C	YER178W
YJR091C	YNL214W
YJR091C	YDR313C
YJR091C	YHR026W
YJR091C	YAR031W
YJR091C	YPR178W
YJR091C	YDL230W
YJR091C	YOR265W
YJR091C	YLR059C
YJR091C	YJL140W
YJR091C	YNR037C
YJR091C	YER125W
YJR091C	YGL229C
YJR091C	YKL117W
YJR091C	YER019C-A
YJR091C	YLR292C
YJR091C	YML013W
YJR091C	YAR008W
YJR091C	YJR010C-A
YJR091C	YLR066W
YJR091C	YHR172W
YJR091C	YPL092W
YJR091C	YML015C
YJR091C	YBR067C
YJR091C	YMR197C
YJR091C	YAL066W
YJR091C	YGR241C
YJR091C	YBL059W
YJR091C	YBL089W
YJR091C	YBL094C
YJR091C	YCL063W
YJR091C	YCR041W
YJR091C	YDL046W
YJR091C	YDR010C
YJR091C	YDR031W
YJR091C	YDR438W
YJR091C	YDR526C
YJR091C	YDR527W
YJR091C	YGL198W
YJR091C	YGL217C
YJR091C	YGR018C
YJR091C	YGR042W
YJR091C	YGR064W
YJR091C	YGR182C
YJR091C	YGR263C
YJR091C	YGR294W
YJR091C	YIL060W
YJR091C	YIL096C
YJR091C	YIR003W
YJR091C	YJR038C
YJR091C	YKL111C
YJR091C	YKR040C
YJR091C	YKR087C
YJR091C	YKR105C
YJR091C	YLL065W
YJR091C	YLR156W
YJR091C	YLR283W
YJR091C	YLR324W
YJR091C	YLR392C
YJR091C	YMR160W
YJR091C	YMR253C
YJR091C	YMR278W
YJR091C	YNL092W
YJR091C	YNL144C
YJR091C	YNL171C
YJR091C	YNL176C
YJR091C	YNL266W
YJR091C	YMR104C
YJR091C	YPR096C
YJR091C	YPR148C
YPL125W	YMR047C
YPL125W	YGL172W
YPL125W	YGR119C
YPL125W	YDR502C
YPL125W	YER161C
YMR065W	YLR454W
YCL024W	YAL027W
YHR158C	YOR269W
YHR158C	YLR453C
YHR158C	YAL016W
YHR158C	YMR181C
YPL145C	YDL138W
YDR148C	YPL070W
YDR148C	YMR047C
YDR148C	YKL010C
YDR148C	YNL092W
YAR018C	YML064C
YAR018C	YGR285C
YDL049C	YBR226C
YNL132W	YDR386W
YNL132W	YDL213C
YNL132W	YNL287W
YNL132W	YJL069C
YNL132W	YGR090W
YNL132W	YLR427W
YHR082C	YAL016W
YHL003C	YMR047C
YHL003C	YJR010C-A
YHL003C	YMR298W
YNL239W	YML064C
YKL103C	YAL034W-A
YKL103C	YGR119C
YKL103C	YDR142C
YKL103C	YML064C
YOR181W	YGR136W
YOR181W	YFR024C-A
YOR181W	YCL034W
YOR181W	YKL129C
YOR181W	YAL029C
YOR181W	YMR109W
YOR181W	YHR027C
YOR181W	YER125W
YOR181W	YBL007C
YOR181W	YJL151C
YOR181W	YLR337C
YOR181W	YHR133C
YOR181W	YNR065C
YDR499W	YBR136W
YDR499W	YCL028W
YLR239C	YLR288C
YLR239C	YPL073C
YGR136W	YER125W
YGR136W	YBR108W
YGR136W	YIL108W
YFR024C-A	YMR302C
YFR024C-A	YBL007C
YFR024C-A	YLR422W
YCL034W	YBL007C
YJL124C	YOR147W
YJL124C	YCR024C-A
YJL124C	YEL060C
YJL124C	YPL152W
YJL124C	YBR214W
YJL124C	YGL207W
YJL124C	YPL016W
YJL124C	YIL042C
YJL124C	YDR002W
YBR298C	YKL065C
