YFL056C	YOL018C
YFL048C	YBR183W
YFL048C	YPR003C
YDR039C	YBR183W
YHR174W	YNL127W
YHR174W	YOL135C
YDL161W	YOR111W
YJR125C	YOR111W
YLR246W	YKL146W
YPL028W	YPL026C
YPL028W	YGR223C
YML008C	YJR010C-A
YML008C	YOR097C
YHR190W	YIR038C
YHR190W	YMR153W
YHR190W	YLR453C
YHR110W	YCR098C
YHR110W	YML048W
YHR110W	YAR031W
YHR110W	YBR069C
YHR110W	YKL065C
YCR075C	YDR456W
YML012W	YLR208W
YML012W	YPR181C
YML012W	YLR124W
YNL125C	YAR027W
YDR363W	YDR275W
YLR233C	YLR318W
YLR233C	YGR160W
YLR233C	YNL132W
YLR233C	YJL019W
YLR233C	YCL043C
YLR233C	YPL012W
YLR233C	YKL020C
YLR233C	YLR006C
YLR233C	YAL028W
YLR233C	YER077C
YBR102C	YIL068C
YBR102C	YML097C
YNL127W	YMR052W
YNL127W	YKR055W
YNL127W	YLR371W
YNL127W	YGL131C
YNL127W	YBR169C
YNL127W	YDR050C
YMR052W	YJR091C
YMR052W	YLR453C
YMR052W	YDL133W
YLR377C	YPL169C
YCR028C	YJL004C
YCR028C	YGL051W
YCR028C	YNR065C
YMR319C	YGR252W
YMR319C	YLR248W
YMR319C	YLR222C
YBR040W	YCL040W
YDR534C	YPR191W
YDR236C	YDR398W
YML074C	YPL204W
YLR449W	YJL023C
YLR449W	YLR453C
YLL043W	YPL192C
YLR214W	YAR027W
YLR214W	YFL040W
YLR214W	YKR104W
YOL152W	YPR086W
YCL026C-A	YPR086W
YCL026C-A	YLR177W
YHR049W	YJR091C
YAL036C	YGR250C
YAL036C	YNR022C
YNR002C	YOR130C
YIL097W	YCL039W
YPR136C	YDR034C
YGR196C	YGR253C
YDR140W	YAR003W
YGL254W	YGL154C
YGL254W	YGR047C
YOR178C	YHR005C
YBR018C	YPR054W
YMR307W	YPL204W
YOL030W	YJR055W
YOL030W	YAR027W
YCL011C	YDL213C
YCL011C	YDR120C
YCL011C	YDR381W
YGL195W	YOL133W
YGL195W	YNL132W
YGL195W	YDL052C
YGL195W	YER100W
YGL195W	YDL193W
YDR283C	YPR178W
YGR252W	YBR081C
YGR252W	YOR225W
YPR184W	YER054C
YPR184W	YFR017C
YOR375C	YJL124C
YJR040W	YAR027W
YJR040W	YBL086C
YKL104C	YDR311W
YKL104C	YGL081W
YKL104C	YKL161C
YCL036W	YDR388W
YDR309C	YCL032W
YDR309C	YMR273C
YCL039W	YMR135C
YCL039W	YDR342C
YCL039W	YDR255C
YCL039W	YDL185W
YCL039W	YPL139C
YCL039W	YBR105C
YCL039W	YGL227W
YMR135C	YPL153C
YNL153C	YLR212C
YNL153C	YDR207C
YDR507C	YOL069W
YDR507C	YMR139W
YDR507C	YAL027W
YER054C	YPR160W
YLR094C	YLR453C
YCR098C	YLR447C
YEL011W	YPR086W
YER040W	YDR477W
YER040W	YCL032W
YER040W	YJR066W
YER040W	YKL203C
YHR183W	YEL056W
YHR183W	YDL200C
YHR183W	YER161C
YHR005C	YER020W
YHR005C	YLR362W
YHR005C	YOR212W
YHR005C	YIL148W
YHR005C	YBR116C
YER020W	YAL056W
YER020W	YGL121C
YER020W	YDL035C
YER020W	YNL124W
YER020W	YPL036W
YAL056W	YGL121C
YGL121C	YDL200C
YGL121C	YDL188C
YPR160W	YPL204W
YPR160W	YDL043C
YPR160W	YAL017W
YPR160W	YML058W
YPR160W	YGL115W
YOL056W	YLR387C
YKL026C	YFL051C
YJR090C	YOL133W
YJR090C	YLR134W
YJR090C	YDR328C
YJR090C	YIL148W
YJR090C	YBR284W
YER174C	YGL220W
YML048W	YIR038C
YML048W	YBL021C
YML048W	YHR094C
YML048W	YMR011W
YML048W	YHR096C
YML048W	YJL214W
YML048W	YJL219W
YML048W	YBR298C
YML048W	YML123C
YML048W	YLR018C
YML048W	YJR010C-A
YML048W	YBR069C
YML048W	YLL028W
YML048W	YDL015C
YML048W	YDL210W
YML048W	YGL104C
YML048W	YEL002C
YML048W	YDR307W
YML048W	YBR183W
YOR185C	YOR171C
YOR185C	YJR074W
YOR185C	YMR235C
YOR185C	YDL193W
YFR015C	YHR008C
YFR015C	YER077C
YFR015C	YGL081W
YIR038C	YGR121C
YIR038C	YLR026C
YIR038C	YDR120C
YIR038C	YGR149W
YPL249C	YDR388W
YJL165C	YOL103W
YLR256W	YNL064C
YGL237C	YBL021C
YGL237C	YBR011C
YGL237C	YJR132W
YGL237C	YMR153W
YGL237C	YPR016C
YGL237C	YGR146C
YGL237C	YPR085C
YGL237C	YDR381W
YGL237C	YKL214C
YBL021C	YDL185W
YPL001W	YEL056W
YPL001W	YLL022C
YPL001W	YBR272C
YPL001W	YBL023C
YEL056W	YLL022C
YEL056W	YBR272C
YCR065W	YCR041W
YNL021W	YPR179C
YNL021W	YOL090W
YNL021W	YPR016C
YPR179C	YOL090W
YBL032W	YNL005C
YBL032W	YML117W
YBL032W	YMR125W
YBL032W	YFR012W
YBR010W	YDR225W
YBR010W	YKL103C
YBR010W	YDL200C
YBR010W	YDR477W
YLL022C	YBR272C
YOR038C	YDR225W
YOR038C	YOR290C
YOR202W	YPR016C
YCL030C	YML124C
YBR248C	YOL102C
YJR055W	YPL193W
YML075C	YHR079C
YML075C	YLL005C
YML075C	YGL104C
YML075C	YEL002C
YML075C	YOR102W
YOR032C	YIL108W
YBR034C	YJR022W
YDL125C	YJR091C
YGL194C	YBR103W
YGL194C	YMR273C
YPR193C	YPL070W
YPR193C	YCL032W
YJL092W	YIR009W
YJL092W	YPR181C
YJL092W	YFL045C
YOR267C	YGL115W
YOL123W	YMR061W
YOL123W	YCL032W
YOL123W	YDR350C
YPL204W	YDR342C
YPL204W	YEL034W
YPL204W	YBR011C
YPL204W	YGL197W
YPL204W	YHR185C
YPL204W	YGR086C
YPL204W	YBL056W
YPL204W	YLL013C
YPL204W	YML091C
YPL204W	YPR181C
YPL204W	YNL272C
YPL204W	YKL140W
YOL133W	YEL034W
YOL133W	YPR164W
YOL133W	YPL036W
YOL133W	YOR261C
YOL133W	YDR328C
YOL133W	YBR126C
YOL133W	YIL148W
YOL133W	YLL040C
YOL133W	YGL060W
YOL133W	YIL001W
YBR272C	YEL034W
YBR272C	YFR052W
YBR272C	YOR261C
YBR272C	YDL007W
YBR272C	YBL050W
YBR272C	YGL004C
YBR072W	YPL169C
YOR025W	YLR403W
YDR225W	YGR103W
YDR225W	YMR061W
YDR225W	YMR125W
YDR225W	YLR222C
YBL003C	YDL188C
YBL003C	YPL153C
YBL003C	YOL004W
YFL011W	YMR004W
YHR094C	YKL065C
YMR011W	YGL051W
YHR096C	YDL095W
YDR343C	YOL100W
YDR342C	YDR034C
YDR342C	YOL100W
YDR342C	YOR045W
YDR342C	YGL042C
YJL214W	YMR243C
YJL219W	YLR447C
YEL034W	YOL069W
YEL034W	YMR284W
YPR006C	YLR447C
YOR136W	YBL022C
YOR136W	YGL158W
YOR136W	YGL208W
YLR174W	YNR065C
YFL013C	YLR453C
YFL013C	YPR086W
YLR223C	YCL032W
YMR108W	YCL009C
YMR108W	YDL059C
YMR108W	YNL128W
YLR355C	YDR499W
YLR355C	YDR388W
YJR094C	YMR139W
YJR094C	YDR207C
YGL192W	YCL055W
YGL192W	YBR057C
YCR046C	YDL049C
YBR107C	YDR383C
YNL106C	YPR188C
YNL106C	YDL230W
YNL106C	YCL028W
YNL106C	YER104W
YNL106C	YBL007C
YNL106C	YGR234W
YOR109W	YJL124C
YBR011C	YPL153C
YBR011C	YLR371W
YBR011C	YLR425W
YOL081W	YGL087C
YOL081W	YMR139W
YHR079C	YPR086W
YOR155C	YPL070W
YNL265C	YGR194C
YBR086C	YPR086W
YKL217W	YIL166C
YNL227C	YJR022W
YNL227C	YNL093W
YMR294W	YOL069W
YMR294W	YGL172W
YMR294W	YGR119C
YMR294W	YDR311W
YMR294W	YGR294W
YMR294W	YLL049W
YJR091C	YER036C
YJR091C	YOR197W
YJR091C	YPR188C
YJR091C	YIR025W
YJR091C	YKL138C
YJR091C	YPR047W
YJR091C	YPL219W
YJR091C	YER178W
YJR091C	YLR191W
YJR091C	YNL214W
YJR091C	YML123C
YJR091C	YAR031W
YJR091C	YPR178W
YJR091C	YDL230W
YJR091C	YOR265W
YJR091C	YLR248W
YJR091C	YLR059C
YJR091C	YGL229C
YJR091C	YKL117W
YJR091C	YGR049W
YJR091C	YIL076W
YJR091C	YML013W
YJR091C	YDL052C
YJR091C	YJR010C-A
YJR091C	YKR037C
YJR091C	YLR066W
YJR091C	YBR152W
YJR091C	YML015C
YJR091C	YER063W
YJR091C	YOL072W
YJR091C	YBR067C
YJR091C	YGR082W
YJR091C	YLR322W
YJR091C	YMR197C
YJR091C	YJR133W
YJR091C	YAL066W
YJR091C	YGR241C
YJR091C	YAR030C
YJR091C	YBL059W
YJR091C	YBL089W
YJR091C	YBL094C
YJR091C	YCL045C
YJR091C	YCR041W
YJR091C	YDL046W
YJR091C	YDR031W
YJR091C	YDR269C
YJR091C	YDR271C
YJR091C	YDR438W
YJR091C	YDR526C
YJR091C	YDR527W
YJR091C	YEL068C
YJR091C	YGL046W
YJR091C	YGL157W
YJR091C	YGL204C
YJR091C	YGR018C
YJR091C	YGR042W
YJR091C	YGR269W
YJR091C	YGR294W
YJR091C	YIR003W
YJR091C	YJL107C
YJR091C	YJR038C
YJR091C	YKL111C
YJR091C	YKL146W
YJR091C	YKL160W
YJR091C	YKR087C
YJR091C	YLL030C
YJR091C	YLL065W
YJR091C	YLR104W
YJR091C	YLR156W
YJR091C	YLR269C
YJR091C	YLR379W
YJR091C	YMR067C
YJR091C	YMR160W
YJR091C	YMR253C
YJR091C	YMR278W
YJR091C	YNL092W
YJR091C	YNL144C
YJR091C	YNL266W
YJR091C	YNL285W
YJR091C	YOR097C
YJR091C	YOR302W
YJR091C	YPL088W
YJR091C	YPR003C
YJR091C	YPR050C
YJR091C	YPR096C
YJR091C	YPR148C
YJR091C	YBR054W
YJR091C	YNL241C
YPR141C	YOL069W
YPR141C	YOR325W
YCL055W	YBR057C
YCL055W	YMR147W
YMR065W	YLR454W
