YAL016W	YML109W
YCR081W	YMR112C
YCR081W	YNL025C
YCR081W	YOL135C
YCR081W	YOR174W
YCR081W	YPL042C
YCR093W	YGR134W
YCR093W	YNL288W
YCR093W	YNR052C
YCR095C	YHL029C
YCR095C	YNL099C
YDL003W	YFL008W
YDL003W	YJL074C
YDL018C	YML012W
YDL040C	YPL198W
YDL042C	YJL076W
YDL051W	YDL092W
YDL051W	YKL122C
YDL056W	YLR182W
YDL076C	YIL084C
YDL076C	YNL097C
YDL076C	YOL004W
YDL076C	YPL139C
YDL082W	YDL083C
YDL082W	YDR471W
YDL082W	YEL054C
YDL082W	YER074W
YDL082W	YFR032C-A
YDL082W	YGL014W
YDL082W	YGL076C
YDL082W	YGL103W
YDL082W	YGR103W
YDL082W	YHL001W
YDL082W	YIL133C
YDL082W	YJL177W
YDL082W	YJL190C
YDL082W	YJR123W
YDL082W	YJR145C
YDL082W	YKL180W
YDL082W	YLL045C
YDL082W	YLR029C
YDL082W	YLR340W
YDL082W	YLR448W
YDL082W	YML073C
YDL082W	YMR290C
YDL082W	YNL069C
YDL082W	YNL301C
YDL082W	YOL041C
YDL082W	YOL077C
YDL082W	YOL120C
YDL082W	YOR234C
YDL082W	YPL090C
YDL082W	YPL093W
YDL082W	YPL198W
YDL083C	YDR471W
YDL083C	YEL026W
YDL083C	YER074W
YDL083C	YFR032C-A
YDL083C	YGL076C
YDL083C	YGL103W
YDL083C	YGL120C
YDL083C	YGL123W
YDL083C	YGR118W
YDL083C	YHL001W
YDL083C	YHL015W
YDL083C	YIL133C
YDL083C	YJL177W
YDL083C	YJL190C
YDL083C	YJR123W
YDL083C	YJR145C
YDL083C	YKL180W
YDL083C	YLL045C
YDL083C	YLR029C
YDL083C	YLR340W
YDL083C	YLR448W
YDL083C	YML073C
YDL083C	YNL069C
YDL083C	YNL301C
YDL083C	YOR204W
YDL083C	YPL081W
YDL084W	YDR381W
YDL084W	YHR167W
YDL084W	YNL004W
YDL087C	YDR240C
YDL087C	YGR074W
YDL087C	YIL061C
YDL087C	YKL173W
YDL087C	YLR275W
YDL087C	YML046W
YDL092W	YKL122C
YDL099W	YDR517W
YDL108W	YDR460W
YDL111C	YDR280W
YDL111C	YGR095C
YDL111C	YGR158C
YDL111C	YHR069C
YDL111C	YHR081W
YDL111C	YNL232W
YDL111C	YOL021C
YDL111C	YOL142W
YDL111C	YOR001W
YDL116W	YGL092W
YDL140C	YDR404C
YDL140C	YGL043W
YDL140C	YGL070C
YDL140C	YGR005C
YDL140C	YIL021W
YDL140C	YML010W
YDL140C	YOL005C
YDL140C	YOR151C
YDL140C	YOR210W
YDL140C	YPR093C
YDL140C	YPR187W
YDL147W	YDL216C
YDL147W	YDR179C
YDL147W	YDR363W-A
YDL147W	YDR427W
YDL147W	YFR052W
YDL147W	YGL048C
YDL147W	YHL030W
YDL147W	YHR027C
YDL147W	YHR200W
YDL147W	YIL071C
YDL147W	YIL075C
YDL147W	YOL117W
YDL148C	YDR299W
YDL148C	YDR324C
YDL148C	YDR449C
YDL148C	YGR090W
YDL148C	YGR145W
YDL148C	YHR148W
YDL148C	YJR002W
YDL148C	YJR145C
YDL148C	YKR060W
YDL148C	YLR129W
YDL148C	YLR186W
YDL148C	YMR093W
YDL148C	YMR128W
YDL148C	YNL132W
YDL148C	YNL308C
YDL148C	YOL010W
YDL148C	YPL012W
YDL148C	YPL126W
YDL150W	YJL011C
YDL150W	YKR025W
YDL150W	YNL113W
YDL150W	YOR116C
YDL150W	YOR210W
YDL150W	YPR110C
YDL150W	YPR187W
YDL156W	YNL312W
YDL208W	YHR089C
YDL216C	YDR179C
YDL216C	YIL071C
YDL216C	YOL117W
YDL225W	YJR076C
YDL225W	YLR314C
YDR005C	YOR116C
YDR013W	YJL072C
YDR016C	YDR201W
YDR028C	YDR477W
YDR028C	YGL115W
YDR041W	YDR175C
YDR041W	YDR337W
YDR041W	YDR347W
YDR041W	YGL129C
YDR041W	YGR084C
YDR041W	YGR165W
YDR041W	YHL004W
YDR041W	YIL093C
YDR041W	YJR113C
YDR041W	YMR158W
YDR041W	YMR188C
YDR041W	YNL137C
YDR041W	YNL306W
YDR041W	YNR037C
YDR041W	YOR204W
YDR041W	YPL118W
YDR067C	YHL029C
YDR073W	YHL025W
YDR074W	YML100W
YDR075W	YML010W
YDR097C	YOL090W
YDR101C	YGL103W
YDR101C	YGR103W
YDR101C	YKL009W
YDR101C	YLL045C
YDR101C	YNL002C
YDR101C	YPL093W
YDR118W	YHR166C
YDR118W	YNL172W
YDR118W	YOR249C
YDR121W	YGL133W
YDR121W	YJL065C
YDR121W	YPR175W
YDR127W	YKL104C
YDR127W	YLR180W
YDR152W	YGR173W
YDR167W	YDR392W
YDR167W	YDR448W
YDR167W	YGR252W
YDR167W	YML015C
YDR167W	YML098W
YDR167W	YMR236W
YDR167W	YPL011C
YDR167W	YPL254W
YDR174W	YJL177W
YDR175C	YDR337W
YDR175C	YDR347W
YDR175C	YGL129C
YDR175C	YGR084C
YDR175C	YGR165W
YDR175C	YHL004W
YDR175C	YIL093C
YDR175C	YJR113C
YDR175C	YMR158W
YDR175C	YMR188C
YDR175C	YNL081C
YDR175C	YNL137C
YDR175C	YNL306W
YDR175C	YNR037C
YDR175C	YPL118W
YDR179C	YIL071C
YDR179C	YOL117W
YDR190C	YDR334W
YDR190C	YER092W
YDR190C	YGR002C
YDR190C	YLR385C
YDR190C	YNL059C
YDR190C	YNL107W
YDR190C	YOR141C
YDR190C	YPL235W
YDR201W	YKR083C
YDR207C	YIL084C
YDR211W	YJR007W
YDR211W	YLR291C
YDR224C	YGL133W
YDR224C	YGL241W
YDR224C	YLR357W
YDR224C	YOR116C
YDR225W	YLR357W
YDR228C	YGL044C
YDR233C	YPL154C
YDR237W	YDR405W
YDR237W	YGR220C
YDR237W	YJL063C
YDR237W	YKL167C
YDR237W	YKR085C
YDR237W	YLR439W
YDR237W	YMR024W
YDR237W	YMR193W
YDR237W	YOR150W
YDR240C	YGR074W
YDR240C	YIL061C
YDR240C	YLR275W
YDR240C	YML046W
YDR245W	YEL036C
YDR245W	YGR132C
YDR245W	YGR231C
YDR245W	YJL183W
YDR245W	YJR075W
YDR245W	YLR342W
YDR245W	YPL050C
YDR246W	YDR472W
YDR246W	YKR068C
YDR246W	YOR115C
YDR279W	YNL072W
YDR280W	YGR095C
YDR280W	YGR158C
YDR280W	YHR069C
YDR280W	YHR081W
YDR280W	YNL232W
YDR280W	YOL021C
YDR280W	YOL142W
YDR280W	YOR001W
YDR289C	YOR048C
YDR295C	YPR179C
YDR299W	YGR145W
YDR299W	YHR148W
YDR299W	YJL033W
YDR299W	YJR002W
YDR299W	YJR145C
YDR299W	YKR060W
YDR299W	YLR186W
YDR299W	YNL132W
YDR299W	YNL308C
YDR299W	YNR054C
YDR299W	YPL126W
YDR320C	YHR027C
YDR324C	YDR449C
YDR324C	YEL055C
YDR324C	YGR090W
YDR324C	YHR148W
YDR324C	YHR196W
YDR324C	YJL069C
YDR324C	YJR002W
YDR324C	YKR060W
YDR324C	YLR129W
YDR324C	YLR186W
YDR324C	YLR222C
YDR324C	YLR409C
YDR324C	YMR093W
YDR324C	YMR128W
YDR324C	YNL075W
YDR324C	YNL132W
YDR324C	YPL126W
YDR324C	YPR137W
YDR334W	YGR002C
YDR334W	YLR385C
YDR334W	YNL107W
YDR334W	YPL235W
YDR337W	YDR347W
YDR337W	YGL129C
YDR337W	YGR084C
YDR337W	YGR165W
YDR337W	YHL004W
YDR337W	YIL093C
YDR337W	YJR113C
YDR337W	YMR158W
YDR337W	YMR188C
YDR337W	YNL137C
YDR337W	YNL306W
YDR337W	YNR037C
YDR337W	YPL118W
YDR347W	YGL129C
YDR347W	YGR084C
YDR347W	YGR165W
YDR347W	YHL004W
YDR347W	YIL093C
YDR347W	YJR113C
YDR347W	YMR158W
YDR347W	YMR188C
YDR347W	YNL137C
YDR347W	YNL306W
YDR347W	YNR037C
YDR347W	YPL118W
YDR363W-A	YDR427W
YDR363W-A	YFR052W
YDR363W-A	YGL048C
YDR363W-A	YHR027C
YDR363W-A	YHR200W
YDR363W-A	YIL075C
YDR364C	YKL173W
YDR364C	YLL036C
YDR364C	YLR117C
YDR364C	YPR101W
YDR365C	YGR145W
YDR365C	YJL033W
YDR365C	YNR054C
YDR369C	YMR224C
YDR381W	YLR249W
YDR381W	YNL004W
YDR392W	YDR448W
YDR392W	YGR252W
YDR392W	YHR099W
YDR392W	YMR236W
YDR392W	YPL254W
YDR404C	YGL070C
YDR404C	YGR005C
YDR404C	YIL021W
YDR404C	YML010W
YDR404C	YOL005C
YDR404C	YOR151C
YDR404C	YOR210W
YDR404C	YPR187W
YDR405W	YKL167C
YDR405W	YLR439W
YDR405W	YMR024W
YDR415C	YKL210W
YDR422C	YDR477W
YDR422C	YGL115W
YDR427W	YFR052W
YDR427W	YGL048C
YDR427W	YHL030W
YDR427W	YHR027C
YDR427W	YHR200W
YDR427W	YIL075C
YDR427W	YMR314W
YDR432W	YGL049C
YDR448W	YGR252W
YDR448W	YHR041C
YDR448W	YHR058C
YDR448W	YHR099W
YDR448W	YML007W
YDR448W	YML015C
YDR448W	YMR236W
YDR448W	YOL135C
YDR448W	YPL011C
YDR448W	YPL254W
YDR449C	YGL171W
YDR449C	YGR090W
YDR449C	YGR145W
YDR449C	YHR148W
YDR449C	YHR196W
YDR449C	YJL069C
YDR449C	YJR002W
YDR449C	YJR145C
YDR449C	YKR060W
YDR449C	YLR129W
YDR449C	YLR186W
YDR449C	YLR222C
YDR449C	YLR409C
YDR449C	YMR093W
YDR449C	YMR128W
YDR449C	YNL075W
YDR449C	YNL132W
YDR449C	YPL126W
YDR449C	YPR137W
YDR460W	YPR025C
YDR469W	YHR119W
YDR469W	YKL018W
YDR469W	YLR015W
YDR469W	YPL138C
YDR471W	YER074W
YDR471W	YFR032C-A
YDR471W	YGL014W
YDR471W	YGL076C
YDR471W	YGL103W
YDR471W	YHL001W
YDR471W	YHL015W
YDR471W	YIL133C
YDR471W	YJL177W
YDR471W	YJL190C
YDR471W	YJR123W
YDR471W	YJR145C
YDR471W	YKL180W
YDR471W	YLL045C
YDR471W	YLR029C
YDR471W	YLR150W
YDR471W	YLR448W
YDR471W	YML073C
YDR471W	YMR290C
YDR471W	YNL069C
YDR471W	YNL112W
YDR471W	YNL301C
YDR471W	YOL077C
YDR471W	YPL090C
YDR471W	YPL093W
YDR471W	YPL198W
YDR472W	YKR068C
YDR472W	YOR115C
YDR477W	YGL115W
YDR498C	YGL098W
YDR498C	YGL145W
YDR517W	YPR181C
YEL015W	YOL149W
YEL018W	YGR002C
YEL018W	YHR099W
YEL018W	YNL107W
YEL018W	YNL136W
YEL018W	YOR244W
YEL018W	YPR023C
YEL022W	YER110C
YEL022W	YGR218W
YEL022W	YMR012W
YEL036C	YGR132C
YEL036C	YGR231C
YEL036C	YJL183W
YEL036C	YJR075W
YEL036C	YLR342W
YEL036C	YPL050C
YEL037C	YER162C
YEL054C	YJR145C
YEL055C	YHR196W
YEL055C	YMR093W
YEL055C	YPL126W
YEL056W	YNL030W
YEL056W	YNL031C
YEL056W	YOL054W
YER008C	YIL068C
YER008C	YJL085W
YER018C	YOL069W
YER022W	YGL025C
YER022W	YGL127C
YER022W	YHR041C
YER022W	YHR058C
YER022W	YLR071C
YER022W	YMR112C
YER022W	YOL135C
YER022W	YOR174W
YER022W	YPL042C
YER043C	YFL028C
YER071C	YKL007W
YER074W	YFR032C-A
YER074W	YGL014W
YER074W	YGL076C
YER074W	YGL103W
YER074W	YGR118W
YER074W	YHL001W
YER074W	YIL133C
YER074W	YJL177W
YER074W	YJL190C
YER074W	YJR123W
YER074W	YJR145C
YER074W	YKL180W
YER074W	YLL045C
YER074W	YLR029C
YER074W	YLR150W
YER074W	YLR340W
YER074W	YLR448W
YER074W	YML073C
YER074W	YNL069C
YER074W	YNL301C
YER074W	YOR234C
YER074W	YPL090C
YER074W	YPL198W
YER086W	YGL245W
YER086W	YLR259C
YER086W	YOR133W
YER092W	YOR141C
YER092W	YPL235W
YER110C	YGL195W
YER110C	YJR123W
YER110C	YLR347C
YER122C	YNL287W
YER146W	YGL173C
YER146W	YJL124C
YER146W	YKL173W
YER146W	YPR178W
YER149C	YLL021W
YFL008W	YJL074C
YFL017W-A	YGR074W
YFL018C	YFR049W
YFL018C	YGR193C
YFL037W	YGR218W
YFL049W	YHL025W
YFL049W	YMR033W
YFL049W	YNR023W
YFL049W	YPL016W
YFR009W	YGL195W
YFR009W	YKL104C
YFR009W	YLR180W
YFR013W	YGL133W
YFR032C-A	YGL014W
YFR032C-A	YGL103W
YFR032C-A	YGL189C
YFR032C-A	YGR118W
YFR032C-A	YJL177W
YFR032C-A	YKL046C
YFR032C-A	YLR029C
YFR032C-A	YLR448W
YFR051C	YIL076W
YFR051C	YNL287W
YFR051C	YPL010W
YFR052W	YGL048C
YFR052W	YHL030W
YFR052W	YHR027C
YFR052W	YHR200W
YFR052W	YIL075C
YFR052W	YMR314W
YGL014W	YGL103W
YGL014W	YHL001W
YGL014W	YHR029C
YGL014W	YJL177W
YGL014W	YLR448W
YGL014W	YML073C
YGL014W	YNL301C
YGL019W	YGL207W
YGL019W	YGL244W
YGL019W	YGR090W
YGL019W	YLR418C
YGL019W	YML069W
YGL019W	YMR172W
YGL019W	YOL145C
YGL019W	YOR039W
YGL019W	YOR061W
YGL019W	YOR123C
YGL025C	YGL127C
YGL025C	YHR041C
YGL025C	YHR058C
YGL025C	YLR071C
YGL025C	YML007W
YGL025C	YMR112C
YGL025C	YOL135C
YGL025C	YOR174W
YGL025C	YPL042C
YGL043W	YGL070C
YGL043W	YGR005C
YGL043W	YIL021W
YGL043W	YOL005C
YGL043W	YOR151C
YGL048C	YHL030W
YGL048C	YHR027C
YGL048C	YHR200W
YGL048C	YIL075C
YGL049C	YGL173C
YGL049C	YIR001C
YGL049C	YJL190C
YGL049C	YML117W
YGL049C	YPL190C
YGL070C	YGR005C
YGL070C	YIL021W
YGL070C	YML010W
YGL070C	YOL005C
YGL070C	YOR151C
YGL070C	YOR210W
YGL070C	YPR187W
YGL076C	YGL103W
YGL076C	YGR103W
YGL076C	YHL001W
YGL076C	YIL133C
YGL076C	YJL177W
YGL076C	YJL190C
YGL076C	YJR123W
YGL076C	YJR145C
YGL076C	YKL180W
YGL076C	YLL045C
YGL076C	YLR029C
YGL076C	YLR448W
YGL076C	YML073C
YGL076C	YMR290C
YGL076C	YNL069C
YGL076C	YNL132W
YGL076C	YNL301C
YGL076C	YOL041C
YGL076C	YOL120C
YGL076C	YPL093W
YGL076C	YPL198W
YGL086W	YJL030W
YGL098W	YGL145W
YGL103W	YGL123W
YGL103W	YGR118W
YGL103W	YHL001W
YGL103W	YHL015W
YGL103W	YIL133C
YGL103W	YJL177W
YGL103W	YJL190C
YGL103W	YJR123W
YGL103W	YJR145C
YGL103W	YKL180W
YGL103W	YLL045C
YGL103W	YLR029C
YGL103W	YLR340W
YGL103W	YLR342W
YGL103W	YLR448W
YGL103W	YML072C
YGL103W	YML073C
YGL103W	YNL069C
YGL103W	YNL301C
YGL103W	YPL012W
YGL103W	YPL090C
YGL103W	YPL093W
YGL103W	YPL198W
YGL105W	YGL245W
YGL120C	YGL173C
YGL120C	YGR159C
YGL120C	YJL190C
YGL120C	YJR145C
YGL120C	YKL173W
YGL120C	YLL036C
YGL120C	YLR117C
YGL120C	YMR128W
YGL120C	YNL132W
YGL120C	YNL224C
YGL120C	YPR101W
YGL123W	YHL001W
YGL123W	YJL177W
YGL123W	YJR123W
YGL123W	YKL180W
YGL123W	YML073C
YGL125W	YPL023C
YGL127C	YHR041C
YGL127C	YHR058C
YGL127C	YLR071C
YGL127C	YOL135C
YGL127C	YOR174W
YGL127C	YPL042C
YGL129C	YGR084C
YGL129C	YGR165W
YGL129C	YHL004W
YGL129C	YIL093C
YGL129C	YJR113C
YGL129C	YKL003C
YGL129C	YMR158W
YGL129C	YMR188C
YGL129C	YNL137C
YGL129C	YNL306W
YGL129C	YNR037C
YGL129C	YOR204W
YGL129C	YPL118W
YGL133W	YJL065C
YGL171W	YGR145W
YGL171W	YHR148W
YGL171W	YLR129W
YGL171W	YLR186W
YGL173C	YGR054W
YGL173C	YJL124C
YGL173C	YJR145C
YGL173C	YMR290C
YGL173C	YPL004C
YGL173C	YPR178W
YGL195W	YKL104C
YGL195W	YLR180W
YGL206C	YGR167W
YGL207W	YGL244W
YGL207W	YLR418C
YGL207W	YML069W
YGL207W	YOL054W
YGL207W	YOL145C
YGL207W	YOR039W
YGL207W	YOR061W
YGL207W	YOR123C
YGL213C	YLR398C
YGL237C	YOR358W
YGL241W	YOL012C
YGL242C	YMR109W
YGL244W	YLR418C
YGL244W	YML069W
YGL244W	YOL145C
YGL244W	YOR039W
YGL244W	YOR061W
YGL244W	YOR123C
YGL246C	YLL045C
YGL246C	YOR048C
YGR002C	YLR385C
YGR002C	YNL107W
YGR002C	YNL136W
YGR002C	YOR244W
YGR002C	YPL235W
YGR002C	YPR023C
YGR005C	YIL021W
YGR005C	YML010W
YGR005C	YOL005C
YGR005C	YOR151C
YGR005C	YOR210W
YGR005C	YPR187W
YGR020C	YLR447C
YGR020C	YOR270C
YGR020C	YOR332W
YGR020C	YPR036W
YGR030C	YHR062C
YGR030C	YNL221C
YGR047C	YOR110W
YGR047C	YPL007C
YGR054W	YMR290C
YGR054W	YNL207W
YGR056W	YGR275W
YGR056W	YLR357W
YGR056W	YML127W
YGR056W	YMR033W
YGR074W	YIL061C
YGR074W	YJL203W
YGR074W	YKL173W
YGR074W	YLR275W
YGR074W	YML046W
YGR074W	YMR240C
YGR074W	YOR308C
YGR074W	YPR057W
