YAL011W	YBR231C
YBL027W	YMR194W
YBL027W	YNL069C
YBL027W	YPL090C
YBL041W	YER012W
YBL041W	YFR050C
YBL041W	YGR135W
YBL041W	YGR253C
YBL041W	YJL001W
YBL041W	YML092C
YBL041W	YMR314W
YBL045C	YPR191W
YBL072C	YBR031W
YBL072C	YBR079C
YBL072C	YBR189W
YBL072C	YCL011C
YBL072C	YCL037C
YBL072C	YCL059C
YBL072C	YDL014W
YBL072C	YDL082W
YBL072C	YDL083C
YBL072C	YDL148C
YBL072C	YDR324C
YBL072C	YDR418W
YBL072C	YDR449C
YBL072C	YDR471W
YBL072C	YER074W
YBL072C	YFR031C-A
YBL072C	YGL076C
YBL072C	YGL103W
YBL072C	YGL147C
YBL072C	YGR054W
YBL072C	YGR085C
YBL072C	YGR145W
YBL072C	YHL033C
YBL072C	YHL034C
YBL072C	YJL177W
YBL072C	YJR002W
YBL072C	YJR123W
YBL072C	YKL180W
YBL072C	YLR129W
YBL072C	YLR197W
YBL072C	YLR340W
YBL072C	YMR116C
YBL072C	YMR194W
YBL072C	YMR290C
YBL072C	YNL132W
YBL072C	YNL308C
YBL072C	YOR361C
YBL072C	YPL012W
YBL072C	YPL090C
YBL072C	YPL126W
YBL072C	YPL198W
YBL084C	YHR166C
YBL090W	YBR146W
YBL090W	YBR251W
YBL090W	YDL045W-A
YBL090W	YGR165W
YBL090W	YHL004W
YBL090W	YIL093C
YBL090W	YJR101W
YBL090W	YMR158W
YBL090W	YNL306W
YBL090W	YOR158W
YBL090W	YPL013C
YBL093C	YBR253W
YBL093C	YDL005C
YBL093C	YDR308C
YBL093C	YER022W
YBL093C	YGL025C
YBL093C	YGL151W
YBL093C	YGR104C
YBL093C	YHR058C
YBL093C	YLR071C
YBL093C	YNL236W
YBL093C	YOL135C
YBL093C	YPL042C
YBL097W	YFR031C
YBL097W	YLR272C
YBL105C	YGR254W
YBR025C	YGL195W
YBR025C	YKL081W
YBR031W	YBR189W
YBR031W	YDL082W
YBR031W	YDL083C
YBR031W	YDR012W
YBR031W	YDR382W
YBR031W	YDR418W
YBR031W	YDR471W
YBR031W	YER074W
YBR031W	YFR031C-A
YBR031W	YGL030W
YBR031W	YGL031C
YBR031W	YGL103W
YBR031W	YGL147C
YBR031W	YGR085C
YBR031W	YHL033C
YBR031W	YJL177W
YBR031W	YJR123W
YBR031W	YKL180W
YBR031W	YMR194W
YBR031W	YMR290C
YBR031W	YNL069C
YBR031W	YNL112W
YBR031W	YNL132W
YBR031W	YOL077C
YBR031W	YPL012W
YBR031W	YPL090C
YBR031W	YPL198W
YBR055C	YCR077C
YBR055C	YDL030W
YBR055C	YDL098C
YBR055C	YDL160C
YBR055C	YDR378C
YBR055C	YER112W
YBR055C	YGR013W
YBR055C	YGR074W
YBR055C	YGR075C
YBR055C	YHR165C
YBR055C	YJL203W
YBR055C	YLL036C
YBR055C	YLR147C
YBR055C	YLR424W
YBR055C	YML046W
YBR055C	YML049C
YBR055C	YMR288W
YBR055C	YNL147W
YBR055C	YOR308C
YBR055C	YPR082C
YBR055C	YPR178W
YBR055C	YPR182W
YBR061C	YMR259C
YBR065C	YDL209C
YBR065C	YHR165C
YBR065C	YLL036C
YBR065C	YPR101W
YBR072W	YBR127C
YBR072W	YNL064C
YBR079C	YDR091C
YBR079C	YDR429C
YBR079C	YJR007W
YBR079C	YLR192C
YBR079C	YMR309C
YBR079C	YOR361C
YBR079C	YPL237W
YBR079C	YPR041W
YBR084W	YDR471W
YBR084W	YFR031C-A
YBR084W	YLR340W
YBR087W	YNL290W
YBR087W	YOR217W
YBR102C	YDR166C
YBR102C	YLR166C
YBR102C	YPR055W
YBR105C	YDL082W
YBR105C	YIL097W
YBR122C	YCR046C
YBR122C	YCR071C
YBR122C	YDR116C
YBR122C	YDR237W
YBR122C	YDR296W
YBR122C	YDR322W
YBR122C	YGR220C
YBR122C	YHR147C
YBR122C	YKL167C
YBR122C	YKR006C
YBR122C	YKR085C
YBR122C	YLR439W
YBR122C	YML025C
YBR122C	YMR193W
YBR122C	YNL005C
YBR127C	YKL080W
YBR130C	YGL106W
YBR130C	YKL130C
YBR136W	YNL312W
YBR143C	YDR172W
YBR143C	YPL237W
YBR146W	YBR251W
YBR146W	YGR165W
YBR146W	YHL004W
YBR146W	YIL093C
YBR146W	YJR101W
YBR146W	YKL003C
YBR146W	YMR158W
YBR146W	YNL306W
YBR146W	YOR158W
YBR146W	YOR204W
YBR146W	YPL013C
YBR160W	YLR079W
YBR160W	YPL256C
YBR189W	YCL011C
YBR189W	YCL037C
YBR189W	YDL014W
YBR189W	YDL083C
YBR189W	YDL148C
YBR189W	YDR382W
YBR189W	YDR418W
YBR189W	YDR449C
YBR189W	YDR471W
YBR189W	YER074W
YBR189W	YGL030W
YBR189W	YGL031C
YBR189W	YGL103W
YBR189W	YGL147C
YBR189W	YGL173C
YBR189W	YGR081C
YBR189W	YGR085C
YBR189W	YGR214W
YBR189W	YJR002W
YBR189W	YJR123W
YBR189W	YKL180W
YBR189W	YLR197W
YBR189W	YLR264W
YBR189W	YLR340W
YBR189W	YLR367W
YBR189W	YML056C
YBR189W	YMR116C
YBR189W	YMR194W
YBR189W	YNL069C
YBR189W	YNL132W
YBR189W	YOR204W
YBR189W	YPL012W
YBR189W	YPL090C
YBR189W	YPL266W
YBR195C	YML102W
YBR231C	YFL039C
YBR231C	YGR002C
YBR231C	YLR385C
YBR231C	YLR399C
YBR234C	YKL013C
YBR234C	YLR370C
YBR234C	YNR035C
YBR251W	YGR165W
YBR251W	YHL004W
YBR251W	YIL093C
YBR251W	YJR101W
YBR251W	YKL003C
YBR251W	YMR158W
YBR251W	YNL306W
YBR251W	YOR158W
YBR251W	YPL013C
YBR253W	YDL005C
YBR253W	YDR308C
YBR253W	YER022W
YBR253W	YGL025C
YBR253W	YGL151W
YBR253W	YGR104C
YBR253W	YHR058C
YBR253W	YLR071C
YBR253W	YNL236W
YBR253W	YOL135C
YBR253W	YPL042C
YBR254C	YDR246W
YBR254C	YDR472W
YBR254C	YKR068C
YBR254C	YOR115C
YBR257W	YDR478W
YBR258C	YDR469W
YBR258C	YHR119W
YBR267W	YDR101C
YBR267W	YGL099W
YBR289W	YDR073W
YBR289W	YFL049W
YBR289W	YHL025W
YBR289W	YJL176C
YCL011C	YCL037C
YCL011C	YDL014W
YCL011C	YDL084W
YCL011C	YDR138W
YCL011C	YDR432W
YCL011C	YGL049C
YCL011C	YGL173C
YCL011C	YGR162W
YCL011C	YHL034C
YCL011C	YHR167W
YCL011C	YLR432W
YCL011C	YML062C
YCL011C	YOR204W
YCL024W	YDR507C
YCL037C	YDL014W
YCL037C	YDL083C
YCL037C	YGL049C
YCL037C	YGL173C
YCL037C	YGR162W
YCL037C	YHL034C
YCL037C	YML056C
YCL037C	YMR290C
YCL054W	YDL031W
YCL054W	YKL172W
YCL054W	YLL008W
YCL054W	YMR290C
YCL054W	YNL002C
YCL054W	YPL093W
YCL054W	YPL211W
YCL059C	YDL014W
YCL059C	YDL148C
YCL059C	YDL213C
YCL059C	YDR299W
YCL059C	YGR145W
YCL059C	YJR002W
YCL059C	YLR197W
YCL059C	YMR290C
YCL059C	YNL132W
YCL059C	YNL308C
YCL059C	YPL217C
YCR002C	YJR076C
YCR002C	YJR092W
YCR002C	YLR314C
YCR014C	YKL145W
YCR014C	YLR421C
YCR014C	YOR259C
YCR020C-A	YEL053C
YCR020W-B	YCR052W
YCR020W-B	YFR037C
YCR020W-B	YGR056W
YCR020W-B	YGR275W
YCR020W-B	YIL126W
YCR020W-B	YKR008W
YCR020W-B	YLR033W
YCR020W-B	YML127W
YCR028C-A	YNL312W
YCR046C	YCR071C
YCR046C	YDR116C
YCR046C	YDR237W
YCR046C	YDR296W
YCR046C	YDR322W
YCR046C	YGR220C
YCR046C	YHR147C
YCR046C	YKL167C
YCR046C	YKR006C
YCR046C	YKR085C
YCR046C	YLR312W-A
YCR046C	YLR439W
YCR046C	YML025C
YCR046C	YMR193W
YCR046C	YNL005C
YCR046C	YNL177C
YCR052W	YFR037C
YCR052W	YGR056W
YCR052W	YGR275W
YCR052W	YIL126W
YCR052W	YKR008W
YCR052W	YLR033W
YCR052W	YML127W
YCR071C	YDR116C
YCR071C	YDR237W
YCR071C	YDR296W
YCR071C	YDR322W
YCR071C	YGR220C
YCR071C	YKL167C
YCR071C	YKR006C
YCR071C	YKR085C
YCR071C	YLR312W-A
YCR071C	YLR439W
YCR071C	YML025C
YCR071C	YMR193W
YCR071C	YNL005C
YCR077C	YDL160C
YCR077C	YDR378C
YCR077C	YER112W
YCR077C	YGL173C
YCR077C	YHR165C
YCR077C	YLR147C
YCR077C	YNL147W
YCR077C	YOR308C
YCR077C	YPR082C
YCR077C	YPR178W
YCR092C	YOL090W
YDL003W	YFL008W
YDL005C	YDR308C
YDL005C	YER022W
YDL005C	YGL025C
YDL005C	YGL151W
YDL005C	YGR104C
YDL005C	YHR058C
YDL005C	YLR071C
YDL005C	YNL236W
YDL005C	YOL135C
YDL013W	YDR320C
YDL013W	YKL145W
YDL013W	YLR421C
YDL013W	YOR259C
YDL014W	YDL082W
YDL014W	YDL083C
YDL014W	YDL148C
YDL014W	YDR299W
YDL014W	YDR324C
YDL014W	YDR449C
YDL014W	YGL030W
YDL014W	YGR085C
YDL014W	YGR145W
YDL014W	YJR002W
YDL014W	YKR060W
YDL014W	YLL008W
YDL014W	YLR129W
YDL014W	YLR197W
YDL014W	YLR409C
YDL014W	YMR290C
YDL014W	YMR309C
YDL014W	YNL069C
YDL014W	YNL132W
YDL014W	YNL308C
YDL014W	YOL077C
YDL014W	YOR310C
YDL014W	YPL012W
YDL014W	YPL126W
YDL014W	YPL198W
YDL014W	YPL217C
YDL030W	YDL098C
YDL030W	YDL209C
YDL030W	YGR074W
YDL030W	YHR165C
YDL030W	YJL203W
YDL030W	YLL036C
YDL030W	YLR147C
YDL030W	YLR424W
YDL030W	YML046W
YDL030W	YML049C
YDL030W	YMR288W
YDL030W	YOR308C
YDL030W	YPR082C
YDL030W	YPR101W
YDL030W	YPR178W
YDL031W	YDR101C
YDL031W	YER126C
YDL031W	YFL002C
YDL031W	YFR001W
YDL031W	YGR103W
YDL031W	YHR088W
YDL031W	YHR197W
YDL031W	YKL009W
YDL031W	YKL172W
YDL031W	YLL008W
YDL031W	YLR002C
YDL031W	YLR276C
YDL031W	YLR449W
YDL031W	YMR290C
YDL031W	YNL002C
YDL031W	YNL182C
YDL031W	YOL077C
YDL031W	YPL093W
YDL031W	YPL198W
YDL031W	YPL211W
YDL031W	YPR016C
YDL040C	YHR013C
YDL040C	YPL198W
YDL045W-A	YIL093C
YDL045W-A	YNL306W
YDL051W	YDL092W
YDL051W	YGR162W
YDL051W	YKL122C
YDL051W	YML105C
YDL051W	YNL262W
YDL051W	YPL210C
YDL051W	YPL243W
YDL051W	YPR088C
YDL070W	YLR399C
YDL074C	YPL055C
YDL076C	YNL097C
YDL076C	YOL004W
YDL076C	YPL139C
YDL077C	YDR080W
YDL077C	YLR148W
YDL077C	YPL045W
YDL082W	YDL083C
YDL082W	YDR012W
YDL082W	YDR382W
YDL082W	YDR418W
YDL082W	YDR471W
YDL082W	YER074W
YDL082W	YFR031C-A
YDL082W	YFR032C-A
YDL082W	YGL014W
YDL082W	YGL030W
YDL082W	YGL031C
YDL082W	YGL076C
YDL082W	YGL103W
YDL082W	YGL147C
YDL082W	YGR085C
YDL082W	YGR103W
YDL082W	YHL033C
YDL082W	YJL177W
YDL082W	YJL191W
YDL082W	YJR123W
YDL082W	YKL172W
YDL082W	YKL180W
YDL082W	YLR340W
YDL082W	YMR194W
YDL082W	YMR290C
YDL082W	YNL069C
YDL082W	YOL041C
YDL082W	YOL077C
YDL082W	YPL090C
YDL082W	YPL093W
YDL082W	YPL198W
YDL083C	YDR382W
YDL083C	YDR418W
YDL083C	YDR471W
YDL083C	YER074W
YDL083C	YER131W
YDL083C	YFR031C-A
YDL083C	YFR032C-A
YDL083C	YGL030W
YDL083C	YGL031C
YDL083C	YGL076C
YDL083C	YGL103W
YDL083C	YGL123W
YDL083C	YGL147C
YDL083C	YGR085C
YDL083C	YGR118W
YDL083C	YHL033C
YDL083C	YHL034C
YDL083C	YJL177W
YDL083C	YJR123W
YDL083C	YKL180W
YDL083C	YLR340W
YDL083C	YMR194W
YDL083C	YNL069C
YDL083C	YOR204W
YDL084W	YDR138W
YDL084W	YHR167W
YDL084W	YML062C
YDL084W	YNL004W
YDL087C	YGR013W
YDL087C	YGR074W
YDL087C	YHR165C
YDL087C	YLR147C
YDL087C	YLR298C
YDL087C	YML046W
YDL087C	YML049C
YDL087C	YPR182W
YDL092W	YKL122C
YDL092W	YML105C
YDL092W	YPL210C
YDL092W	YPL243W
YDL092W	YPR088C
YDL098C	YDR378C
YDL098C	YGR074W
YDL098C	YGR075C
YDL098C	YHR165C
YDL098C	YJL203W
YDL098C	YLR147C
YDL098C	YML049C
YDL098C	YMR288W
YDL098C	YNL147W
YDL098C	YOR308C
YDL098C	YPR082C
YDL098C	YPR178W
YDL100C	YER083C
YDL102W	YJR006W
YDL102W	YJR043C
YDL111C	YDR280W
YDL111C	YGR095C
YDL111C	YGR158C
YDL111C	YGR195W
YDL111C	YHR069C
YDL111C	YHR081W
YDL111C	YNL189W
YDL111C	YOL021C
YDL111C	YOR001W
YDL111C	YPR189W
YDL116W	YGL092W
YDL116W	YJR042W
YDL132W	YDR054C
YDL132W	YDR328C
YDL132W	YGL252C
YDL132W	YJL047C
YDL143W	YGL195W
YDL143W	YIL142W
YDL143W	YKL029C
YDL143W	YOR281C
YDL148C	YDR299W
YDL148C	YDR324C
YDL148C	YDR449C
YDL148C	YGR145W
YDL148C	YJR002W
YDL148C	YKR060W
YDL148C	YLR129W
YDL148C	YLR197W
YDL148C	YNL132W
YDL148C	YNL308C
YDL148C	YOR310C
YDL148C	YPL012W
YDL148C	YPL126W
YDL148C	YPL217C
YDL150W	YJL011C
YDL150W	YKR025W
YDL150W	YNL113W
YDL150W	YNR003C
YDL150W	YOR116C
YDL150W	YOR207C
YDL150W	YOR210W
YDL150W	YOR224C
YDL150W	YPR110C
YDL150W	YPR190C
YDL160C	YDR378C
YDL160C	YER112W
YDL160C	YGL173C
YDL160C	YNL147W
YDL160C	YOR308C
YDL160C	YPR082C
YDL160C	YPR178W
YDL165W	YPR072W
YDL208W	YMR310C
YDL209C	YDR364C
YDL209C	YGR278W
YDL209C	YHR165C
YDL209C	YLL036C
YDL209C	YLR424W
YDL209C	YML049C
YDL209C	YMR213W
YDL209C	YMR288W
YDL209C	YPR101W
YDR005C	YOR116C
YDR012W	YDR382W
YDR012W	YDR418W
YDR012W	YDR471W
YDR012W	YER074W
YDR012W	YFR031C-A
YDR012W	YGL103W
YDR012W	YGL147C
YDR012W	YGR085C
YDR012W	YHL033C
YDR012W	YJL177W
YDR012W	YJR123W
YDR012W	YKL180W
YDR012W	YLR340W
YDR012W	YMR194W
YDR012W	YMR290C
YDR012W	YNL069C
YDR012W	YOL041C
YDR012W	YPL090C
YDR012W	YPL198W
YDR013W	YJL072C
YDR016C	YGL061C
YDR028C	YDR477W
YDR028C	YGL115W
YDR054C	YGL252C
YDR054C	YJL047C
YDR073W	YHL025W
YDR073W	YJL176C
YDR074W	YMR261C
YDR080W	YLR148W
YDR080W	YPL045W
YDR091C	YLR192C
YDR091C	YMR309C
YDR091C	YPR041W
YDR092W	YGL087C
YDR101C	YER126C
YDR101C	YGL030W
YDR101C	YGL099W
YDR101C	YGL103W
YDR101C	YGR103W
YDR101C	YGR245C
YDR101C	YHR197W
YDR101C	YKL009W
YDR101C	YLR106C
YDR101C	YNL002C
YDR101C	YNL182C
YDR101C	YNR053C
YDR101C	YPL093W
YDR101C	YPL211W
YDR101C	YPR016C
YDR116C	YDR237W
YDR116C	YDR296W
YDR116C	YDR322W
YDR116C	YGR220C
YDR116C	YHR147C
YDR116C	YKL167C
YDR116C	YKR006C
YDR116C	YKR085C
YDR116C	YLR312W-A
YDR116C	YLR439W
YDR116C	YML025C
YDR116C	YMR193W
YDR116C	YNL005C
YDR121W	YNL262W
YDR121W	YOR304W
YDR121W	YPR175W
YDR127W	YLR180W
YDR127W	YMR186W
YDR129C	YFL039C
YDR137W	YLR039C
YDR138W	YHR167W
YDR138W	YML062C
YDR138W	YNL004W
YDR145W	YDR167W
YDR145W	YGL066W
YDR145W	YGR274C
YDR145W	YLR055C
YDR145W	YML015C
YDR145W	YMR227C
YDR145W	YMR236W
YDR145W	YOL148C
YDR145W	YPL011C
YDR145W	YPL254W
YDR148C	YIL125W
YDR156W	YJR063W
YDR156W	YNL113W
YDR156W	YNL248C
YDR156W	YOR210W
YDR156W	YOR341W
YDR156W	YPR010C
YDR156W	YPR110C
YDR166C	YLR166C
YDR166C	YPR055W
YDR167W	YGL066W
YDR167W	YGR274C
YDR167W	YLR055C
YDR167W	YML015C
YDR167W	YMR227C
YDR167W	YMR236W
YDR167W	YOL148C
YDR167W	YPL011C
YDR167W	YPL254W
YDR170C	YLR342W
YDR171W	YOR151C
YDR171W	YPR035W
YDR211W	YJR007W
YDR211W	YLR291C
YDR211W	YOR260W
YDR211W	YPL237W
YDR211W	YPR010C
YDR228C	YGL044C
YDR237W	YDR296W
YDR237W	YDR322W
YDR237W	YGR220C
YDR237W	YHR147C
YDR237W	YKL167C
YDR237W	YKR006C
YDR237W	YKR085C
YDR237W	YLR312W-A
YDR237W	YLR439W
YDR237W	YML025C
YDR237W	YMR193W
YDR237W	YNL005C
YDR245W	YJL183W
YDR245W	YLR342W
YDR246W	YDR472W
YDR246W	YKR068C
YDR246W	YOR115C
YDR280W	YGR095C
YDR280W	YGR158C
YDR280W	YGR195W
YDR280W	YHR069C
YDR280W	YHR081W
YDR280W	YNL189W
YDR280W	YOL021C
YDR280W	YOR001W
YDR280W	YPR189W
YDR292C	YKL154W
YDR296W	YDR322W
YDR296W	YGR220C
YDR296W	YHR147C
YDR296W	YKL167C
YDR296W	YKR006C
YDR296W	YKR085C
YDR296W	YLR312W-A
YDR296W	YLR439W
YDR296W	YML025C
YDR296W	YMR193W
YDR296W	YNL005C
YDR296W	YNL177C
YDR299W	YGR145W
YDR299W	YJR002W
YDR299W	YKR060W
YDR299W	YNL132W
YDR299W	YNL308C
YDR299W	YNR054C
YDR299W	YPL126W
YDR299W	YPL217C
YDR308C	YER022W
YDR308C	YGL025C
YDR308C	YGL151W
YDR308C	YGR104C
YDR308C	YHR058C
YDR308C	YLR071C
YDR308C	YNL236W
YDR308C	YOL135C
YDR308C	YPL042C
YDR311W	YPR056W
YDR322W	YGR220C
YDR322W	YHR147C
YDR322W	YKL167C
YDR322W	YKR006C
YDR322W	YKR085C
YDR322W	YLR312W-A
YDR322W	YLR439W
YDR322W	YML025C
YDR322W	YMR193W
YDR322W	YNL005C
YDR324C	YDR398W
YDR324C	YDR449C
YDR324C	YEL055C
YDR324C	YJL069C
YDR324C	YJR002W
YDR324C	YKR060W
YDR324C	YLR129W
YDR324C	YLR197W
YDR324C	YLR409C
YDR324C	YNL075W
YDR324C	YNL132W
YDR324C	YPL126W
YDR324C	YPL217C
YDR324C	YPL266W
YDR361C	YPL208W
YDR364C	YGR278W
YDR364C	YLL036C
YDR364C	YPR101W
YDR365C	YGR145W
YDR365C	YNR054C
YDR369C	YMR224C
YDR378C	YER112W
YDR378C	YGL173C
YDR378C	YHR165C
YDR378C	YLR147C
YDR378C	YNL147W
YDR378C	YOR308C
YDR378C	YPR082C
YDR378C	YPR178W
YDR382W	YDR418W
YDR382W	YDR471W
YDR382W	YER074W
YDR382W	YFR031C-A
YDR382W	YFR032C-A
YDR382W	YGL030W
YDR382W	YGL076C
YDR382W	YGL103W
YDR382W	YGR085C
YDR382W	YJL177W
YDR382W	YJR123W
YDR382W	YKL180W
YDR382W	YLR340W
YDR382W	YMR194W
YDR382W	YNL069C
YDR382W	YOL039W
YDR383C	YGR179C
YDR383C	YJR135C
YDR383C	YPL018W
YDR398W	YEL055C
YDR398W	YPL126W
YDR404C	YGR186W
YDR404C	YOR151C
YDR404C	YOR210W
YDR404C	YOR224C
YDR418W	YDR471W
YDR418W	YFR031C-A
YDR418W	YGL030W
YDR418W	YGL076C
YDR418W	YGL103W
YDR418W	YGL123W
YDR418W	YGL147C
YDR418W	YGR085C
YDR418W	YHL033C
YDR418W	YJL177W
YDR418W	YJR123W
YDR418W	YKL180W
YDR418W	YLR340W
YDR418W	YMR194W
YDR418W	YNL069C
YDR422C	YDR477W
YDR422C	YGL115W
YDR429C	YLR192C
YDR429C	YMR309C
YDR429C	YOR204W
YDR429C	YOR361C
YDR429C	YPR041W
YDR432W	YGL049C
YDR449C	YGL171W
YDR449C	YGR145W
YDR449C	YJL069C
YDR449C	YJR002W
YDR449C	YKR060W
YDR449C	YLR129W
YDR449C	YLR197W
YDR449C	YLR409C
YDR449C	YNL075W
YDR449C	YNL132W
YDR449C	YPL126W
YDR449C	YPL217C
YDR449C	YPL266W
YDR469W	YHR119W
YDR471W	YER074W
YDR471W	YFR031C-A
YDR471W	YFR032C-A
YDR471W	YGL014W
YDR471W	YGL030W
YDR471W	YGL031C
YDR471W	YGL076C
YDR471W	YGL103W
YDR471W	YGL147C
YDR471W	YGR085C
YDR471W	YHL033C
YDR471W	YJL177W
YDR471W	YJR123W
YDR471W	YKL180W
YDR471W	YLR344W
YDR471W	YLR406C
YDR471W	YMR194W
YDR471W	YMR290C
YDR471W	YNL069C
YDR471W	YNL112W
YDR471W	YOL077C
YDR471W	YPL090C
YDR471W	YPL093W
YDR471W	YPL198W
YDR471W	YPL211W
YDR472W	YKR068C
YDR472W	YOR115C
YDR477W	YGL115W
YDR502C	YLR180W
YDR517W	YIL109C
YEL015W	YNL118C
YEL055C	YPL126W
YEL056W	YNL030W
YEL056W	YNL031C
YEL056W	YPL001W
YEL058W	YNL218W
YER012W	YFR050C
YER012W	YGR135W
YER012W	YGR253C
YER012W	YJL001W
YER012W	YML092C
YER012W	YMR314W
YER012W	YPR108W
YER017C	YMR089C
YER022W	YGL025C
YER022W	YGL151W
YER022W	YGR104C
YER022W	YHR058C
YER022W	YLR071C
YER022W	YNL236W
YER022W	YOL135C
YER022W	YPL042C
YER043C	YFL028C
YER074W	YFR031C-A
YER074W	YFR032C-A
YER074W	YGL014W
YER074W	YGL030W
YER074W	YGL076C
YER074W	YGL103W
YER074W	YGL147C
YER074W	YGR085C
YER074W	YGR118W
YER074W	YHL033C
YER074W	YJL177W
YER074W	YJR123W
YER074W	YKL180W
YER074W	YLR340W
YER074W	YMR194W
YER074W	YNL069C
YER074W	YPL090C
YER074W	YPL198W
YER111C	YLR182W
YER112W	YGL173C
YER112W	YHR165C
YER112W	YLR147C
YER112W	YNL147W
YER112W	YOR308C
YER112W	YPR082C
YER112W	YPR178W
YER122C	YGL137W
YER122C	YNL287W
YER126C	YGR245C
YER126C	YHR197W
YER126C	YKL009W
YER126C	YLR074C
YER126C	YLR325C
YER126C	YMR290C
YER126C	YNL002C
YER126C	YNR053C
YER126C	YPL093W
YER126C	YPR016C
YER131W	YLR435W
YER131W	YMR194W
YER151C	YNR051C
YER164W	YGL019W
YER164W	YOR039W
YER164W	YOR061W
YER178W	YNL071W
YFL002C	YFR001W
YFL002C	YGR103W
YFL002C	YHR088W
YFL002C	YHR197W
YFL002C	YKL009W
YFL002C	YKL172W
YFL002C	YLL008W
YFL002C	YLR002C
YFL002C	YLR449W
YFL002C	YMR290C
YFL002C	YNL002C
YFL002C	YOL077C
YFL002C	YPL093W
YFL002C	YPL211W
YFL002C	YPR016C
YFL013C	YFL039C
YFL013C	YGL150C
YFL013C	YLR052W
YFL013C	YNL059C
YFL013C	YNL215W
YFL013C	YOR141C
YFL017W-A	YGR074W
YFL017W-A	YLR147C
YFL022C	YLR060W
YFL023W	YLR200W
YFL039C	YGL106W
YFL039C	YGL150C
YFL039C	YGR002C
YFL039C	YKL007W
YFL039C	YLR052W
YFL039C	YMR072W
YFL039C	YNL059C
YFL039C	YOR141C
YFL039C	YOR244W
YFL039C	YPR171W
YFL049W	YHL025W
YFL049W	YJL176C
YFR001W	YLL008W
YFR001W	YLR002C
YFR001W	YMR290C
YFR001W	YNL002C
YFR001W	YPL093W
YFR001W	YPR016C
YFR009W	YGL195W
YFR009W	YKL029C
YFR009W	YLR180W
YFR024C-A	YNL243W
YFR031C	YLR272C
YFR031C-A	YGL014W
YFR031C-A	YGL030W
YFR031C-A	YGL031C
YFR031C-A	YGL076C
YFR031C-A	YGL103W
YFR031C-A	YGL123W
YFR031C-A	YGL147C
YFR031C-A	YGR085C
YFR031C-A	YHL033C
YFR031C-A	YJL177W
YFR031C-A	YJL191W
YFR031C-A	YJR123W
YFR031C-A	YKL180W
YFR031C-A	YLR340W
YFR031C-A	YLR344W
YFR031C-A	YLR367W
YFR031C-A	YMR194W
YFR031C-A	YNL069C
YFR031C-A	YOR204W
YFR031C-A	YPL090C
YFR031C-A	YPL198W
YFR032C-A	YGL014W
YFR032C-A	YGL031C
YFR032C-A	YGL103W
YFR032C-A	YGR085C
YFR032C-A	YGR118W
YFR032C-A	YJL177W
YFR032C-A	YKL046C
YFR032C-A	YMR194W
YFR037C	YGR056W
YFR037C	YGR275W
YFR037C	YIL126W
YFR037C	YKR001C
YFR037C	YKR008W
YFR037C	YLR033W
YFR037C	YML127W
YFR037C	YMR072W
YFR037C	YNL030W
YFR037C	YNR003C
YFR037C	YOR304W
YFR037C	YPL082C
YFR050C	YGR135W
YFR050C	YGR253C
YFR050C	YJL001W
YFR050C	YML092C
YFR050C	YMR314W
