YAL001C	YGR047C
YCL031C	YGR090W
YCL037C	YDL014W
YCL037C	YDL083C
YCL037C	YGL049C
YCL037C	YGL173C
YCL037C	YJL190C
YCL037C	YJR145C
YCL037C	YMR125W
YCL037C	YMR290C
YCL037C	YOL139C
YCL037C	YOR096W
YCR002C	YDL225W
YCR002C	YHR107C
YCR002C	YJR076C
YCR002C	YJR092W
YCR002C	YLR314C
YCR014C	YDL147W
YCR014C	YDR108W
YCR014C	YDR394W
YCR014C	YLR421C
YCR014C	YOR259C
YCR046C	YCR071C
YCR046C	YDR116C
YCR046C	YHR147C
YCR046C	YJL063C
YCR046C	YKR006C
YCR046C	YMR024W
YCR046C	YNL005C
YCR046C	YNL252C
YCR052W	YFR037C
YCR052W	YGR056W
YCR052W	YIL126W
YCR052W	YLR321C
YCR052W	YLR357W
YCR052W	YML127W
YCR052W	YMR033W
YCR052W	YMR091C
YCR052W	YPR034W
YCR060W	YPL235W
YCR071C	YDR116C
YCR071C	YDR405W
YCR071C	YJL063C
YCR071C	YKR006C
YCR071C	YMR024W
YCR071C	YNL005C
YCR071C	YNL252C
YCR093W	YGR134W
YCR093W	YNL288W
YCR095C	YHL029C
YCR095C	YNL032W
YDL002C	YER092W
YDL002C	YFL013C
YDL002C	YFL039C
YDL002C	YGL150C
YDL002C	YLR052W
YDL002C	YNL059C
YDL002C	YNL215W
YDL002C	YPL235W
YDL003W	YFL008W
YDL005C	YER022W
YDL005C	YGL025C
YDL005C	YGL127C
YDL005C	YGL151W
YDL005C	YGR104C
YDL005C	YHR041C
YDL005C	YHR058C
YDL005C	YLR071C
YDL005C	YNL236W
YDL005C	YOL051W
YDL005C	YOL135C
YDL013W	YLR421C
YDL013W	YOR259C
YDL014W	YDL082W
YDL014W	YDL083C
YDL014W	YDR060W
YDL014W	YDR299W
YDL014W	YDR324C
YDL014W	YDR496C
YDL014W	YGR085C
YDL014W	YGR090W
YDL014W	YGR128C
YDL014W	YIL133C
YDL014W	YJL109C
YDL014W	YJL190C
YDL014W	YJR002W
YDL014W	YJR145C
YDL014W	YLL011W
YDL014W	YLL045C
YDL014W	YLR029C
YDL014W	YLR129W
YDL014W	YLR197W
YDL014W	YML063W
YDL014W	YMR093W
YDL014W	YMR128W
YDL014W	YMR229C
YDL014W	YMR290C
YDL014W	YMR309C
YDL014W	YNL061W
YDL014W	YNL069C
YDL014W	YNL132W
YDL014W	YNL308C
YDL014W	YOR096W
YDL014W	YOR206W
YDL014W	YOR310C
YDL014W	YPR137W
YDL014W	YPR144C
YDL031W	YDR060W
YDL031W	YDR087C
YDL031W	YDR101C
YDL031W	YDR496C
YDL031W	YGL111W
YDL031W	YHR052W
YDL031W	YKL009W
YDL031W	YKL172W
YDL031W	YKR081C
YDL031W	YLL045C
YDL031W	YLR029C
YDL031W	YMR290C
YDL031W	YNL061W
YDL031W	YNL110C
YDL031W	YNL182C
YDL031W	YOR206W
YDL031W	YOR272W
YDL031W	YPL093W
YDL031W	YPR016C
YDL043C	YHR165C
YDL043C	YLR147C
YDL043C	YML049C
YDL043C	YMR125W
YDL043C	YMR288W
YDL043C	YPL213W
YDL043C	YPR178W
YDL047W	YGR161C
YDL047W	YJL098W
YDL051W	YDL092W
YDL051W	YNL262W
YDL051W	YPR088C
YDL053C	YHR121W
YDL060W	YGR054W
YDL060W	YJR145C
YDL060W	YKL143W
YDL060W	YNL207W
YDL060W	YOR096W
YDL070W	YLR399C
YDL076C	YIL084C
YDL076C	YNL097C
YDL076C	YOL004W
YDL076C	YPL139C
YDL077C	YLR148W
YDL082W	YDL083C
YDL082W	YDR471W
YDL082W	YFR031C-A
YDL082W	YGL031C
YDL082W	YGL076C
YDL082W	YGL147C
YDL082W	YGR085C
YDL082W	YHR216W
YDL082W	YIL133C
YDL082W	YJL177W
YDL082W	YJL190C
YDL082W	YJR123W
YDL082W	YJR145C
YDL082W	YKL172W
YDL082W	YKL180W
YDL082W	YLL045C
YDL082W	YLR029C
YDL082W	YLR287C-A
YDL082W	YLR340W
YDL082W	YLR448W
YDL082W	YML063W
YDL082W	YML073C
YDL082W	YMR142C
YDL082W	YMR194W
YDL082W	YMR242C
YDL082W	YMR290C
YDL082W	YNL069C
YDL082W	YNL110C
YDL082W	YNL178W
YDL082W	YOL041C
YDL082W	YOL120C
YDL082W	YOR096W
YDL082W	YOR234C
YDL082W	YOR272W
YDL082W	YPL093W
YDL082W	YPL220W
YDL083C	YDR471W
YDL083C	YER131W
YDL083C	YFR031C-A
YDL083C	YGL031C
YDL083C	YGL076C
YDL083C	YGL147C
YDL083C	YGR027C
YDL083C	YGR085C
YDL083C	YGR118W
YDL083C	YIL133C
YDL083C	YJL177W
YDL083C	YJL190C
YDL083C	YJR123W
YDL083C	YJR145C
YDL083C	YKL180W
YDL083C	YLL045C
YDL083C	YLR029C
YDL083C	YLR287C-A
YDL083C	YLR340W
YDL083C	YLR448W
YDL083C	YML063W
YDL083C	YML073C
YDL083C	YMR142C
YDL083C	YMR194W
YDL083C	YMR242C
YDL083C	YNL069C
YDL083C	YNL178W
YDL083C	YOL040C
YDL083C	YOR096W
YDL084W	YDR381W
YDL084W	YNL004W
YDL087C	YDR235W
YDL087C	YHR086W
YDL087C	YHR165C
YDL087C	YKL012W
YDL087C	YLR147C
YDL087C	YLR298C
YDL087C	YML046W
YDL087C	YML049C
YDL087C	YMR125W
YDL087C	YPL178W
YDL092W	YPR088C
YDL098C	YER172C
YDL098C	YHR165C
YDL098C	YLR147C
YDL098C	YML049C
YDL098C	YMR268C
YDL098C	YMR288W
YDL098C	YOR308C
YDL098C	YPL213W
YDL098C	YPR178W
YDL100C	YER083C
YDL112W	YKL182W
YDL116W	YGL092W
YDL116W	YJR042W
YDL116W	YKL057C
YDL132W	YDR328C
YDL132W	YGL252C
YDL145C	YDR238C
YDL145C	YER122C
YDL145C	YGL137W
YDL145C	YIL076W
YDL145C	YPL010W
YDL147W	YDR179C
YDL147W	YDR394W
YDL147W	YER021W
YDL147W	YGL048C
YDL147W	YHR200W
YDL147W	YIL075C
YDL147W	YLR421C
YDL147W	YOL117W
YDL147W	YOR117W
YDL147W	YOR259C
YDL147W	YOR261C
YDL147W	YPR108W
YDL203C	YLR371W
YDL209C	YDR364C
YDL209C	YER172C
YDL209C	YGL128C
YDL209C	YHR165C
YDL209C	YML049C
YDL209C	YMR125W
YDL209C	YMR288W
YDL209C	YPL213W
YDL225W	YHR107C
YDL225W	YJR076C
YDL225W	YLR314C
YDR001C	YDR099W
YDR022C	YLR423C
YDR022C	YPL166W
YDR028C	YDR477W
YDR028C	YER133W
YDR036C	YDR175C
YDR036C	YHL004W
YDR036C	YJR101W
YDR036C	YKL155C
YDR036C	YNL137C
YDR036C	YNL306W
YDR036C	YPL118W
YDR060W	YDR087C
YDR060W	YDR496C
YDR060W	YGL076C
YDR060W	YGL111W
YDR060W	YHR052W
YDR060W	YIL133C
YDR060W	YKL172W
YDR060W	YKR081C
YDR060W	YLL045C
YDR060W	YLR029C
YDR060W	YMR229C
YDR060W	YMR290C
YDR060W	YNL061W
YDR060W	YOL041C
YDR060W	YOR206W
YDR060W	YOR272W
YDR060W	YPL093W
YDR071C	YER089C
YDR073W	YJL176C
YDR087C	YDR496C
YDR087C	YGL111W
YDR087C	YGR085C
YDR087C	YHR052W
YDR087C	YKL009W
YDR087C	YKR081C
YDR087C	YMR290C
YDR087C	YNL061W
YDR087C	YOR206W
YDR087C	YOR272W
YDR087C	YPR016C
YDR091C	YMR146C
YDR091C	YMR309C
YDR091C	YOR096W
YDR091C	YPR041W
YDR099W	YGL252C
YDR101C	YGR245C
YDR101C	YHR052W
YDR101C	YKL009W
YDR101C	YKR081C
YDR101C	YLL045C
YDR101C	YNL110C
YDR101C	YNL182C
YDR101C	YNR053C
YDR101C	YPL093W
YDR101C	YPR016C
YDR108W	YDR407C
YDR108W	YKR068C
YDR108W	YML077W
YDR108W	YMR218C
YDR108W	YOR115C
YDR108W	YOR259C
YDR116C	YDR405W
YDR116C	YHR147C
YDR116C	YJL063C
YDR116C	YKR006C
YDR116C	YMR024W
YDR116C	YNL005C
YDR116C	YNL252C
YDR118W	YLR127C
YDR118W	YNL172W
YDR127W	YLR180W
YDR127W	YMR186W
YDR145W	YDR167W
YDR145W	YER148W
YDR145W	YGL112C
YDR145W	YGR274C
YDR145W	YML015C
YDR145W	YMR236W
YDR145W	YPL254W
YDR156W	YNL248C
YDR156W	YOR210W
YDR156W	YOR340C
YDR156W	YOR341W
YDR156W	YPR110C
YDR167W	YGL112C
YDR167W	YGR274C
YDR167W	YML015C
YDR167W	YMR223W
YDR167W	YMR236W
YDR167W	YPL254W
YDR175C	YGR165W
YDR175C	YHL004W
YDR175C	YJR101W
YDR175C	YKL155C
YDR175C	YNL137C
YDR175C	YNL306W
YDR175C	YPL013C
YDR175C	YPL118W
YDR179C	YOL117W
YDR195W	YDR301W
YDR195W	YER133W
YDR195W	YGR156W
YDR195W	YKL018W
YDR195W	YKL059C
YDR195W	YKR002W
YDR195W	YLR277C
YDR195W	YLR448W
YDR195W	YMR242C
YDR195W	YNL222W
YDR195W	YNL317W
YDR195W	YOR179C
YDR195W	YPR107C
YDR201W	YGL061C
YDR201W	YGR113W
YDR201W	YKL052C
YDR201W	YKR083C
YDR202C	YDR328C
YDR207C	YIL084C
YDR214W	YGL195W
YDR224C	YGL133W
YDR224C	YIL126W
YDR224C	YLR357W
YDR224C	YPL082C
YDR228C	YHR216W
YDR228C	YMR061W
YDR233C	YPL154C
YDR235W	YHR086W
YDR235W	YKL012W
YDR235W	YLR147C
YDR235W	YLR298C
YDR235W	YML046W
YDR235W	YML049C
YDR235W	YMR125W
YDR235W	YPL178W
YDR238C	YER122C
YDR238C	YGL137W
YDR238C	YIL076W
YDR238C	YPL010W
YDR245W	YGR132C
YDR245W	YGR231C
YDR245W	YJL183W
YDR245W	YPL050C
YDR255C	YIL017C
YDR280W	YOL142W
YDR280W	YOR001W
YDR280W	YOR076C
YDR288W	YOL034W
YDR299W	YER127W
YDR299W	YJR002W
YDR299W	YJR145C
YDR299W	YNL132W
YDR299W	YNL308C
YDR299W	YNR054C
YDR299W	YOR096W
YDR299W	YPR144C
YDR301W	YER133W
YDR301W	YGR156W
YDR301W	YKL018W
YDR301W	YKL059C
YDR301W	YKR002W
YDR301W	YLR277C
YDR301W	YMR061W
YDR301W	YNL222W
YDR301W	YNL317W
YDR301W	YPR107C
YDR311W	YPR056W
YDR324C	YDR398W
YDR324C	YGR090W
YDR324C	YGR128C
YDR324C	YHR196W
YDR324C	YJL109C
YDR324C	YJR002W
YDR324C	YLL011W
YDR324C	YLR129W
YDR324C	YLR197W
YDR324C	YMR093W
YDR324C	YMR128W
YDR324C	YNL132W
YDR324C	YPR137W
YDR324C	YPR144C
YDR325W	YFR031C
YDR328C	YMR258C
YDR334W	YDR485C
YDR334W	YFL039C
YDR334W	YLR399C
YDR334W	YNL107W
YDR334W	YPL235W
YDR349C	YLR430W
YDR357C	YKL061W
YDR359C	YHR090C
YDR359C	YML007W
YDR359C	YNL107W
YDR359C	YNL136W
YDR364C	YER172C
YDR381W	YNL004W
YDR383C	YJR135C
YDR383C	YPL018W
YDR394W	YER012W
YDR394W	YER021W
YDR394W	YGL048C
YDR394W	YHR200W
YDR394W	YIL075C
YDR394W	YJR109C
YDR394W	YLR421C
YDR394W	YMR314W
YDR394W	YOR117W
YDR394W	YOR259C
YDR394W	YOR261C
YDR394W	YPR108W
YDR398W	YGR128C
YDR398W	YHR196W
YDR398W	YJL109C
YDR398W	YMR093W
YDR405W	YKR006C
YDR405W	YMR024W
YDR405W	YNL005C
YDR407C	YKR068C
YDR407C	YML077W
YDR407C	YMR218C
YDR407C	YOR115C
YDR422C	YDR477W
YDR469W	YKL018W
YDR469W	YPL138C
YDR471W	YDR496C
YDR471W	YFR031C-A
YDR471W	YGL031C
YDR471W	YGL076C
YDR471W	YGL147C
YDR471W	YGR085C
YDR471W	YIL133C
YDR471W	YJL177W
YDR471W	YJL190C
YDR471W	YJR123W
YDR471W	YJR145C
YDR471W	YKL180W
YDR471W	YKR081C
YDR471W	YLL045C
YDR471W	YLR029C
YDR471W	YLR150W
YDR471W	YLR287C-A
YDR471W	YLR448W
YDR471W	YML063W
YDR471W	YML073C
YDR471W	YMR142C
YDR471W	YMR194W
YDR471W	YMR242C
YDR471W	YMR290C
YDR471W	YNL061W
YDR471W	YNL069C
YDR471W	YNL110C
YDR471W	YNL178W
YDR471W	YOL040C
YDR471W	YOR096W
YDR471W	YPL093W
YDR471W	YPL220W
YDR477W	YGL208W
YDR485C	YNL107W
YDR485C	YPL235W
YDR496C	YGL076C
YDR496C	YGL111W
YDR496C	YGL173C
YDR496C	YHR052W
YDR496C	YIL133C
YDR496C	YJR145C
YDR496C	YKL009W
YDR496C	YKL014C
YDR496C	YKR081C
YDR496C	YLL045C
YDR496C	YLR029C
YDR496C	YLR197W
YDR496C	YML073C
YDR496C	YMR229C
YDR496C	YMR242C
YDR496C	YMR290C
YDR496C	YNL061W
YDR496C	YNL110C
YDR496C	YOR206W
YDR496C	YOR272W
YDR496C	YPL093W
YDR496C	YPL220W
YDR496C	YPR016C
YDR502C	YLR180W
YDR517W	YPR181C
YEL003W	YJL179W
YEL003W	YML094W
YEL003W	YNL153C
YEL022W	YER110C
YEL022W	YGR218W
YEL022W	YJR077C
YEL051W	YKL080W
YEL053C	YPR051W
YEL056W	YNL030W
YEL056W	YNL031C
YEL056W	YOL054W
YEL056W	YPL001W
YER012W	YER021W
YER012W	YFR050C
YER012W	YGR135W
YER012W	YJL001W
YER012W	YMR314W
YER012W	YPR103W
YER012W	YPR108W
YER021W	YGL048C
YER021W	YHR200W
YER021W	YIL075C
YER021W	YLR421C
YER021W	YMR314W
YER021W	YOR117W
YER021W	YOR259C
YER021W	YOR261C
YER021W	YPR108W
YER022W	YGL025C
YER022W	YGL127C
YER022W	YGL151W
YER022W	YGR104C
YER022W	YHR041C
YER022W	YHR058C
YER022W	YLR071C
YER022W	YNL236W
YER022W	YOL051W
YER022W	YOL135C
YER031C	YER136W
YER050C	YPL118W
YER071C	YKL007W
YER081W	YIL074C
YER090W	YKL211C
YER092W	YFL013C
YER092W	YGL150C
YER092W	YLR052W
YER092W	YPL235W
YER110C	YGL195W
YER110C	YJR123W
YER110C	YLR335W
YER111C	YLR182W
YER120W	YHL020C
YER122C	YGL137W
YER125W	YKR021W
YER125W	YOR124C
YER131W	YLR150W
YER131W	YLR435W
YER131W	YMR194W
YER133W	YGR156W
YER133W	YKL018W
YER133W	YKL059C
YER133W	YKR002W
YER133W	YLR277C
YER133W	YMR311C
YER133W	YNL222W
YER133W	YNL233W
YER133W	YNL317W
YER133W	YPR107C
YER146W	YGL173C
YER146W	YHR165C
YER146W	YJL124C
YER146W	YJR022W
YER146W	YPR178W
YER148W	YGL112C
YER148W	YGR274C
YER148W	YPL082C
YER151C	YNR051C
YER164W	YIL035C
YER164W	YOR039W
YER164W	YOR061W
YER172C	YGL128C
YER172C	YHR165C
YER172C	YJL124C
YER172C	YLR147C
YER172C	YML046W
YER172C	YML049C
YER172C	YMR125W
YER172C	YMR288W
YER172C	YOR308C
YER172C	YPL213W
YER172C	YPR178W
YFL013C	YFL039C
YFL013C	YGL150C
YFL013C	YLR052W
YFL013C	YNL059C
YFL013C	YNL215W
YFL013C	YPL235W
YFL037W	YGR218W
YFL039C	YGL150C
YFL039C	YHR090C
YFL039C	YKL007W
YFL039C	YLR052W
YFL039C	YLR429W
YFL039C	YNL059C
YFL039C	YNL107W
YFL039C	YPL235W
YFL045C	YGL195W
YFL049W	YJL176C
YFL049W	YMR033W
YFL049W	YPL016W
YFL049W	YPR034W
YFR031C	YLR272C
YFR031C-A	YGL031C
YFR031C-A	YGL076C
YFR031C-A	YGL147C
YFR031C-A	YGR085C
YFR031C-A	YIL133C
YFR031C-A	YJL177W
YFR031C-A	YJL190C
YFR031C-A	YJR123W
YFR031C-A	YJR145C
YFR031C-A	YKL180W
YFR031C-A	YLL045C
YFR031C-A	YLR029C
YFR031C-A	YLR150W
YFR031C-A	YLR287C-A
YFR031C-A	YLR340W
YFR031C-A	YLR367W
YFR031C-A	YLR448W
YFR031C-A	YML063W
YFR031C-A	YML073C
YFR031C-A	YMR142C
YFR031C-A	YMR194W
YFR031C-A	YMR242C
YFR031C-A	YNL069C
YFR031C-A	YNL178W
YFR031C-A	YOL040C
YFR031C-A	YOL120C
YFR031C-A	YOR096W
YFR031C-A	YPL143W
YFR031C-A	YPL220W
YFR037C	YGL133W
YFR037C	YGR056W
YFR037C	YIL126W
YFR037C	YKR001C
YFR037C	YLR321C
YFR037C	YLR357W
YFR037C	YML127W
YFR037C	YMR033W
YFR037C	YMR091C
YFR037C	YNL030W
YFR037C	YNR003C
YFR037C	YPL082C
YFR037C	YPR034W
YFR050C	YGR135W
YFR050C	YJL001W
YFR050C	YMR314W
YFR050C	YPR103W
YGL005C	YGL223C
YGL005C	YGR120C
YGL005C	YML071C
YGL005C	YPR105C
YGL025C	YGL127C
YGL025C	YGL151W
YGL025C	YGR104C
YGL025C	YHR041C
YGL025C	YHR058C
YGL025C	YLR071C
YGL025C	YML007W
YGL025C	YNL236W
YGL025C	YOL051W
YGL025C	YOL135C
YGL031C	YGL076C
YGL031C	YGR085C
YGL031C	YGR118W
YGL031C	YGR214W
YGL031C	YJL177W
YGL031C	YJR123W
YGL031C	YKL180W
YGL031C	YML063W
YGL031C	YML073C
YGL031C	YMR194W
YGL031C	YMR242C
YGL031C	YNL069C
YGL048C	YHR200W
YGL048C	YIL075C
YGL048C	YLR421C
YGL048C	YOR117W
YGL048C	YOR259C
YGL048C	YOR261C
YGL048C	YPR108W
YGL049C	YGL173C
YGL049C	YIR001C
YGL049C	YJL190C
YGL049C	YMR125W
YGL049C	YOL139C
YGL061C	YGR113W
YGL061C	YKL052C
YGL061C	YKR083C
YGL076C	YGL111W
YGL076C	YGL147C
YGL076C	YGR085C
YGL076C	YIL133C
YGL076C	YJL177W
YGL076C	YJL190C
YGL076C	YJR123W
YGL076C	YJR145C
YGL076C	YKL180W
YGL076C	YKR081C
YGL076C	YLL045C
YGL076C	YLR029C
YGL076C	YLR448W
YGL076C	YML063W
YGL076C	YML073C
YGL076C	YMR142C
YGL076C	YMR194W
YGL076C	YMR242C
YGL076C	YMR290C
YGL076C	YNL069C
YGL076C	YNL132W
YGL076C	YNL178W
YGL076C	YOL041C
YGL076C	YOL120C
YGL076C	YOR096W
YGL076C	YOR206W
YGL076C	YPL093W
YGL076C	YPL220W
YGL092W	YJR042W
YGL092W	YKL057C
YGL111W	YHR052W
YGL111W	YKL009W
YGL111W	YKL172W
YGL111W	YMR290C
YGL111W	YNL061W
YGL111W	YNL110C
YGL111W	YOR206W
YGL111W	YOR272W
YGL111W	YPL093W
YGL111W	YPR016C
YGL112C	YGR274C
YGL112C	YHR041C
YGL112C	YML007W
YGL112C	YML015C
YGL112C	YMR223W
YGL112C	YMR236W
YGL112C	YNL236W
YGL112C	YPL254W
YGL127C	YGL151W
YGL127C	YHR041C
YGL127C	YHR058C
YGL127C	YLR071C
YGL127C	YNL236W
YGL127C	YOL051W
YGL127C	YOL135C
YGL128C	YHR165C
YGL128C	YKR022C
YGL128C	YML049C
YGL128C	YMR288W
YGL133W	YIL126W
YGL133W	YKR001C
YGL133W	YPL082C
YGL137W	YGL245W
YGL137W	YIL076W
YGL137W	YPL010W
YGL147C	YGR085C
YGL147C	YIL133C
YGL147C	YJL177W
YGL147C	YJL190C
YGL147C	YJR123W
YGL147C	YKL009W
YGL147C	YKL180W
YGL147C	YLL045C
YGL147C	YLR029C
YGL147C	YLR340W
YGL147C	YLR448W
YGL147C	YML063W
YGL147C	YML073C
YGL147C	YMR194W
YGL147C	YMR242C
YGL147C	YMR290C
YGL147C	YNL069C
YGL147C	YNL178W
YGL147C	YOL040C
YGL147C	YOR096W
YGL147C	YPL093W
YGL147C	YPR016C
YGL150C	YLR052W
YGL150C	YNL059C
YGL150C	YPL235W
YGL151W	YGR104C
YGL151W	YHR041C
YGL151W	YHR058C
YGL151W	YLR071C
YGL151W	YML007W
YGL151W	YNL236W
YGL151W	YOL051W
YGL151W	YOL135C
YGL155W	YKL019W
YGL171W	YLR129W
YGL173C	YGR054W
YGL173C	YJL124C
YGL173C	YJR145C
YGL173C	YMR290C
YGL173C	YOL139C
YGL173C	YPL004C
YGL173C	YPR140W
YGL173C	YPR178W
YGL195W	YIL094C
YGL195W	YLR180W
YGL195W	YOR136W
YGL200C	YOR016C
YGL223C	YGR120C
YGL223C	YML071C
YGL223C	YPR105C
YGL242C	YMR109W
YGL244W	YIL035C
YGL244W	YLR418C
YGL244W	YML069W
YGL244W	YOL145C
YGL244W	YOR039W
YGL244W	YOR061W
YGL244W	YOR123C
YGL245W	YGR264C
YGL246C	YLL045C
YGR027C	YJL177W
YGR027C	YJR123W
YGR027C	YKL180W
YGR027C	YLR287C-A
YGR054W	YMR290C
